"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ГЪМ СЕНСИВИТАЛ+ ПАСТА ЗА ЗЪБИ ГЕЛ 75мл","00000643","81","4.11","3.70"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.13"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.13"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","5.24",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.12"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ГЪМ ДЖУНИЪР паста за зъби 7+год 50мл","1016953","81","2.47",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.78","3.40"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.82","5.87"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","5.24",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.77",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ УАЙТЪНИНГ паста за зъби 75мл","1020890","81","7.82","5.86"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
