"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДЕНТАЛ ПРОПОЛИС + ХЕРБАЛ ФЕМИЛИ паста за зъби 100мл","000808250","81","0.91",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДЕНТАЛ ФЕМИЛИ ВИТАМИНИ+МИНЕРАЛИ ПАСТА ЗА ЗЪБИ 100мл","000808260","81","0.91",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","6.91",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.64",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
