"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","4.12"
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","4.12"
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","5.24",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.88",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","4.13"
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","4.13"
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.77",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","ПАРОДОНТАКС екстра фреш паста за зъби 75мл","1022560","81","5.50","4.13"
"56784","Аптека Марешки Пловдив 8 / 306 / гр.Пловдив, ул.Георги Кондолов 43 А","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
