"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","5.35",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.66",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.80",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","АЛМИРАЛ гел 1.16% 250гр","1023856","95","13.57",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЕТИЛОВ СПИРТ ХИМАКС 70% 0.800кг","1027352","92","4.55",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.40",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ИБУЛЕК сашети 600мг х 10бр","1030133","94","6.76",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.08",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.36",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ИБУЛЕК ЗА ДЕЦА 100мг/5мл перорална сусп х 120мл","1037617","94","3.71",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.21",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.46",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","КЕТОФЛЕКС инж разтвор 50мг/мл 2мл х 10бр","1040004","94","9.60",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИКЛОФЛЕКС 5% гел флакон 50гр","1040104","95","6.68",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ИБУЛЕК сашети 200мг х 10бр","1040997","94","4.05",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ВОЛТАРЕН ЕМУЛГЕЛ гел 1.16% 100 г","1041032","95","8.12",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 120гр","1041093","95","8.06",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ПАРАБОЛ МАКС меки капс 400мг х 10бр","1041397","94","4.79",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИКЛАК 12 часа гел 23,2мг/г 100гр","1041922","95","11.17",""
