"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.17",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","4.96",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.01",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","4.36",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","5.96",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.68",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","10.09",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.17",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.17",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.72",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.75",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ПАРОДОНТАКС екстра фреш паста за зъби 75мл","1022560","81","5.17",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","СЕНСОДИН КОМПЛИЙТ ПРОТЕКШЪН паста за зъби 75мл","1023168","81","6.81","5.10"
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","ЕЛГИДИУМ АНТИПЛАКА паста за зъби ПРОМО 75мл","1024352","81","9.00",""
"68850","Аптека Марешки Стара Загора 6 / 788 / гр. Стара Загора, ул. Стара Планина 13","АЦЦ сироп 20мг/мл 100мл","1026426","99","6.62",""
