"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.08",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.98",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЕТИЛОВ СПИРТ ХИМАКС 70% 0.800кг","1027352","92","4.55",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЕКЗОДЕРИЛ сол.1% 20мл","1030142","90","11.75",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","6.74",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.36",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЛАКАЛУТ АКТИВ СЕНЗИТИВ паста за зъби 75мл","1038413","81","4.54",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.86",""
