"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.56",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.32",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.70",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.88",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","НИЗОРАЛ крем 20мг/гр-15гр","0200013","90","2.40",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.82",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.88",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ДИКЛАК 5% гел 50мг/гр - 100гр","1015894","95","9.79",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","5.24",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.66",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.64",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул. Кракра 52","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
