"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ВОЛТАРЕН** РЕТАРД табл. 100мг Х 10","238","95","1.41",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ГЕЛОМИРТОЛ** ФОРТЕ капс. 300 мг х 20","254","99","8.20",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ДИКЛОФЕНАК** ДУО капс. 75мг Х 30","359","95","5.39",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ИМОДИУМ** капс. 2мг Х 6","641","89","3.70",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АЛЕРГОЗАН** драж. 25мг х 20","1852","100","3.89",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АЛЕРГОЗАН** крем 18гр","1853","91","4.23",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АЛЕРГОЗАН** унгв. 18гр","1854","91","4.23",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АЛКА-ЗЕЛЦЕР** табл.еф. Х 10","1856","96","2.88",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АНАЛГИН** амп. 50% 2мл х 10/кутия/","1879","96","6.73",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","РУВЕКСИН** табл. 325мг Х 100","1911","96","2.86",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АСПИРИН**+вит.С/БАЙЕР/ табл. ефф. х 20","1918","96","6.74",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","БЕНАЛГИН** табл. х 20","1956","96","2.76",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ВОЛТАРЕН** гел 1% 50 г","2073","95","6.18",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ЕКЗОДЕРИЛ** крем 15г","2228","90","5.80",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ЕКЗОДЕРИЛ** сол. 1% 10 мл","2229","90","6.94",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ЙОДАСЕПТ** унгв. 90гр","2299","92","4.40",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","НИЗОРАЛ** крем 2% 15гр","2562","90","2.38",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ОЛИНТ** спрей за нос 0,05% 10 мл","2598","97","4.43",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ОЛИНТ** спрей за нос 0,1% 10 мл","2599","97","4.43",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ОТИПАКС** сол. 15 мл","2626","101","3.83",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","РЕПАРИЛ** гел 40гр","2755","95","5.86",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","СПАЗМАЛГОН** табл. х 20","2836","87","3.85","3.35"
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ФАСТУМ** гел 2,5%  50гр","2973","94","4.63",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ФУРОТАЛГИН** сол. 5мл","3008","101","5.58",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ХЕКСОРАЛЕТЕН** N паст. х 16","3019","98","5.46",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АЛМАГЕЛ** сусп. 170мл  АК","3163","86","2.47",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","ТАЛЦИД** табл. 500мг х 20","3211","86","4.14",""
"10135","МАТРИКАРИА жк. Вл.Варненчик,бул.Св. Елена 26","АЛГОПИКС** ШАМПОАН 200гр","3593","82","5.77",""
