"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АЦЦ 200 ПРАХЧЕТА 200МГ Х 20 SANDOZ*","95","99","7,72",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","ВОЛТАРЕН РЕТ. ТАБЛ. 100 МГ Х 10 NOVARTIS","238","95","1,53",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","ВОЛТАРЕН СУПОЗ. 100МГ Х 5","239","95","3,76",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","ВОЛТАРЕН супоз. 50мг х 10 NOVARTIS","240","95","2,20",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","ВОЛТАРЕН табл. 50мг х 20 NOVARTIS","242","95","2,10",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","ДИКЛОФЕНАК ДУО КАПС. 75 МГ Х 30*","359","95","5,98",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","НАКЛОФЕН ДУО КАПС. 75МГ Х 20","1060","95","2,61",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АЛЕРГОЗАН ТАБЛ 25МГ Х 20*","1852","91","4,42",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АЛЕРГОЗАН КРЕМ 18ГР*","1853","91","4,86",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АЛЕРГОЗАН УНГВ 18 ГР*","1854","91","4,40",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АЛКА-ЗЕЛЦЕР ЕФ.ТАБЛ Х 10","1856","96","3,22",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АНАЛГИН АМП 50% 2МЛ х 10 (кутия) СФ ","1879","87","7,46",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","РУВЕКСИН ТАБЛ 325МГ Х 100","1911","96","3,12",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АСПИРИН + ВИТАМИН Ц (БАЙЕР) ЕФФ Х 10","1917","96","4,91",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","АСПИРИН + ВИТАМИН Ц/БАЙЕР/ЕФ Х 20*","1918","96","7,36",""
"68134","ЕН БИ ФАРМА ООД  МЛАДОСТ СОФИЯ, Ж.К. МЛАДОСТ4, БЛ.469А","БЕНАЛГИН ТАБЛ Х 20*","1956","87","3,30",""
