"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Сана 1 - Трошево","АНАЛГИН ТБ 500МГ Х 30БР СОФАРМА","50773","96","2.6300",""
"10135","Сана 1 - Трошево","СПИРТ ЛАВАНДУЛОВ 100 мл","4366","92","0.8200",""
"10135","Сана 1 - Трошево","СПИРТ ЕТИЛОВ 70% 100 мл","4346","92","0.6500",""
"10135","Сана 1 - Трошево","КЕТОЗАЛ ШАМПОАН 2% 60МЛ","26283","90","7.4600",""
"10135","Сана 1 - Трошево","СПИРТ ЕТИЛОВ 95% 100 мл","24522","92","0.6600",""
"10135","Сана 1 - Трошево","СПИРТ ЕТИЛОВ 70% 1 л","4359","92","4.1900",""
"10135","Сана 1 - Трошево","БУСКОЛИЗИН амп. 2% - 1 мл  10","26114","87","7.4100",""
"10135","Сана 1 - Трошево","СПАЗМОМЕН табл 40 мг / 30бр","27636","87","10.7300",""
"10135","Сана 1 - Трошево","МОКРИ КЪРПИ МИНЬОНИТЕ Х 15БР","50314","84","0.5100",""
"10135","Сана 1 - Трошево","БЕНАЛГИН табл / 20 бр","316","96","2.9100",""
"10135","Сана 1 - Трошево","АЛПИНИСТ чай БИОПРОГРАМА","11102","72","0.7500",""
"10135","Сана 1 - Трошево","ИБУПРОМ СИНУС ТБ.200/30МГ / 24 БР","42604","94","7.5700",""
"10135","Сана 1 - Трошево","ФАСТУМ гел. 2.5 % 100 гр","24380","94","7.8200",""
"10135","Сана 1 - Трошево","ЕКЗОДЕРИЛ КРЕМ 1% 30 ГР","47886","90","9.1000",""
"10135","Сана 1 - Трошево","ЗИРТЕК табл. 10 мг / 20 бр","3327","100","9.2000",""
"10135","Сана 1 - Трошево","НАЗИК 0.1% назален спрей за ВЪЗРАСТНИ 10мл","30828","97","6.2900",""
"10135","Сана 1 - Трошево","ЙОДСЕПТАДОН 10% РАЗТВОР 100 МЛ","19277","92","2.1500",""
"10135","Сана 1 - Трошево","БРАУНОЛ 2000 сол. 100 мл","29203","92","5.1400",""
"10135","Сана 1 - Трошево","ДИКЛАК ГЕЛ 12 ЧАСА 23.2 мг/г гел 50гр","50655","95","7.8700",""
"10135","Сана 1 - Трошево","АНГАЛ ЯГОДА ДЕЦА ТБ. ЗА СМУЧЕНЕ X 24","47847","98","6.7500",""
"10135","Сана 1 - Трошево","ОЛИНТ ДУО СПРЕЙ 10МЛ","50845","97","6.6400",""
"10135","Сана 1 - Трошево","БОЧКО ШАМПОАН БАДЕМ И НЕВЕН 400МЛ","45392","82","2.7100",""
"10135","Сана 1 - Трошево","НУРОФЕН ФОРТЕ ТБ 400МГ Х24БР","48406","94","7.6900",""
"10135","Сана 1 - Трошево","КЕТАЛГО САШЕ 50мг х 12","49015","94","6.9500",""
"10135","Сана 1 - Трошево","ВОЛТАРЕН ПЛАСТИР 140МГ Х 5","A000051669","95","17.0000",""
"10135","Сана 1 - Трошево","НУРОФЕН СТОП КОЛД ТБ.X24 БР","42458","94","7.8000",""
