"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","АЛЕРГОЗАН Крем 1% 18 гр","98","91","4,68",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","АЛЕРГОЗАН табл. 25мг х 20","99","91","3,93",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","АЛМАГЕЛ A сусп. 170 мл ТЕВА","106","86","4,18",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","БЕНАЛГИН табл. х 20 ТЕВА","316","87","3,11",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","БИЗАЛАКС табл. 5мг х 30","379","88","2,55",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ЕНТЕРОЛ ФОРТЕ 500МГ САШЕТА Х 10","967","89","10,49",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ЕКЗОДЕРИЛ сол. 1% 10мл","1083","90","8,02",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ИМОДИУМ капс. 2мг х 6","1460","89","3,83",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ПСИЛО-БАЛСАМ гел 20гр 1%","2484","91","6,71","5,37"
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","СПАЗМАЛГОН табл. х 20 ТЕВА","2749","87","4,24",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ТАЛЦИД табл. 500мг х 20","2831","86","4,45",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","СПИРТ ЕТИЛОВ 95% 1л  ХИМАКС","4361","92","4,85",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","АЛМАГЕЛ сусп. 170мл ТЕВА","10359","86","2,69",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ПРОАЛГИН табл. 500мг х 20 ТЕВА","13734","87","1,30",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","БИЗАКОДИЛ супоз 10мг х 6","13836","88","3,29",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","БИЗАКОДИЛ супоз 5мг х 6","13837","88","2,47",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","МУКОНАЗАЛ ПЛЮС спрей за нос 10мл","19939","97","7,06",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ДИКЛОФЕНАК табл. 50мг х 30  ЧАЙКАФАРМА","20521","95","1,67",""
"04279","СИГМА ЕЛЕНОВО ГР. БЛАГОЕВГРАД ЖК ЕЛЕНОВО - 1 УЛ. ГЕОРГИ АНДРЕЙЧИН 6","ФЛЕКСИСТАД табл. 600мг х 20","27433","94","6,51",""
