"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"36498","Б 2006 ЕООД КАРЛОВО 1","БАНАНИ","160","52",1.99,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","БИРА ШУМЕНСКО 2 Л","8051","74",1.66,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","БИСКВИТИ ОБИКНОВЕНИ 130ГР КРИСТАЛ","1532","66",0.51,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","БОБ ДОБРУДЖАНКА ФАМИЛЕКС 500ГР","1816","33",1.48,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","БРАШНО СОФИЯ ЕКСТРА 1 КГ","1742","41",1.35,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","БРАШНО ФАМИЛЕКС 1 КГ","1809","40",0.81,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","ВЕРО ЕХО 400/450 МЛ","1704","79",1.46,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","ВИНО ПОМОРИЕ 750 МЛ","7708","76",5.06,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","ДОМАТИ","165","54",3.59,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","ДОМАТИ ЦЕЛИ НЕБЕЛЕНИ ИТАЛИ 680 ГР","18460","48",1.12,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","ЗАХАР ФАМИЛЕКС 1КГ","1740","38",0.92,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","ЗЕЛЕ","166","57",1.08,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","ИЗВАРА НА КГ","605","13",1.73,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КАЙМА СМЕС 60/40","155","25",6.08,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КАРТОФ ","57","61",0.61,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КАФЕ НОВА БРАЗИЛИЯ КЛАСИК 200 ГР","4237","70",3.52,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КАФЕ НОВА БРАЗИЛИЯ НА ЗЪРНА 1 КГ","7159","71",19.40,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КАШКАВАЛ КРАВИ ИТАЛИ ВАКУУМ","121","11",9.20,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КАШКАВАЛ КРАВИ КГ.","40","10",8.18,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КИСЕЛО МЛЯКО ИТАЛИ 3.6%","16197","7",0.64,0.00
"36498","Б 2006 ЕООД КАРЛОВО 1","КОРИ ФАМИЛИЯ 500 ГР","2292","5",1.63,0.00
