"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ НЕРО ГРАНД АРОМА 250 ГР ВАКУУМ","015811","70","6.2",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ НЕРО КРЕМА АРОМА 250 ГР ВАКУУМ","0158211","70","4.8",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ НЕРО ФАЙН АРОМА 250 ВАКУУМ","0142111","70","5.2",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ ФЕМИЛИ Д ОРО БК 250 ВАКУУМ","014171","70","5.6",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ ФЕМИЛИ Д ОРО ИНТЕНС 250 ВАКУУМ","0141411","70","4",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ ФЕМИЛИ Д ОРО КЛАСИК 250 ВАКУУМ","0141911","70","4.5",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","АДОРЕ БИАНЧИ ГРАНД ЕСПРЕСО 1 КГ","01552","71","28",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","АДОРЕ БИАНЧИ ЕСПРЕСО БАР 1 КГ","010385","71","31",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ ЕКСКЛУЗИВ 1 КГ","01454","71","16",""
"68134","обект: МАГАЗИН Х. ДИМИТЪР БИАНЧИ ТРЕЙДИНГ ЕООД адрес: СОФИЯ, ЖК ХАДЖИ ДИМИТЪР, УЛ. СКАЙЛЕР 41","БИАНЧИ НЕРО КРЕМА АРОМА 1 КГ","01486","71","20.1",""
