"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"48489","МАГАЗИН ББ 1","DNB Ш-Н 0.500 КОКОС И АРГАН ТЪНКА КОСА","219082","82","2.65","1.89"
"48489","МАГАЗИН ББ 1","DNB Ш-Н 0.500 КОПРИВА И МЕНТА МАЗНА КОСА","219078","82","2.65","1.89"
"48489","МАГАЗИН ББ 1","DNB Ш-Н 0.500 НЕВЕН И АРГАН СУХА КОСА","219081","82","2.65","1.89"
"48489","МАГАЗИН ББ 1","DNB Ш-Н 0.500 ОРЕХ И АЛОЕ МАЗНА КОСА","219079","82","3.19","1.89"
"48489","МАГАЗИН ББ 1","DNB Ш-Н 0.500 ХИНИН И АРГАН","219132","82","3.19","1.89"
"48489","МАГАЗИН ББ 1","DNB Ш-Н 0.500 ЯЙЦЕ И МЕД СУХА КОСА","219080","82","2.65","1.89"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.250 ARGININE RESIST /7496/","168171","82","5.62","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.250 DREAM LONG /6155/","187135","82","5.62","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.250 EXTRAORDINARY /9393/","170186","82","5.62","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.250 EXTRAORDINARY COCONUT /9749/","182988","82","5.62","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.250 HYALURON PURE","223112","82","5.62","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 ARGININE RESIST /2451/","176545","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 COLOR VIVE /9829/","163450","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 DREAM LONG /6209/","187136","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 EXTRAORD.CLAY /4693/","179654","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 EXTRAORDINARY /6944/","170187","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 EXTRAORDINARY COCONUT /9756/","182989","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 HYALURON PURE","223113","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 HYALURON/9883/","201822","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН 0.400 TR 5 /9421/","163451","82","6.64","0.00"
"48489","МАГАЗИН ББ 1","ELSEVE ШАМПОАН EXTRAORD.CLAY 250мл.","222679","82","5.62","0.00"
"48489","МАГАЗИН ББ 1","TRISA ПАСТА ЗА ЗЪБИ COMPLETE. 75ml","223352","81","4.60","0.00"
"48489","МАГАЗИН ББ 1","TRISA ПАСТА ЗА ЗЪБИ ИЗБЕЛВАЩА 75ml","223351","81","4.60","0.00"
"48489","МАГАЗИН ББ 1","АБЙОН СВИНСКИ ПЕЧЕНИ УШИ С ПИПЕР пр 0.300 ВАКУУМ","94721","27","8.94","0.00"
"48489","МАГАЗИН ББ 1","АБЙОН СВИНСКИ УШИ ПЕЧЕНИ пр 250гр","94729","27","9.38","0.00"
"48489","МАГАЗИН ББ 1","АНТОНЕЛИ КРОАСАНИ БЕЗ ЗАХАР КАЙСИЯ","213437","67","0.71","0.00"
"48489","МАГАЗИН ББ 1","АНТОНЕЛИ КРОАСАНИ БЕЗ ЗАХАР КРЕМ КАКАО","174197","67","0.71","0.00"
"48489","МАГАЗИН ББ 1","АНТОНЕЛИ КРОАСАНИ БЕЗ ЗАХАР КРЕМ ПАСТИЧЕРА","174196","67","0.71","0.00"
"48489","МАГАЗИН ББ 1","АНТОНЕЛИ КРОАСАНИ СЪС ЗАХАР ПИСТАЧО","213439","67","0.66","0.00"
"48489","МАГАЗИН ББ 1","АНТОНЕЛИ КРОАСАНИ СЪС ЗАХАР ШОКОЛАД И ПИСТАЧО","213440","67","0.66","0.00"
"48489","МАГАЗИН ББ 1","АРБЕЛА МАКАРОНИ АРПА 0.400","228443","36","0.76","0.00"
"48489","МАГАЗИН ББ 1","АРБЕЛА МАКАРОНИ ТАЛИАТЕЛЕ 0.400","196357","36","0.92","0.00"
