"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Шоколад Своге 90гр.лешници","4181","69","1.02",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Т/с Тео Бебе 70гр","3917","83","0.79",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Медикс Веро с балсам 415мл.всички","2355","79","1.22",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Бисквити Орео 396гр ХХЛ","2172","66","3.64",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Шампоан Уош Енд Гоу 400/360мл./всички/","4115","82","2.29",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Т/С Тео Милк Рич 100гр","3915","83","0.64",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Бисквити Закуска 255гр.","2742","66","1.23",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Т/С Дав 100гр./всички/","3768","83","1.02",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Т/С Сейфгард Антибактериален 90гр.","3814","83","0.97",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Т/С Диана 75гр бебе","3779","83","0.52",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Кашкавал Лактена 500гр.","32","11","13.29",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Кашкавал Елит 300/1кг","25","11","11.57",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Краве сирене Саяна домашно кг","23","8","9.10",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Дерони лютеница горнотракийска 520гр едросмяна","2980","49","3.68",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Сирене Родопчанка кг вак","158","9","8.84",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Т/с Дуру 80гр","13830","83","0.46",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Т/С Тео 70гр всички","23106","83","0.44",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Поморийска мускатова 0.7мл","3581","77","10.53",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Поморийска обикн. 0.7мл","3580","77","8.28",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Поморийска специална 0.7мл","3579","77","9.07",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Троянска сливова  обикн. 0.7мл","3590","77","9.31",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Пещерска 700мл Гроздова  обикновена","3572","77","8.28",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Шоколад Своге 80гр.млечен","4182","69","1.22",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Кроасан 22 карата шоколадов пълнеж 55гр.","2873","67","0.20",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","*Шоколад Милка 100/90гр. млечен","4165","69","1.27",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","*Шоколад Милка 100/90гр стафиди и лешник","4168","69","1.27",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","*Шоколад Милка 100/90 цял лешник","4167","69","1.27",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Кроасан 7 Дейс карамел 55гр.","3687","67","0.44",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","П/З Астера Икер 75мл.","3249","81","1.10",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","П/З Аквафреш Тотал Кеър 75мл.синя","3244","81","0.82",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Сунгурларска гроздова обикн. Славянци 0.7мл","3586","77","9.81",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Вино Магарешко 750мл мляко бяло","2383","75","1.94",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","П/З Колгейт супер свежест/защита от кариес 50мл.","3265","81","0.61",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Масло Президент 125гр.","2855","12","4.12",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Оцет винен  Перущица 700мл.","2374","44","1.07",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Прясно мляко Фибела 3%","3130","6","1.68",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Карнобат мускатова 0.7л.","3568","77","9.61",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Карнобат обикновенна 0.7мл","3569","77","8.15",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Вино Търговище 750мл шардоне","2401","75","4.13",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Пещера 0.700 отлежала","3575","77","9.40",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Ракия Карнобат отлежала 3 години 0.7мл","3589","77","11.24",""
"51980","Супермаркет Братя Неделеви , гр. Стамболийски, ул.Заводска 2","Биопрограма чай черен","4044","72","0.84",""
