Населено място;Търговски обект;Наименование на продукта;Код на продукта;Категория;Цена на дребно;Цена в промоция
68134;Арсеналски 63;Tat грах консерва 420гр.;5146;47;1.53;1.19
68134;Арсеналски 63;Аквафреш Паста за зъби Mild&Minty 75мл;3454;81;2.55;1.99
68134;Арсеналски 63;Банани;1314;52;1.53;1.53
68134;Арсеналски 63;Бира Бургаско 2.3л;12393;74;1.63;1.45
68134;Арсеналски 63;Верея Прясно мляко 3% 1л;8128;6;1.78;1.78
68134;Арсеналски 63;Вино Етно Шардоне 750мл;11721;75;5.25;4.58
68134;Арсеналски 63;Градус Кренвирши пилешки кг;17299;26;3.57;3.57
68134;Арсеналски 63;Гъби кг;3640;60;4.6;4.6
68134;Арсеналски 63;Дерони Лютеница Петел традиционна 575гр;10415;49;2.04;2.04
68134;Арсеналски 63;Дерони Макарони Петел 400гр;10501;36;0.92;0.92
68134;Арсеналски 63;Дестан Извара кашкавалена кг;4933;13;3.06;1.99
68134;Арсеналски 63;Домати;1310;54;2.6;2.6
68134;Арсеналски 63;Домлян Краве сирене 400гр;4794;9;5.01;5.01
68134;Арсеналски 63;Кашкавал Маклер Родопско чудо 200гр;11148;11;2.55;2.55
68134;Арсеналски 63;Саяна Кисело мляко ЗНП 3.6% 400гр;8439;7;0.92;0.92
68134;Арсеналски 63;Ехо Препарат за съдове 400мл;12414;79;1.53;1.53
68134;Арсеналски 63;"Захар екопакет кристал ""Захира"" 1кг";8189;38;0.92;0.92
68134;Арсеналски 63;Зеле прясно;2332;57;0.76;0.76
68134;Арсеналски 63;Зелена Ябълка;1309;53;2.04;2.04
68134;Арсеналски 63;Йони Баничка 160;6076;68;1.53;1.53
68134;Арсеналски 63;Карнобатска Ракия гроздова 700;630393;77;7.87;7.28
68134;Арсеналски 63;Картоф;1313;61;0.92;0.49
68134;Арсеналски 63;Кашкавал Тренена кг;5082;10;11.24;11.24
68134;Арсеналски 63;Колгейт Четка за зъби Zig Zag Medium;1544;80;2.04;1.79
68134;Арсеналски 63;Краставици;3515;58;2.55;2.55
68134;Арсеналски 63;Крина Боб Екстра 500;5950;46;2.04;2.04
68134;Арсеналски 63;Крина Леща Българска 1кг;11194;34;3.06;3.06
68134;Арсеналски 63;Кроасани Белино 80гр;3045;67;0.65;0.65
68134;Арсеналски 63;Кромид лук;1311;55;0.92;0.58
68134;Арсеналски 63;Лимон;1798;50;2.55;1.79
68134;Арсеналски 63;Градус Пиле охл. Тар. Кг;17360;15;4.6;4.6
68134;Арсеналски 63;Градус пилешко бутче охл. Тар. Кг;17302;17;3.49;3.49
68134;Арсеналски 63;МКМ Ориз Бисерен 1кг;4872;35;2.3;2.3
68134;Арсеналски 63;Милена Бял хляб 700;15964;1;1.15;1.15
68134;Арсеналски 63;Милена хляб Селски ръжен 450гр.;3723;3;2.1;2.1
68134;Арсеналски 63;Милена хляб Селски типов 450гр.;3550;4;2.1;2.1
68134;Арсеналски 63;Мокри кърпи Малива 120бр;16256;84;2.04;1.79
68134;Арсеналски 63;Моркови;1848;56;1.02;0.69
68134;Арсеналски 63;Морски дар Пъстърва чистена прясна МАР;9642;30;8.58;8.58
68134;Арсеналски 63;Мургаш нискомаслена извара 350гр.;3743;14;2.04;2.04
68134;Арсеналски 63;"Немско краве масло ""Двете крави"" 125гр";14121;12;2.04;2.04
68134;Арсеналски 63;Нова Бразилия - мляно 200;9970;70;4.6;4.6
68134;Арсеналски 63;Нова Бразилия Класик зърна 1кг;7008;71;20.45;20.45
68134;Арсеналски 63;Олио Родно 1л;5554;42;1.94;1.94
68134;Арсеналски 63;Оцет Кулинар Винен 700;631873;44;1.27;1.27
68134;Арсеналски 63;Оцет Кулинар Ябълков 700;631874;45;1.38;1.38
