"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Мукофалк портокал при запек 20 сашета","564","88","8.69",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Фенолакс при запек 5мг 30 таблетки","577","88","1.78",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Дермодрин маз при алергии и ухапване 20мг/г 30г","984","91","4.65",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Отирелакс солуцио при възпаление на ушите 15мл","1183","101","3.98",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Parodontax Fluoride Паста за зъби 75мл","1857","81","5.06",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Bebino Бебешки сапун 65гр","2419","83","0.71",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Elgydium Clinic Perioblock Pro Паста 50мл","5134","81","7.00",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Elgydium Diffusion Medium Четка за зъби ","5146","80","5.47",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Биопрограма чай шипка 20 броя","6148","72","1.02",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Ксилодекс спрей 0,05% за деца при запушен нос 10мл","8954","97","4.70",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Phyto Softness Шампоан за честа употреба 250мл","9559","82","15.79",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle био каша козе мляко, боровинка и банан 6+ месеца 200г","25616","63","5.41",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle био каша мюсли 6+ месеца 250г","25654","63","4.14",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle био зеленчуково пюре с къри 6+ месеца 190г","25737","64","1.89",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle био пюре с телешко и леща 10+ месеца 220г","25743","64","3.06",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Elgydium 4в1 четка за зъби Medium","27320","80","8.94",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Ибутоп гел при ставни и мускулни болки 50г","421","95","5.57",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Саб Симплекс капки при газове 30мл","498","87","7.61",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Мукофалк портокал при запек 20 сашета","564","88","8.69",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Фенолакс при запек 5мг 30 таблетки","577","88","1.78",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Диаростад при диария 2мг 10 капсули","621","89","3.78",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Имомед при диария 2мг 10 таблетки","623","89","2.76",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Дермодрин маз при алергии и ухапване 20мг/г 30г","984","91","4.65",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Алергозан крем 1% при ухапване и дерматит 60г","990","91","8.64",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Антимико солуцио - бета при дерматомикози 50мл","1040","90","0.76",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Отирелакс солуцио при възпаление на ушите 15мл","1183","101","3.98",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Parodontax Fluoride Паста за зъби 75мл","1857","81","5.06",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Ксилорин назален спрей 0,055% при запушен нос и хрема 18мл ","3061","97","4.90",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","Coldrex Junior при настинка и грип за деца 10 сашета","3062","99","5.16",""
