"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","22 Карата Кроасан Какаов Пълнеж 55гр ","12549","67","0.32",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 60гр Какао","11316","67","0.66",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 80гр Горски Плодове ","70199","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 80гр Фъстък Какао","70256","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Ванилов Крем и Бисквитка ","19036","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Двоен Крем Ванилия и Вишна ","15197","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Двоен Крем Ванилия и Ягода ","11338","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Двоен Крем Какао и Ванилия","11512","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Двоен Крем Какао и Кокос ","24258","67","0.79",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Какао ","11470","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Какао и Лешник ","21026","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасан 92гр Крем брюле","11469","67","0.79","0.66"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасани 60гр Мини Ванилия","15006","67","0.81",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","7 Дейс Кроасани 60гр Мини Шоколад ","15007","67","0.81",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","@Палмолив Сапун Бадем и Камелия 90г","23357","83","0.56","0.44"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","LM Син 100мм 3.50€","22319","78","3.50",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","LM Червен 100мм","10096","78","3.27",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Арома Сапун Елементс Активен Въглен 100мл","23273","83","0.97",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Арома Сапун Елементс Пъпеш 100гр","23345","83","0.97",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Арома Сапун Фреш Люляк 75гр","23201","83","0.56",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Арома Сапун Фреш Розова Орхидея 75гр","23200","83","0.56",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Арте Домати Кубче 400гр белени","21637","48","0.79",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Асеновград Вино Мавруд Резерва 0,750л.","7733","76","4.99",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Астика Бира 2л.","7083","74","1.43",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Банани","312","52","1.59",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Банкя Натурална Минерелна вода 1,5л.","6320","73","0.63","0.54"
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Бебевита Млечна Каша Грис Ванилия 190гр","1419","63","1.48",
"67338","Еко Асорти 01 - кв. Стоян Заимов, бл.62","Бебевита Млечна Каша Грис Шоколад 190гр","1401","63","1.07",
