"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"61577","Магазин Батенберг","РАКИЯ КАЙЛЪШКА 0.7л х6бр","00056","77","7.64","6.89"
"61577","Магазин Батенберг","РАКИЯ КАРНОБАТ 0.7л х6бр","00079","77","7.03","0"
"61577","Магазин Батенберг","РАКИЯ ХАН КРУМ 0.7л","00093","77","8.33","0"
"61577","Магазин Батенберг","РАКИЯ ТР.СЛИВ.ОБИКНОВЕНА","00094","77","8.55","0"
"61577","Магазин Батенберг","РАКИЯ ПОМОРИЙСКА СПЕЦ. 0.7","00122","77","8.33","0"
"61577","Магазин Батенберг","РАКИЯ ПОМОРИЙСКА ОБИКН 0.7л","00123","77","7.59","0"
"61577","Магазин Батенберг","РАКИЯ ПОМОРИЙСКА МУСКАТ 0.7л","00125","77","9.69","0"
"61577","Магазин Батенберг","РАКИЯ ПЕЩЕРСКА 0.7л х6бр","00165","77","7.05","0"
"61577","Магазин Батенберг","СОЛ ВВТ 1кг х10бр","00456","39","0.66","0"
"61577","Магазин Батенберг","РАКИЯ БУРГАСКА ГРОЗДОВА 0.7л","00662","77","7.59","0"
"61577","Магазин Батенберг","ВИНО ХЪРСОВО ГИРЛЯНДИ 0,75л","01293","76","8.12","0"
"61577","Магазин Батенберг","РАКИЯ БУРГАСКА МУСКАТОВА 0.7л","01472","77","9.69","9.29"
"61577","Магазин Батенберг","РАКИЯ ПЕЩЕРСКА ОТЛЕЖАЛА 0.7л","01652","77","7.99","0"
"61577","Магазин Батенберг","РАКИЯ ТР.КРУШОВА 0.7л","03096","77","8.29","0"
"61577","Магазин Батенберг","РАКИЯ КАЙЛЪШКА МУСКАТ 0.7л/6бр","04107","77","8.87","7.99"
"61577","Магазин Батенберг","КАШКАВАЛ МЕЧИ ЧАЛ ","04249","10","7.31","0"
"61577","Магазин Батенберг","РАКИЯ ТР.СЛИВ.ОТЛЕЖАЛА 0.7л","04723","77","9.74","0"
"61577","Магазин Батенберг","РАКИЯ БАЙ ГРОЗДАН 0.7л/6бр","05125","77","5.23","0"
"61577","Магазин Батенберг","РАКИЯ КЕХЛИБАР 0.7л х6бр","05604","77","8.83","0"
"61577","Магазин Батенберг","РАКИЯ ТИКВЕШ ЛОЗОВА 0.7л","05886","77","12.06","11.06"
"61577","Магазин Батенберг","РАКИЯ КАЙЛЪШКА СЛИВОВА 0.7х6","06539","77","8.07","7.29"
"61577","Магазин Батенберг","РАКИЯ ТР.ЯБЪЛКОВА 0.7л х6бр","06845","77","8.29","0"
"61577","Магазин Батенберг","РАКИЯ ТР.КАЙСИЕВА 0.7л","06846","77","10.05","0"
"61577","Магазин Батенберг","РАКИЯ ДЯДОВА УСУКАНИЦА 0.7л","08750","77","7.41","0"
"61577","Магазин Батенберг","СОЛ ПЕРЛА 1кг х10бр","10901","39","0.44","0"
"61577","Магазин Батенберг","ВИНО ХЪРСОВО РИЛСКИ МАНАСТИР","00124","76","9.23","0"
"61577","Магазин Батенберг","ВИНО ХЪРСОВО ФОЛКЛОР ЖЕНА","00511","76","10.22","0"
"61577","Магазин Батенберг","ВИНО Ч БР.МИНКОВИ КЮВЕ 0.75л","00786","76","10.97","9.59"
"61577","Магазин Батенберг","ВИНО Ч ВЕРА ТЕРА РОЗЕ 0.75л","00890","76","14.03","0"
"61577","Магазин Батенберг","ВИНО Ч С-Я КАРН.РОЗЕ 0.75л","01092","76","2.48","0"
"61577","Магазин Батенберг","ВИНО Ч СТАРОСЕЛ КАБ.СОВ.0.75","01194","76","7.77","0"
"61577","Магазин Батенберг","ВИНО Ч ВЕРА ТЕРА КАБ.ФРАН/СИРА","01285","76","14.03","0"
"61577","Магазин Батенберг","ВИНО Б ХАН КРУМ ШАРДОНЕ 0.75л","01349","75","3.83","0"
"61577","Магазин Батенберг","ВИНО Б С-Я КАРН.МУСК. 0.75л","01350","75","2.48","0"
"61577","Магазин Батенберг","ВИНО Ч ЛОГОДАЖ МЕЛНИК ШМЛ","01428","76","4.29","0"
