"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"02659","БУРЛЕКС БАНКЯ - УЛ. АЛЕКСАНДЪР СТРАМБОЛИЙСКИ 2","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"14831","БУРЛЕКС ГЕРМАН - УЛ. МЛАДЕЖКА 7","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"27303","БУРЛЕКС ЕЛИН ПЕЛИН 2 - БУЛ. СОФИЯ 17","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"43445","БУРЛЕКС ЛЕСНОВО - ЛЕСНОВО ПАРК","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС БАНИШОРА - КВ. БАНИШОРА  УЛ.И. ТУРГЕНЕВ 2","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС БОРОВО 2 - БУЛ.ТОДОР КАБЛЕШКОВ 49","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС БОРОВО 3 - ПИРИНСКИ ПРОХОД 47","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС БОЯНА - Ж.К. БОЯНА УЛ. СЕВ. КАЛОЯН 77","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС ИЗТОК - КВ. ИЗТОК УЛ.Т.ШЕВЧЕНКО 11-13","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС ИЛИЯНЦИ - КВ. ИЛИЯНЦИ БУЛ. РОЖЕН №91","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС ЛОЗЕНЕЦ - БУЛ. АРСЕНАЛСКИ 105","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС ЛЮЛИН - Ж.К. ЛЮЛИНБУЛ. З. СТОЯНОВ 17","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС МАНАСТИРСКИ ЛИВАДИ - КВ.МАНАСТ.ЛИВАДИ УЛ. МУР 56","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС СЕРДИКА - ЖК. СЕРДИКА БЛ. 8","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"68134","БУРЛЕКС СТАМБОЛИЙСКИ - БУЛ. АЛ. СТАМБОЛИЙСКИ 44","КАФЕ ДЖИМОКА ГРАН ГУСТО 250ГР","100015","70","4.24","0.00"
"02659","БУРЛЕКС БАНКЯ - УЛ. АЛЕКСАНДЪР СТРАМБОЛИЙСКИ 2","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"27303","БУРЛЕКС ЕЛИН ПЕЛИН 2 - БУЛ. СОФИЯ 17","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"27303","БУРЛЕКС ЕЛИН ПЕЛИН 3 - БУЛ. СОФИЯ – ПАЗАР","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"43445","БУРЛЕКС ЛЕСНОВО - ЛЕСНОВО ПАРК","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"00357","БУРЛЕКС НОВИ ИСКЪР - БУЛ. ИСКЪРСКО ДЕФИЛЕ №31","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"68134","БУРЛЕКС БАНИШОРА - КВ. БАНИШОРА  УЛ.И. ТУРГЕНЕВ 2","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"68134","БУРЛЕКС БОРОВО 2 - БУЛ.ТОДОР КАБЛЕШКОВ 49","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"68134","БУРЛЕКС БОРОВО 3 - ПИРИНСКИ ПРОХОД 47","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
"68134","БУРЛЕКС БОЯНА - Ж.К. БОЯНА УЛ. СЕВ. КАЛОЯН 77","ШОКОЛАД ТОБЛЕРОН 100ГР","10013","69","3.25","0.00"
