"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","HiPP Млечна каша Първата каша на бебето 4+ 250 гр.","494988","63","5.85",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","HiPP Млечна каша Първата каша на бебето 4+ 250 гр.","494988","63","5.85",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","HiPP Млечна каша Първата каша на бебето 4+ 250 гр.","494988","63","5.85",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","HiPP Млечна каша Първата каша на бебето 4+ 250 гр.","494988","63","5.85",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Topfer Bio Бебешко адаптирано мляко 3 10+ 600 г","495291","65","14.27",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Topfer Bio Бебешко адаптирано мляко 3 10+ 600 г","495291","65","14.27",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Topfer Bio Бебешко адаптирано мляко 3 10+ 600 г","495291","65","14.27",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Topfer Bio Бебешко адаптирано мляко 3 10+ 600 г","495291","65","14.27",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Chicco Бебешки сапун 100 гр.","720215","83","2.63","2.1"
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Chicco Бебешки сапун 100 гр.","720215","83","2.63","2.1"
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Chicco Бебешки сапун 100 гр.","720215","83","2.63","2.1"
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Chicco Бебешки сапун 100 гр.","720215","83","2.63","2.1"
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Bebelan Бебешки мокри кърпички Невен и лайка 80 бр.","771232","84","1.94","1.55"
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Bebelan Бебешки мокри кърпички Невен и лайка 80 бр.","771232","84","1.94","1.55"
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Bebelan Бебешки мокри кърпички Невен и лайка 80 бр.","771232","84","1.94","1.55"
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Bebelan Бебешки мокри кърпички Невен и лайка 80 бр.","771232","84","1.94","1.55"
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Frisolac Бебешко адаптирано мляко 3 12+ 400 гр.","495218","65","8.87",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Frisolac Бебешко адаптирано мляко 3 12+ 400 гр.","495218","65","8.87",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Frisolac Бебешко адаптирано мляко 3 12+ 400 гр.","495218","65","8.87",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Frisolac Бебешко адаптирано мляко 3 12+ 400 гр.","495218","65","8.87",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Ganchev Бебешко пюре Праскови 190 гр.","496413","64","1.02",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Ganchev Бебешко пюре Праскови 190 гр.","496413","64","1.02",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Ganchev Бебешко пюре Праскови 190 гр.","496413","64","1.02",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Ganchev Бебешко пюре Праскови 190 гр.","496413","64","1.02",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Aptamil Бебешко адаптирано мляко Comfort 2 400 гр.","111128","65","14.78",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Aptamil Бебешко адаптирано мляко Comfort 2 400 гр.","111128","65","14.78",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Aptamil Бебешко адаптирано мляко Comfort 2 400 гр.","111128","65","14.78",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Aptamil Бебешко адаптирано мляко Comfort 2 400 гр.","111128","65","14.78",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Nestle Бебешко адаптирано мляко без лактоза NAN LF 400 гр.","495212","65","17.51",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Nestle Бебешко адаптирано мляко без лактоза NAN LF 400 гр.","495212","65","17.51",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Nestle Бебешко адаптирано мляко без лактоза NAN LF 400 гр.","495212","65","17.51",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Nestle Бебешко адаптирано мляко без лактоза NAN LF 400 гр.","495212","65","17.51",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","HiPP Бебешко пюре Спагети с морска треска от Аляска в зеленчуково-сметанов сос 12+ 220 гр.","495898","64","2.89",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","HiPP Бебешко пюре Спагети с морска треска от Аляска в зеленчуково-сметанов сос 12+ 220 гр.","495898","64","2.89",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","HiPP Бебешко пюре Спагети с морска треска от Аляска в зеленчуково-сметанов сос 12+ 220 гр.","495898","64","2.89",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","HiPP Бебешко пюре Спагети с морска треска от Аляска в зеленчуково-сметанов сос 12+ 220 гр.","495898","64","2.89",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","Bekley Organics Бебешки плодов чай 20 пак.","771317","72","2.81",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","Bekley Organics Бебешки плодов чай 20 пак.","771317","72","2.81",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","Bekley Organics Бебешки плодов чай 20 пак.","771317","72","2.81",""
"68134","ВисВиталис - магазин София, бул. Тодор Каблешков 53","Bekley Organics Бебешки плодов чай 20 пак.","771317","72","2.81",""
"56784","ВисВиталис - магазин Пловдив, бул. 6-ти Септември 268","HiPP Пюре Моркови с картофи 4+ 190 гр.","494458","64","2.17",""
"68134","ВисВиталис - магазин София, ул. Едуард Генов 1А","HiPP Пюре Моркови с картофи 4+ 190 гр.","494458","64","2.17",""
"68134","ВисВиталис - магазин София, бул. Александър Стамболийски 129","HiPP Пюре Моркови с картофи 4+ 190 гр.","494458","64","2.17",""
