"Населено място", "Търговски обект", "Наименование на продукта", "Код на продукта", "Категория", "Цена на дребно", "Цена в промоция"
"56784","Магазин Пловдив","Био пълнозърнести Спагетти №3 Rummo 500g ","56649","37","2.70","0.00"
"66915","Магазин Пловдив 2","Био пълнозърнести Спагетти №3 Rummo 500g ","56649","37","2.70","0.00"
"68134","Магазин София","Био пълнозърнести Спагетти №3 Rummo 500g ","56649","37","2.70","0.00"
"68134","Магазин София 2","Био пълнозърнести Спагетти №3 Rummo 500g ","56649","37","2.70","0.00"
"14619","МП 132100212","Био пълнозърнести Спагетти №3 Rummo 500g ","56649","37","2.70","0.00"
"56784","Магазин Пловдив","Боб Борлотти Mirage 400 g","60230","46","0.86","0.00"
"66915","Магазин Пловдив 2","Боб Борлотти Mirage 400 g","60230","46","0.86","0.00"
"68134","Магазин София","Боб Борлотти Mirage 400 g","60230","46","0.86","0.00"
"68134","Магазин София 2","Боб Борлотти Mirage 400 g","60230","46","0.86","0.00"
"14619","МП 132100212","Боб Борлотти Mirage 400 g","60230","46","0.86","0.00"
"68134","Магазин София 2","Боб Борлотти Mirage 400g 1.29","59841","46","0.66","0.00"
"56784","Магазин Пловдив","Боб Каннеллини Amato 500g ","56772","46","2.40","0.00"
"66915","Магазин Пловдив 2","Боб Каннеллини Amato 500g ","56772","46","2.40","0.00"
"68134","Магазин София","Боб Каннеллини Amato 500g ","56772","46","2.40","0.00"
"68134","Магазин София 2","Боб Каннеллини Amato 500g ","56772","46","2.40","0.00"
"14619","МП 132100212","Боб Каннеллини Amato 500g ","56772","46","2.40","0.00"
"56784","Магазин Пловдив","Бяла захар Geber 1000g ","52329","38","1.99","0.00"
"66915","Магазин Пловдив 2","Бяла захар Geber 1000g ","52329","38","1.99","0.00"
"68134","Магазин София","Бяла захар Geber 1000g ","52329","38","1.99","0.00"
"68134","Магазин София 2","Бяла захар Geber 1000g ","52329","38","1.99","0.00"
"14619","МП 132100212","Бяла захар Geber 1000g ","52329","38","1.99","0.00"
"56784","Магазин Пловдив","Бяла кристална захар Italia Zuccheri 1kg","50032","38","1.71","0.00"
"66915","Магазин Пловдив 2","Бяла кристална захар Italia Zuccheri 1kg","50032","38","1.71","0.00"
"68134","Магазин София","Бяла кристална захар Italia Zuccheri 1kg","50032","38","1.71","0.00"
"68134","Магазин София 2","Бяла кристална захар Italia Zuccheri 1kg","50032","38","1.71","0.00"
"14619","МП 132100212","Бяла кристална захар Italia Zuccheri 1kg","50032","38","1.71","0.00"
"56784","Магазин Пловдив","Бяла кристална захар Suicra Classico 1kg","59638","38","1.58","0.00"
"66915","Магазин Пловдив 2","Бяла кристална захар Suicra Classico 1kg","59638","38","1.58","0.00"
"68134","Магазин София","Бяла кристална захар Suicra Classico 1kg","59638","38","1.58","0.00"
"68134","Магазин София 2","Бяла кристална захар Suicra Classico 1kg","59638","38","1.58","0.00"
"14619","МП 132100212","Бяла кристална захар Suicra Classico 1kg","59638","38","1.58","0.00"
"56784","Магазин Пловдив","Грах Mirage 410g","60462","47","0.86","0.00"
"66915","Магазин Пловдив 2","Грах Mirage 410g","60462","47","0.86","0.00"
"68134","Магазин София","Грах Mirage 410g","60462","47","0.86","0.00"
"68134","Магазин София 2","Грах Mirage 410g","60462","47","0.86","0.00"
"14619","МП 132100212","Грах Mirage 410g","60462","47","0.86","0.00"
"68134","Магазин София","Грах Mirage 410g 1.29","59840","47","0.66","0.00"
"56784","Магазин Пловдив","Домати на кубчета Valfrutta al Vapore Gran Cubetti 3x400g","58392","48","3.69","0.00"
"66915","Магазин Пловдив 2","Домати на кубчета Valfrutta al Vapore Gran Cubetti 3x400g","58392","48","3.69","0.00"
"68134","Магазин София","Домати на кубчета Valfrutta al Vapore Gran Cubetti 3x400g","58392","48","3.69","0.00"
"68134","Магазин София 2","Домати на кубчета Valfrutta al Vapore Gran Cubetti 3x400g","58392","48","3.69","0.00"
"14619","МП 132100212","Домати на кубчета Valfrutta al Vapore Gran Cubetti 3x400g","58392","48","3.69","0.00"
"56784","Магазин Пловдив","Кафе мляно Lavazza Crema e Gusto Dolce 250g ","60653","70","7.92","0.00"
"66915","Магазин Пловдив 2","Кафе мляно Lavazza Crema e Gusto Dolce 250g ","60653","70","7.92","0.00"
"68134","Магазин София","Кафе мляно Lavazza Crema e Gusto Dolce 250g ","60653","70","7.92","0.00"
"68134","Магазин София 2","Кафе мляно Lavazza Crema e Gusto Dolce 250g ","60653","70","7.92","0.00"
"14619","МП 132100212","Кафе мляно Lavazza Crema e Gusto Dolce 250g ","60653","70","7.92","0.00"
"56784","Магазин Пловдив","Кафе мляно SAO 250g","61202","70","4.55","0.00"
"66915","Магазин Пловдив 2","Кафе мляно SAO 250g","61202","70","4.55","0.00"
"68134","Магазин София","Кафе мляно SAO 250g","61202","70","4.55","0.00"
"68134","Магазин София 2","Кафе мляно SAO 250g","61202","70","4.55","0.00"
"14619","МП 132100212","Кафе мляно SAO 250g","61202","70","4.55","0.00"
"14619","МП 132100212","Кафе на зърна  Geber 1000g 11.99","50578","71","6.13","0.00"
"56784","Магазин Пловдив","Кафе на зърна  Segafredo Espresso Casa 1000g ","60385","71","20.70","0.00"
"66915","Магазин Пловдив 2","Кафе на зърна  Segafredo Espresso Casa 1000g ","60385","71","20.70","0.00"
"68134","Магазин София","Кафе на зърна  Segafredo Espresso Casa 1000g ","60385","71","20.70","0.00"
"68134","Магазин София 2","Кафе на зърна  Segafredo Espresso Casa 1000g ","60385","71","20.70","0.00"
"14619","МП 132100212","Кафе на зърна  Segafredo Espresso Casa 1000g ","60385","71","20.70","0.00"
"68134","Магазин София","Кафе на зърна 100% Арабика Kimbo Aroma Gold 1000g 35.99","59726","71","18.40","0.00"
"56784","Магазин Пловдив","Кафе на зърна 100% Арабика Kimbo Aroma Gold 1000g 37.79","59991","71","19.32","0.00"
"68134","Магазин София","Кафе на зърна 100% Арабика Kimbo Aroma Gold 1000g 37.79","59991","71","19.32","0.00"
"68134","Магазин София","КАФЕ НА ЗЪРНА BORBONE 1000g 27.99","60363","71","14.31","0.00"
"68134","Магазин София 2","КАФЕ НА ЗЪРНА BORBONE 1000g 27.99","60363","71","14.31","0.00"
"14619","МП 132100212","КАФЕ НА ЗЪРНА BORBONE 1000g 27.99","60363","71","14.31","0.00"
"56784","Магазин Пловдив","Кафе на зърна BORBONE MISCELA NOBILE 1000g ","60959","71","21.47","0.00"
"66915","Магазин Пловдив 2","Кафе на зърна BORBONE MISCELA NOBILE 1000g ","60959","71","21.47","0.00"
"68134","Магазин София","Кафе на зърна BORBONE MISCELA NOBILE 1000g ","60959","71","21.47","0.00"
"68134","Магазин София 2","Кафе на зърна BORBONE MISCELA NOBILE 1000g ","60959","71","21.47","0.00"
"14619","МП 132100212","Кафе на зърна BORBONE MISCELA NOBILE 1000g ","60959","71","21.47","0.00"
"68134","Магазин София","Кафе на зърна Classico Migro 1kg 21.99","54602","71","11.24","0.00"
"68134","Магазин София 2","Кафе на зърна Classico Migro 1kg 21.99","54602","71","11.24","0.00"
"56784","Магазин Пловдив","КАФЕ НА ЗЪРНА FORTUNA CLASSICO GUSTO ITALIANO 1 kg ","61177","71","17.89","0.00"
"66915","Магазин Пловдив 2","КАФЕ НА ЗЪРНА FORTUNA CLASSICO GUSTO ITALIANO 1 kg ","61177","71","17.89","0.00"
"68134","Магазин София","КАФЕ НА ЗЪРНА FORTUNA CLASSICO GUSTO ITALIANO 1 kg ","61177","71","17.89","0.00"
"68134","Магазин София 2","КАФЕ НА ЗЪРНА FORTUNA CLASSICO GUSTO ITALIANO 1 kg ","61177","71","17.89","0.00"
"14619","МП 132100212","КАФЕ НА ЗЪРНА FORTUNA CLASSICO GUSTO ITALIANO 1 kg ","61177","71","17.89","0.00"
"56784","Магазин Пловдив","Кафе на зърна Geber Espresso Cremoso Intenso 1000g","61808","71","18.40","0.00"
"66915","Магазин Пловдив 2","Кафе на зърна Geber Espresso Cremoso Intenso 1000g","61808","71","18.40","0.00"
"68134","Магазин София","Кафе на зърна Geber Espresso Cremoso Intenso 1000g","61808","71","18.40","0.00"
"68134","Магазин София 2","Кафе на зърна Geber Espresso Cremoso Intenso 1000g","61808","71","18.40","0.00"
"14619","МП 132100212","Кафе на зърна Geber Espresso Cremoso Intenso 1000g","61808","71","18.40","0.00"
"56784","Магазин Пловдив","Кафе на зърна Gimoka Gran Bar 1000g ","57095","71","16.87","0.00"
"66915","Магазин Пловдив 2","Кафе на зърна Gimoka Gran Bar 1000g ","57095","71","16.87","0.00"
"68134","Магазин София","Кафе на зърна Gimoka Gran Bar 1000g ","57095","71","16.87","0.00"
