"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134-02","Виенди Комерс ООД Абоба1","кроасан Milka какао 50гр","18965","67","1.12",""
"68134-02","Виенди Комерс ООД Абоба1","кроасан Milka ванилия 50гр","18966","67","1.12",""
"68134-02","Виенди Комерс ООД Абоба1","7DAYS кроасан макс какао 92гр","19012","67","0.87",""
"68134-02","Виенди Комерс ООД Абоба1","7DAYS кроасан макс ванилия 92гр","19013","67","0.87",""
"68134-02","Виенди Комерс ООД Абоба1","7DAYS кроасан макс лешник 92гр","19008","67","0.87",""
"68134-02","Виенди Комерс ООД Абоба1","7DAYS кроасан дабъл макс шоколад/ кокос 92гр","18970","67","0.87",""
"68134-02","Виенди Комерс ООД Абоба1","7DAYS кроасан дабъл макс ванилия/череша 92гр","18982","67","0.87",""
"68134-02","Виенди Комерс ООД Абоба1","КАРУЗО кроасаново хл. Шоколад 82гр","18995","67","0.66",""
"68134-02","Виенди Комерс ООД Абоба1","КАРУЗО кроасаново хл. пистачио 82гр","18999","67","0.66",""
"68134-02","Виенди Комерс ООД Абоба1","КАРУЗО кроасаново хл. боровинка 82гр","18998","67","0.66",""
"68134-02","Виенди Комерс ООД Абоба1","Милка млечен 100гр","17560","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Милка лешник 100гр","17551","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Милка лешник и стафида 100гр","17552","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Милка детска 100гр","17561","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Милка йогурт 100гр","17562","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Милка ягода 100гр","17572","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Милка сандвич орео 100гр","17573","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Милка орео 100гр","17574","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Кинер шоколад Т8 100гр","17850","69","1.78",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екстра криим 80гр","16990","69","3.32",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екстра криим лешник 80гр","16991","69","3.32",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екстра криим млечен  80гр","16992","69","3.32",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екстра криим солен карамел  80гр","16993","69","3.32",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екселенс портокал 100гр","17039","69","3.83",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екселенс 99% какао 100гр","17041","69","3.83",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екселенс 85% какао 100гр","17057","69","3.83",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екселенс 70% какао 100гр","17056","69","3.83",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екселенс чили 100гр","17058","69","3.83",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд екселенс карамел 100гр","17065","69","3.83",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд класик лешник и стафида 100гр","17067","69","2.55",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд линдор солен карамел 100гр","17125","69","3.47",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Линд линдор млечен 100гр","17121","69","3.47",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Кафарел класик 80гр","18163","69","3.57",""
"68134-02","Виенди Комерс ООД Абоба1","Шоколад Кафарел дарк 80гр","18164","69","3.57",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе еспресо МК 250гр","22300","70","7.41",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе куалита роса МК 250гр","22301","70","7.41",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе куалита оро МК 250гр","22302","70","7.66",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе крема е густо МК 250гр","22303","70","6.39",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе еспресо 250гр","22320","70","7.15",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе крема е густо 250гр","22321","70","5.87",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе безкофейн 250гр","22324","70","7.41",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе куалита роса 250гр","22325","70","6.90",""
"68134-02","Виенди Комерс ООД Абоба1","Лаваца Кафе куалита оро 250гр","22326","70","7.41",""
