"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"87374","М - 11","Bulcons лютеница Първомай по БДС 400г/6","00502680000200","49","2.17",
"87374","М - 11","Bulgarea краве сирене натрошено 350г вак. /9","00503260001120","14","2.84",
"87374","М - 11","ELIA Маслиново масло Extra Virgin Traditional 1L","00506050008210","43","13.70",
"87374","М - 11","Kiki мокри кърпи  с капак (90)/12","00706080001019","84","0.95",
"87374","М - 11","MEDIX веро класик лимон 500ml/18","00818600003363","79","0.69",
"87374","М - 11","MEDIX веро класик люляк 500ml/18","00818600003366","79","0.69",
"87374","М - 11","MEDIX веро класик ябълка 500ml/18","00818600003364","79","0.69",
"87374","М - 11","MISKO макарони прави 500г/12","00506050001004","36","1.51",
"87374","М - 11","My Day паст. мляко 1,5 % 1л/6","00505010000104","6","1.59",
"87374","М - 11","My Day паст. мляко 3,5% 1л/6","00505010000105","6","1.76",
"87374","М - 11","Panino Ориз български 1кг/6","00515640012148","35","1.72",
"87374","М - 11","Promar Перла трап. екстра сол внос Израел  1кг/10","00512150001005","39","0.42",
"87374","М - 11","STELLA спагети № 10  500г/20","00506110011409","37","1.49",
"87374","М - 11","Sante маслини черни едри в зехтин/3.5кг","00595290002380","62","3.92",
"87374","М - 11","Trendy мокри кърпи бебе с капак(120)/14","00717350001028","84","1.05",
"87374","М - 11","Атлантик скумрия 400/600 замраз./9","00503600001005","29","6.89",
"87374","М - 11","БГ Йогурт кр. сирене Кабиле нас. ","00533270005013","8","7.85",
"87374","М - 11","Боженци кисело мляко 2,2% 400г/20","00503260001000","7","0.75","0.69"
"87374","М - 11","Боженци кисело мляко 4% 400г/20","00503260001003","7","0.80","0.74"
"87374","М - 11","Боженци краве сирене 400г вак. /6","00503260001105","9","3.76",
"87374","М - 11","Бони Кренвирш/нас.","00545610009050","26","5.86",
"87374","М - 11","ВЕДА Оцет ябълков 5% 0,7л/72х12","00513190015026","45","1.13",
"87374","М - 11","Гърдеви краве кашкавал  ~ 1кг","00502590007925","11","11.10",
"87374","М - 11","Гърдеви краве сирене вак.","00502590007905","9","8.55",
"87374","М - 11","ДЕВА ш-н Натурал нар/арган  500ml/10","00606780003202","82","2.29",
"87374","М - 11","ДЕВА ш-н Натурал орех/алое 500мл/10","00606780003200","82","2.29",
"87374","М - 11","ДЕВА ш-н Натурал яйце/мед 500мл/10","00606780003205","82","2.29",
"87374","М - 11","Далнип-2 кайма смес  охл. тарелка 0,500","00532000000004","25","2.55",
"87374","М - 11","Деница хляб бял 650г червен","00505370010004","1","0.93",
"87374","М - 11","Деница хляб типов 650г","00505370010005","4","0.93",
"87374","М - 11","Елхово  бял хляб  цял 650г ","00503820001514","1","0.92",
"87374","М - 11","Елхово хляб пълнозърнест 500г","00503820001517","2","0.67",
"87374","М - 11","Елхово хляб типов 650г","00503820001519","4","0.92",
