"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"36525","ГИГИ 1","ХАМБУРГСКИ, КАМЧИЯ,  ТЕЛЕШКИ КЕН 350ГР","000057","27","2.12",""
"36525","ГИГИ 1","ДЕБЪРЦИН КЕН","000059","27","7.36",""
"36525","ГИГИ 1","ХЕЧ,КЕЧ КЕН","000060","27","8.69",""
"36525","ГИГИ 1","ТЕЧ КЕН","000061","27","8.69",""
"36525","ГИГИ 1","КРЕНВИРШ КЕН НАСИПЕН","000063","26","5.98",""
"36525","ГИГИ 1","МАКЕДОНКА КЕН","000064","27","6.75",""
"36525","ГИГИ 1","ЛИОНСКА КЕН","000065","27","6.75",""
"36525","ГИГИ 1","МАСЛИНИ НАТУРАЛНИ МЕКИ РЕГИНА","000068","62","5.10",""
"36525","ГИГИ 1","ТИПОВ СЕЛСКИ ХЛЯБ ДИАМАНТ 400ГР.","000104","4","0.87",""
"36525","ГИГИ 1","ГРАХ ХЕНЦ 400ГР.","000124","47","1.89",""
"36525","ГИГИ 1","КАШКАВАЛ КРАВЕ  КАРНОБАТСКИ -СИГМЕН","000131","11","12.02",""
"36525","ГИГИ 1","КРЕНВИРШ ЛЕКИ","000134","26","6.14",""
"36525","ГИГИ 1","КАФЕ САНТОС 200ГР. НОВА","000144","70","2.91",""
"36525","ГИГИ 1","КРАВЕ СИРЕНЕ ЙОГУРТ ВАК.","000149","9","8.18",""
"36525","ГИГИ 1","КАШКАВАЛ КРАВЕ 200ГР. БОР ЧВОР","000156","11","2.61",""
"36525","ГИГИ 1","ЛИМОНИ","000158","50","3.58",""
"36525","ГИГИ 1","ГЪБИ ПРЕСНИ","000159","60","5.52",""
"36525","ГИГИ 1","ДОМАТИ","000160","54","3.57",""
"36525","ГИГИ 1","КРАСТАВИЦИ","000162","58","3.60",""
"36525","ГИГИ 1","ЧЕСЪН","000163","59","4.32",""
"36525","ГИГИ 1","МОРКОВИ","000164","56","1.19",""
"36525","ГИГИ 1","БАНАНИ","000165","52","2.30",""
"36525","ГИГИ 1","ЗЕЛЕ","000167","57","1.45",""
"36525","ГИГИ 1","ПОРТОКАЛИ","000168","51","1.92",""
"36525","ГИГИ 1","КАРТОФИ","000169","61","1.22",""
"36525","ГИГИ 1","ФРЕНСКО МАСЛО РОЛКА 250ГР.","000177","12","6.08",""
"36525","ГИГИ 1","СМЕС СИРЕНЕ ЕЛИТ ВАК.","000190","9","9.25",""
"36525","ГИГИ 1","ВАРЕНО ПРЯСНО МЛЯКО БОР ЧВОР 1Л. 3%","000225","6","1.33",""
"36525","ГИГИ 1","ХЛЯБ АЕТОС 700ГР","000229","1","0.97",""
"36525","ГИГИ 1","ЯБЪЛКА","000309","53","1.84",""
"36525","ГИГИ 1","П.З. ДЕНТАЛ СЕНЗИТИВ 100МЛ.","000315","81","1.63",""
"36525","ГИГИ 1","КОРИ ЗА БАНИЦА ЗЛ. ЦАРИЦА 500ГР.","000321","5","1.94",""
"36525","ГИГИ 1","ЕЛЕНА КИСЕЛО МЛЯКО 2% 400ГР.","000359","7","0.83",""
"36525","ГИГИ 1","ЕЛЕНА КИСЕЛО МЛЯКО 3.6 400ГР.","000363","7","0.86",""
"36525","ГИГИ 1","П.З. АКВАФРЕШ 75 МЛ.","000367","81","1.64",""
"36525","ГИГИ 1","ПЕНЛИВО ВИНО ИСКРА РОЗЕ 750МЛ.,БЯЛО 750МЛ.","000388","75","3.48",""
"36525","ГИГИ 1","МАСЛИНИ  ГЕМЛИК","000446","62","5.37",""
"36525","ГИГИ 1","П.З. ДЕНТАЛ  ЧЕРНО И БЯЛО 100МЛ.","000450","81","1.43",""
"36525","ГИГИ 1","БИАНЧИ КАФЕ  БЛЕК 250ГР.","000459","70","5.06",""
"36525","ГИГИ 1","БИАНЧИ КАФЕ ГОЛД 250ГР.","000461","70","4.29",""
"36525","ГИГИ 1","БИАНЧИ КАФЕ СИЛВЪР 250ГР.","000463","70","3.83",""
"36525","ГИГИ 1","СПЕТЕМА РАГАЦИ 250ГР.","000528","70","5.27",""
"36525","ГИГИ 1","САНТОС КАФЕ 200ГР. ЕСПРЕСО","000533","70","3.07",""
"36525","ГИГИ 1","РАВНОГОР СИРЕНЕ ЗА ГРИЛ 250ГР.","000578","9","3.96",""
"36525","ГИГИ 1","ВАРЕН БОБ КРЪСТЕВ 540ГР.","000607","46","1.38",""
"36525","ГИГИ 1","КРОАСАН АЙ КЮ","000702","67","0.77",""
"36525","ГИГИ 1","СТЕЛА ПЪЛНОЗЪРНЕСТИ МАКАРОНИ 500ГР.","000788","36","1.48",""
"36525","ГИГИ 1","КАФЕ БИАНЧИ 1КГ. ОРО","000790","71","16.82",""
"36525","ГИГИ 1","КАФЕ КАБАНА 1КГ. ЗЪРНА","000793","71","12.22",""
"36525","ГИГИ 1","БИРА АСТИКА 2Л","000805","74","1.43",""
"36525","ГИГИ 1","ЧИЧОВЦИ ШПЕК КЛАСИК 300ГР.","000840","28","2.15",""
"36525","ГИГИ 1","Р-Я КАЙСИЕВА РУСЕ 700МЛ.","000929","77","5.77",""
"36525","ГИГИ 1","НАН ОПТИПРО 2","000943","65","13.04",""
"36525","ГИГИ 1","ЛЮТЕНИЦА ПЕТЕЛ 575ГР.","000947","49","1.77",""
"36525","ГИГИ 1","ОЦЕТ ЯБЪЛКА АРИВА 700МЛ.","001002","45","1.07",""
"36525","ГИГИ 1","ДОМ. ПЮРЕ АРИВА 700ГР.","001007","48","2.40",""
"36525","ГИГИ 1","ГРАХ  МЛЕЧЕН АРИВА 680ГР.","001025","47","1.33",""
"36525","ГИГИ 1","ДОМАТИ АРИВА 680ГР.","001029","48","1.25",""
"36525","ГИГИ 1","П.З. 'АКВАФРЕШ' ТРОЙНА ЗАЩИТА 125МЛ.","001075","81","2.02",""
"36525","ГИГИ 1","П.З. 'АКВАФРЕШ' ТРОЙНА ЗАЩИТА 50МЛ.","001078","81","1.23",""
"36525","ГИГИ 1","КОНС БОБ МИСОТА 425МЛ.","001104","46","1.02",""
"36525","ГИГИ 1","КОНС.МАСЛЕН БОБ,БОБ С ДОМАТИ МИСОТА","001105","46","1.18",""
"36525","ГИГИ 1","ГРАХ БУРКАН  680ГР. МИСОТА","001111","47","1.74",""
"36525","ГИГИ 1","ЛЮТЕН ПЪРВ. ЛЮТЕНИЦА И ХОРО БЕЗ БАНДЕРОЛ 560ГР КОНСЕРВИНВЕСТ","001131","49","2.20",""
"36525","ГИГИ 1","МАКАР. МЕЛИСА 500ГР.","001137","36","1.25",""
"36525","ГИГИ 1","Ч.З. 'АКВАФРЕШ' IN-BETWEEN","001145","80","1.64",""
"36525","ГИГИ 1","Ч.З. 'АКВАФРЕШ' ФЕМИЛИ","001154","80","0.72",""
"36525","ГИГИ 1","КАШК. КРАВЕ МЕРОНЕ 500ГР.","001165","11","7.21",""
"36525","ГИГИ 1","П.З. СЕНСОДИН 75МЛ.","001203","81","3.63",""
"36525","ГИГИ 1","П.З. СЕНСОДИН 75МЛ. РЕПАИЪР","001215","81","5.22",""
"36525","ГИГИ 1","БИРА ЗАГОРКА 2Л.","001220","74","1.18",""
"36525","ГИГИ 1","МАКАРОНИ STELLA ТРИЦВЕТНИ 500ГР.","001234","36","1.79",""
"36525","ГИГИ 1","МАКАРОНИ СТЕЛА  500ГР.","001236","36","1.38",""
"36525","ГИГИ 1","МАКАРОНИ СТЕЛА  ПАНДЕЛКИ 500ГР.","001237","36","1.38",""
"36525","ГИГИ 1","СПАГЕТИ СТЕЛА 500ГР.","001238","37","1.33",""
"36525","ГИГИ 1","ЧАЙ БИЛКОВ БИОСЕТ И ПЛОДОВ","001255","72","1.07",""
"36525","ГИГИ 1","ХЛЯБ РЪЖЕНО ПШЕНИЧЕН СЛАДКАР 500ГР.","001261","3","0.97",""
"36525","ГИГИ 1","КОНС. ДОМАТИ 'RUSSO' 400ГР.","001361","48","1.18",""
"36525","ГИГИ 1","КАША СЛЪНЧО СЛАДЪК СЪН 200ГР.","001368","63","2.61",""
"36525","ГИГИ 1","ЧУДНО КИСЕЛО МЛЯКО 2.5% 400ГР.","001386","7","0.83",""
"36525","ГИГИ 1","КИСЕЛО МЛЯКО СИТОВО 3.6% 500ГР.","001404","7","0.92",""
"36525","ГИГИ 1","П.З. КОЛГЕЙТ 75МЛ. МАКС ФРЕШ СИНЯ","001408","81","1.64",""
"36525","ГИГИ 1","ВИНО ЖАМЕ ВЮ РОЗЕ 750МЛ.","001429","75","10.48",""
"36525","ГИГИ 1","ЧАЙ МОНАРДА МЕНТА,ЛАЙКА","001433","72","0.87",""
"36525","ГИГИ 1","Б-ТИ НАЯ КЛАСИК 180ГР.","001451","66","1.00",""
"36525","ГИГИ 1","ВИНО ШАТО МАВРУД  К-Т 750 МЛ.","001482","75","3.45",""
"36525","ГИГИ 1","ВИНО ШАТО МУСКАТ К-Т 750 МЛ.","001483","75","3.45",""
"36525","ГИГИ 1","ВИНО СОФИЯ ШАРДОНЕ,РОЗЕ  К-Т 750МЛ.","001485","75","2.12",""
"36525","ГИГИ 1","ВИНО СОФИЯ КАБЕРНЕ К-Т 750","001487","76","2.12",""
"36525","ГИГИ 1","БРАШНО ЕКСТРА СОФИМЕЛ 1КГ.","001513","41","1.02",""
"36525","ГИГИ 1","БИЛКОВ ЧАЙ -ПИРИН ЧАЙ","001518","72","0.61",""
"36525","ГИГИ 1","КАША СЛЪНЧО БАНАНОВА 200ГР.","001574","63","2.61",""
"36525","ГИГИ 1","КАША СЛЪНЧО ПШЕНИЧНА 200ГР.","001585","63","2.56",""
"36525","ГИГИ 1","ВИНО ФОТОГРАФ ПИНО ГРИ 750МЛ.","001612","75","9.87",""
"36525","ГИГИ 1","КАША СЛЪНЧО БАНАН И БИСКВИТИ 200ГР.","001613","63","2.61",""
"36525","ГИГИ 1","САПУН ДАФ ОРИГИНАЛ  90ГР.","001656","83","0.92",""
"36525","ГИГИ 1","БЯЛ ХЛЯБ С КВАС ДЕСИЙ 600ГР.","001669","1","0.92",""
"36525","ГИГИ 1","ВИНО КАБЕРНЕ БРАТЯ МИНКОВИ 750МЛ.","001677","76","9.50",""
"36525","ГИГИ 1","КРАВЕ СИРЕНЕ ВЕРЕЯ 700ГР. ВАК.","001696","9","8.25",""
"36525","ГИГИ 1","КРАВЕ СИРЕНЕ ВЕРЕЯ 400ГР. ПВЦ","001699","9","5.38",""
"36525","ГИГИ 1","КИСЕЛО МЛЯКО БОЖЕНЦИ БДС 3.6% 400ГР.","001817","7","0.75",""
"36525","ГИГИ 1","П.З. КОЛГЕЙТ 75МЛ. МАКС ИЗБ. ОПТИК,НАТУРАЛНА 75МЛ.-ЧЕРВЕНА","001840","81","2.81",""
"36525","ГИГИ 1","КАФЕ Н.БРАЗ. 200ГР. КЛАСИК","001844","70","3.52",""
