"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","650ГР ХЛЯБ БЪЛГАРИЯ ДТГ","99113198","1","0.92",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ БЪЛГАРИЯ СЛАДКАР","9913957","1","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ СТАРА ЗАГОРА АЙТОС","9912060","1","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ БЯЛ МЛАДОСТ ДЖЕЙЕЛПИ","9911367","1","0.92",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ СЕЛСКИ  ДИАМАНТ","99110256","1","1",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ БЯЛ БУРГАС ХЛЯБ","9913","1","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ БЯЛ МИЛЕНА","9915423","1","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ ДОБРУДЖА АЙТОС","9913143","2","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР РЕЙНСКИ РЪЖЕН ХЛЯБ ДИАМАНТ","99110654","3","1.18",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР ХЛЯБ РЪЖЕН СЛАДКАР","9911214","3","0.97",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ ТИПОВ АЙТОС","9912021","4","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ ТИПОВ ДЖЕЙЕЛПИ","991422","4","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ ТИПОВ МИЛЕНА","9915388","4","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","600ГР ХЛЯБ ТИПОВ БУРГАС ХЛЯБ","9911734","4","0.95",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР ТИПОВ ХЛЯБ ЛАЗУР","9911359","4","1.02",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КОРИ ЗА БАНИЦА БЕЛЛА","9911145","5","1.8",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КОРИ ЗА БАКЛАВА ФАМИЛИЯ","99110172","5","1.81",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР КОРИ ЗА БАНИЦА ФАМИЛИЯ","9911146","5","1.77",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КОРИ ЗА БАНИЦА ТРАКИЙСКИ","9915524","5","1.33",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР КОРИ ЗА БАНИЦА ОДРИНСКИ","9917210","5","1.82",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР КОРИ ЗА БАНИЦА ЦАРИЦА","9917848","5","2.04",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР ТОЧЕНИ КОРИ ЗА БАКЛАВА И СЛАДКИ БЕЛЛА","9917087","5","1.63",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","1Л ПРЯСНО МЛЯКО ТЕРТЕР 3.6%","99116381","6","1.33","1.3"
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","1Л ПРЯСНО МЛЯКО МЕГЛЕ 3.2%","9912807","6","1.87",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","1Л ПР.МЛЯКО ВЕРЕЯ 3%","9914017","6","1.61","1.49"
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","1Л ПР.МЛЯКО БОЖЕНЦИ 3.5%","9915670","6","1.61",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КИС. МЛЯКО ВЕРЕЯ 2.9%","9915537","7","0.77",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КИС.МЛЯКО ОЛИМПУС 3.6%","9918111","7","0.79",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР КИС.МЛЯКО РОДОПЧАНКА","99113164","7","0.84",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР КИС.МЛЯКО ДОБРУДЖАНСКО СИТОВО 3.6%","9916714","7","0.89",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КИС.МЛЯКО ВЕРЕЯ 2%","9911353","7","0.74","0.67"
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КИС.МЛЯКО БОЖЕНЦИ 2.2%","9913367","7","0.74","0.69"
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КИС.МЛЯКО ВЕРЕЯ  3.6%","9911149","7","0.79","0.72"
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","500ГР КИС.МЛЯКО ДОМЛЯН 3.6%","9916317","7","0.84",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КИС.МЛЯКО КОРТЕН 3.6%","9913977","7","0.65",""
"07079","Минимаркет ГОЧЕВ ж.к.Зорница между бл.2 и бл.3","400ГР КИС.МЛЯКО БОР ЧВОР 2%","99111938","7","0.57",""
