Населено място;Търговски обект;Наименование на продукта;Код на продукта;Категория;Цена на дребно;Цена в промоция
55871;ГРИЗЛИ 8 ТЕВА;Банани;001314;52;1.95;
55871;ГРИЗЛИ 8 ТЕВА;Банани;001314;52;1.99;
55871;ГРИЗЛИ 8 ТЕВА;Бира Ариана Светло 2.3л.;003366;74;1.59;1.28
55871;ГРИЗЛИ 8 ТЕВА;Бира Бургаско Светло 2.3л.;003588;74;1.63;1.25
55871;ГРИЗЛИ 8 ТЕВА;Бира Пиринско светло 2.3л.;006073;74;1.61;
55871;ГРИЗЛИ 8 ТЕВА;Бира Шуменско светло 2.2л.;003587;74;1.66;1.37
55871;ГРИЗЛИ 8 ТЕВА;Бисквити Роден край обикновени 190гр.;013428;66;1.07;0.9
55871;ГРИЗЛИ 8 ТЕВА;Брашно София Мел Тип 500 1кг.;000972;40;1.05;
55871;ГРИЗЛИ 8 ТЕВА;Бяло Вино Ethno 750мл.;005815;75;4.95;
55871;ГРИЗЛИ 8 ТЕВА;Бяло Саламурено Краве Сирене Топила;004610;8;7.61;
55871;ГРИЗЛИ 8 ТЕВА;Бяло Саламурено Сирене от Краве Мляко Лудогорско;007315;8;6.21;
55871;ГРИЗЛИ 8 ТЕВА;Бяло саламурено сирене от краве мляко Булгарче;001526;8;7.11;
55871;ГРИЗЛИ 8 ТЕВА;Веро Ехо 400мл.;000656;79;1.22;
55871;ГРИЗЛИ 8 ТЕВА;Детска лютеница Олинезко 520гр.;002913;49;3.01;
55871;ГРИЗЛИ 8 ТЕВА;Домати;001310;54;2.79;
55871;ГРИЗЛИ 8 ТЕВА;Домашна Едросмляна Лютеница Deroni 520гр.;632234;49;4.22;3.39
55871;ГРИЗЛИ 8 ТЕВА;Домашна Лютеница Олинеза 515гр.;630525;49;3.73;
55871;ГРИЗЛИ 8 ТЕВА;Жълта ябълка;010837;53;2.05;
55871;ГРИЗЛИ 8 ТЕВА;Захар Вучко 1кг.;009431;38;0.83;
55871;ГРИЗЛИ 8 ТЕВА;Зелена Ябълка;002543;53;2.29;
55871;ГРИЗЛИ 8 ТЕВА;Кайма Стандарт Сами - М;006600;25;6.28;
55871;ГРИЗЛИ 8 ТЕВА;Картоф;001313;61;0.65;
55871;ГРИЗЛИ 8 ТЕВА;Кафе Nova Brasilia Класик Мляно 200гр.;009970;70;3.93;
55871;ГРИЗЛИ 8 ТЕВА;Кафе Santos Nova мляно 200гр.;003167;70;3.32;
55871;ГРИЗЛИ 8 ТЕВА;Кашкавал Лудогорие пита;000592;10;9.59;
55871;ГРИЗЛИ 8 ТЕВА;Кашкавал Матанд Тапа;009377;10;12.78;
