"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","АЛЕРГОЗАН крем 1% /18гр","98","91","4.21",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","АЛЕРГОЗАН табл 25мг /20бр","99","100","3.85",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","БИЗАЛАКС филм табл 5мг /30бр РАФТ11","379","88","2.28",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","ОТИПАКС сол /16гр","2225","101","3.92",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","РЕПАРИЛ гел 40 гр NM","2552","95","5.67",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","СПАЗМАЛГОН табл. / 20 бр","2749","87","4.10",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","ТАЛЦИД табл 500мг /20бр","2831","86","4.19",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","ЛОПЕДИУМ капс 2мг /10бр","13893","89","3.64",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","МУКОНАЗАЛ ПЛЮС шпрей 10мл ASD","19939","97","6.73",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","СПИРТ ЕТИЛОВ 70% /100мл  ХИМАКС","20063","92","0.73",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","АНГАЛ ЛИМОН табл за смучене /24бр ","45455","98","6.75",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","КЕТОНАЛ капс 50мг /20бр","45842","94","6.75",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","АЦЦ МЕД И ЛИМОН саше 600мг /10бр","71721","99","8.72",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","НИЗОРАЛ шампоан 2% /100мл","78797","90","14.20",""
"12259","ДИ ФАРМА 2 ВРАЦА гр.Враца ул.Ал. Стамболийски № 1, аптека 2","АНАЛГИН табл  500мг /30бр СОФАРМА","83733","96","2.60",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","АЛЕРГОЗАН крем 1% /18гр","98","91","4.21",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","АЛЕРГОЗАН табл 25мг /20бр","99","100","3.85",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","БИЗАЛАКС филм табл 5мг /30бр РАФТ11","379","88","2.29",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","ОТИПАКС сол /16гр","2225","101","3.92",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","РЕПАРИЛ гел 40 гр NM","2552","95","5.67",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","СПАЗМАЛГОН табл. / 20 бр","2749","87","4.10",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","ТАЛЦИД табл 500мг /20бр","2831","86","4.19",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","ЛОПЕДИУМ капс 2мг /10бр","13893","89","3.64",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","МУКОНАЗАЛ ПЛЮС шпрей 10мл ASD","19939","97","6.85",""
"12259","ДИ ФАРМА 3 ВРАЦА гр.Враца бул.Втори юни № 111,етаж 0, магазин 1","СПИРТ ЕТИЛОВ 70% /100мл  ХИМАКС","20063","92","0.74",""
