"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ХЛЯБ СИМИД 650г нарязан БЯЛ","4","1","0.88",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ХЛЯБ БЯЛ НА ПЛОЧА 650г Лозана","8","1","0.81",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ХЛЯБ ДОБРУДЖА 650Г ЕЛИАЗ","13","2","0.88",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","МАСЛИНИ - МИКС","18","62","5.11",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЯЙЦА L размер 6бр","21","32","1.48",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ТИПОВ СЕЛСКИ ХЛЯБ 400г ДИАМАНТ","25","4","0.81",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ХЛЯБ МИО НАРЯЗАН","38","1","0.81",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ХЛЯБ ЛИМЕЦ И РЪЖ 400г ЕЛИАЗ","43","3","1.39",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЛЮТЕНИЦА КАПИТАН ДЕРОНИКО 520г","66","49","2.86",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЛЮТЕНИЦА ОЛИНЕЗА 520г традиция","72","49","2.75",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЛЮТЕНИЦА ДЕТСКА ОЛИНЕЗА 520г","76","49","2.60",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЛЮТЕНИЦА СЕЛЦЕ ЕДРОСМЛЯНА 570г","77","49","2.55",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЯЙЦА М-размер 10бр","100","31","2.15",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЛЮТЕНИЦА ТОДОРКА 575г трад.","134","49","2.50",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","БИСКВИТИ ОБИКНОВЕНИ ЖИТЕН ДАР 120/130г","154","66","0.69",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","БИСКВИТИ ОБИКНОВЕНИ 130Г./КРИСТАЛ ПЛОВДИВ","155","66","0.59",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ХЛЯБ БЪЛГАРИЯ 650Г","214","1","0.81",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ВИНО КАБИЛЕ Шардоне Сов.Блан 750мл","233","75","5.62",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","СЛЪНЧО БЕБЕШКА КАША МЛЯКО С ОРИЗ 200Г без глутен","320","63","2.92",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","БЕБЕЛАН ПЮРЕ ЯБЪЛКИ,КАЙСИИ,ОВЕСЕНИ ЯДКИ 190г","364","64","1.25",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ЗЕЛЕН ГРАХ МКМ 680г","375","47","1.51",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ДОМАШНО КИСЕЛО МЛЯКО 3.6% 500г Родопчанка","395","7","0.74",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ВИНО СТАРОСЕЛ МИЛЕЗИМ ЧЕРВЕНО 750мл","458","76","10.68",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КАФЕ-ЧИБО ГОЛД СЕЛЕКШЪН 1кг зърна","468","71","17.59",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ГРАХ 400Г ЗИМНИКА","484","47","1.27",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ПИЛЕ ГРИЛ ОХЛАДЕНО ГРАДУС","489","15","4.57",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ПИЛЕШКИ КРЕНВИРШИ ГРАДУС","501","26","2.92",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КАЙМА 60/40 СВИНСКО/ТЕЛЕШКО МЕСО СММНа Софрата-В-","513","25","5.49",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","МАСЛИНИ КАЛАМАТА","515","62","6.39",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","СВИНСКИ ВРАТ С КОСТ България нарязано","516","21","6.03",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ТХК ЧИЧОВЦИ 400г","527","27","1.53",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ХЛЯБ ДОБРУДЖА БОТУНЕЦ 650г нарязан","543","2","0.86",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","МЛЯНО КАФЕ ЛАВАЦА QUALITA ORO 250g","613","70","5.97",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","СЛЪНЧО БЕЗМЛЕЧНА ОРИЗОВА КАША БИО 4М+ 180г","631","63","2.65",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","НОВА БРАЗИЛИЯ КЛАСИК 200г","635","70","3.27",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КАШКАВАЛ БОРИНО  ПИТА","654","10","13.29",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КАШКАВАЛ НАБОРЬ ПИТА-кг-","681","10","7.97",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КИСЕЛО МЛЯКО БОР ЧВОР 400Г 2%","713","7","0.58",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","ПРЯСНО МЛЯКО 1Л ВЕРЕЯ 3%","716","6","1.48",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","БЕБЕЛАН БАНАН, ЯБЪЛКА И ОВЕСЕНИ ЯДКИ 190г","742","64","1.27",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","МАСЛО КРАВЕ ВЪЛЧЕВ 125г","748","12","1.63",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","СЛЪНЧО КАША ЕЛДА С ПЛОДОВЕ МЛЕЧНА 200г","755","63","3.06",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","МАСЛО КРАВЕ Deut.Mark.250г ДВЕ КРАВИЧКИ","763","12","2.39",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КАФЕ НОВА БРАЗИЛИЯ джезве 200Г","793","70","3.27",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","МАСЛО КРАВЕ НЕМСКО 82% 250г","799","12","2.89","2.69"
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КРАВЕ КАШКАВАЛ РОЖЕН вак","817","11","9.91",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КАФЕ TCHIBO ESPRESSO Milano style 250Г","828","70","5.43",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КРАВЕ СИРЕНЕ МАКЛЕР кг","833","8","7.46",""
"32901","ДИА-СИ , Ихтиман, ул.Стефан Стамболов 1","КРЕНВИРШИ КЕН","851","26","5.26",""
