"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Демеа Хляб Бял 650гр","9659","1","1.00","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Наше Село К-л тост","11387","10","8.90","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Домлян К-л г.п.","4753","10","10.40","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","БУЛГАРЧЕ К-л тост","4880","10","7.41","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Нивего К-л тост","52","10","9.36","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Нивего К-л 1кг","54","10","9.74","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","НАБОРЪ Кашкавал  тост","62","10","7.64","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Нивего К-л плочка","53","11","9.80","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Домлян Кашкавал 230гр","6309","11","2.55","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Бачо Илия К-л 24бр х 0.2гр кръг","6686","11","2.20","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Мероне К-л 320гр триъг.","8636","11","3.83","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Мероне К-л 800гр","9068","11","9.36","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Наше село Масло 82/125гр","11039","12","1.51","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","НЕМСКО Масло жълто 250 гр","298","12","2.70","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","БУЛГАРЧЕ Масло 125гр","4902","12","0.79","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Домлян Извара 5 кг","352","13","1.23","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Домлян Извара 450 гр","351","14","1.28","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Пил.филе без кожа Доля","17634","16","8.79","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Пилешки бут с част от гърба","17633","17","3.17","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Свинска плешка","3890","18","4.90","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Свински бут без кост","4392","19","4.99","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Демеа Хляб Добруджа 650гр","6941","2","1.00","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Свински Шол","17635","20","5.88","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Св.врат без кост","9005","21","7.11","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Св.месо за готвене","5327","22","5.11","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Телешки шол","17636","23","13.55","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Тел. месо за готвене","17637","24","10.22","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Лазаров Мес Кайма 1кг","17648","25","5.52","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Градус Кр.Пилешки","123","26","3.04","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Житница Кренвирш","126","26","4.95","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","БОНИ Кренвирш","129","26","4.55","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","БРАВО Кренвирш Пилешки","3822","26","3.02","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","ФЕРМАТА Колбас Телешки 750 гр","431","27","2.25","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","НАРОДЕН Колбас тип Телешки 300 гр","435","27","1.49","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Елко Сервилат Московски вак.","11225","28","9.40","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Чичовци Сервилат 300гр","12149","28","2.10","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","БОНИ Шпек Бургас класик 220гр","1800","28","2.63","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","БОНИ Деликатесен салам 240гр","1801","28","3.22","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Минев Шпек Алпийски","1803","28","7.99","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Минев Шпек Бургас Лукс","1804","28","11.40","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","БОНИ Шпек Сандвич 330гр","3692","28","3.32","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Житница Шпек Деликатесен 400гр","6821","28","3.88","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","ПЪСТЪРВА  почистена","1653","29","7.52","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Риба СКУМРИЯ","217","29","4.91","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Яйца L","4","32","0.20","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","Крина Боб традиционен 1кг Nat choice","9728","33","2.74","0.00"
"41112","МАГАЗИН 1 Димекс ООД, ул.Димитър Каляшки 1","ОБЕРОН Леща 1 кг","467","34","2.05","0.00"
