Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Хляб Добруджа 830г.,47141,1,1.28,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Хляб Добруджа 830г.,47141,1,1.28,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Хляб Добруджа 500г. без ГМО,47142,1,1.02,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Хляб Добруджа 500г. без ГМО,47142,1,1.02,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Братя Пееви дом.кисело мляко 3.8 500гр,46001,7,1.74,
68134,DN SHOP – БУЛ. ПАНЧО ВЛАДИГЕРОВ 23,Братя Пееви дом.кисело мляко 3.8 500гр,46001,7,1.74,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Братя Пееви дом.кисело мляко 3.8 500гр,46001,7,1.74,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Братя Пееви дом.кисело мляко 3.8 500гр,46001,7,1.74,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Братя Пееви дом.кисело мляко 3.8 500гр,46001,7,1.74,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Братя Пееви дом.сирене 460гр.,46002,9,5.27,
68134,DN SHOP – БУЛ. ПАНЧО ВЛАДИГЕРОВ 23,Братя Пееви дом.сирене 460гр.,46002,9,5.27,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Братя Пееви дом.сирене 460гр.,46002,9,5.27,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Братя Пееви дом.сирене 460гр.,46002,9,5.27,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Братя Пееви дом.сирене 460гр.,46002,9,5.27,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Мургаш сирене краве 400гр.,47032,9,4.7,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Мургаш сирене краве 400гр.,47032,9,4.7,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Мургаш сирене краве 400гр.,47032,9,4.7,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Мургаш сирене краве 400гр.,47032,9,4.7,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Мургаш кашкавал 200гр.,47041,11,3.12,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Мургаш кашкавал 200гр.,47041,11,3.12,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Мургаш кашкавал 200гр.,47041,11,3.12,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Мургаш кашкавал 200гр.,47041,11,3.12,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Мургаш кашкавал 400гр.,47042,11,5.98,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Мургаш кашкавал 400гр.,47042,11,5.98,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Мургаш кашкавал 400гр.,47042,11,5.98,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Мургаш кашкавал 400гр.,47042,11,5.98,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Братя Пееви кашкавал 460гр.,46003,11,6.54,
68134,DN SHOP – БУЛ. ПАНЧО ВЛАДИГЕРОВ 23,Братя Пееви кашкавал 460гр.,46003,11,6.54,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Братя Пееви кашкавал 460гр.,46003,11,6.54,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Братя Пееви кашкавал 460гр.,46003,11,6.54,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Братя Пееви кашкавал 460гр.,46003,11,6.54,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Масло крава голяма,46021,12,4.29,
68134,DN SHOP – БУЛ. ПАНЧО ВЛАДИГЕРОВ 23,Масло крава голяма,46021,12,4.29,
68134,DN SHOP – УЛ. 117 № 2,Масло крава голяма,46021,12,4.29,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Масло крава голяма,46021,12,4.29,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Масло крава голяма,46021,12,4.29,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Масло крава голяма,46021,12,4.29,
68134,DN SHOP – УЛ. ТЪРНОВО 27,Яйца 6-ца L,46023,32,1.79,
68134,DN SHOP – УЛ. ОПЪЛЧЕНСКА 108,Яйца 6-ца L,46023,32,1.79,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,Яйца 6-ца L,46023,32,1.79,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",Яйца 6-ца L,46023,32,1.79,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,СПЕКТЪР МАКАРОНИ 500ГР Х 10,47361,36,1.38,
68134,"DN SHOP – ЖК. ОБЕЛЯ 1, БЛОК 122Б",СПЕКТЪР МАКАРОНИ 500ГР Х 10,47361,36,1.38,
68134,DN SHOP – УЛ. АКАДЕМИК ДМИТРИЙ ЛИХАЧОВ 26 1,СПЕКТЪР СПАГЕТИ 500ГР Х 10,47363,37,1.38,
