"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Камеа плюс ЕООД - Равиа Ана Феликсова - ВАРНА,Ж.К.ВЪЗРАЖДАНЕ №1 УЛ.АНА ФЕЛИКСОВА №18А ВХ.В ЕТ.1 - ПАРТЕР","АБРИКОРТ крем 15гр.","10","90","4.78",""
"35064","Дянков фарма ЕООД - Равиа Каварна - гр. Каварна, ул. България 30","АБРИКОРТ крем 15гр.","10","90","4.65",""
"21912","Камеа плюс ЕООД - Равиа Долни Чифлик - гр.Долни Чифлик,пл.Димитър Стоичков 1","АБРИКОРТ крем 15гр.","10","90","4.78",""
"72624","Дянков Фарма ЕООД - Равиа Добрич Ритейл парк -","АБРИКОРТ крем 15гр.","10","90","4.78",""
"66425","Дянков Фарма ЕООД - Равиа Силистра - УЛ.СИМЕОН ВЕЛИКИ","АБРИКОРТ крем 15гр.","10","90","4.73",""
"58503","Камеа плюс ЕООД - Равиа Провадия -","АБРИКОРТ крем 15гр.","10","90","4.83",""
"00182","Равиа ЕООД - Равиа Аксаково -","АБРИКОРТ крем 15гр.","10","90","4.83",""
"10135","Равиа ЕООД - Равиа Цветен -","АБРИКОРТ крем 15гр.","10","90","4.74",""
"72624","Дянков фарма ЕООД - Равиа Добрич - Добрич,пл.Свобода 2","АБРИКОРТ крем 15гр.","10","90","4.78",""
"10135","Камеа плюс ЕООД - Равиа Ана Феликсова - ВАРНА,Ж.К.ВЪЗРАЖДАНЕ №1 УЛ.АНА ФЕЛИКСОВА №18А ВХ.В ЕТ.1 - ПАРТЕР","АЦЦ 200 сашети 200мг.х20","15","99","6.97",""
"03719","Камеа плюс ЕООД - Равиа Белослав -","АЦЦ 200 сашети 200мг.х20","15","99","6.97",""
"35064","Дянков фарма ЕООД - Равиа Каварна - гр. Каварна, ул. България 30","АЦЦ 200 сашети 200мг.х20","15","99","6.77",""
"21912","Камеа плюс ЕООД - Равиа Долни Чифлик - гр.Долни Чифлик,пл.Димитър Стоичков 1","АЦЦ 200 сашети 200мг.х20","15","99","6.97",""
"72624","Дянков Фарма ЕООД - Равиа Добрич Ритейл парк -","АЦЦ 200 сашети 200мг.х20","15","99","6.97",""
"66425","Дянков Фарма ЕООД - Равиа Силистра - УЛ.СИМЕОН ВЕЛИКИ","АЦЦ 200 сашети 200мг.х20","15","99","6.90",""
"58503","Камеа плюс ЕООД - Равиа Провадия -","АЦЦ 200 сашети 200мг.х20","15","99","7.04",""
"00182","Равиа ЕООД - Равиа Аксаково център -","АЦЦ 200 сашети 200мг.х20","15","99","7.04",""
"00182","Равиа ЕООД - Равиа Аксаково -","АЦЦ 200 сашети 200мг.х20","15","99","7.04",""
"10135","Равиа ЕООД - Равиа Цветен -","АЦЦ 200 сашети 200мг.х20","15","99","6.91",""
"72624","Дянков фарма ЕООД - Равиа Добрич - Добрич,пл.Свобода 2","АЦЦ 200 сашети 200мг.х20","15","99","6.97",""
"10135","Равиа ЕООД - Равиа Младост - гр. Варна, бул. Република № 81, вх. А, ет. 1","АЦЦ 200 сашети 200мг.х20","15","99","6.91",""
"10135","Камеа плюс ЕООД - Равиа Ана Феликсова - ВАРНА,Ж.К.ВЪЗРАЖДАНЕ №1 УЛ.АНА ФЕЛИКСОВА №18А ВХ.В ЕТ.1 - ПАРТЕР","АФРИН назал спрей 20мл.","69","97","5.01",""
"03719","Камеа плюс ЕООД - Равиа Белослав -","АФРИН назал спрей 20мл.","69","97","4.95",""
"35064","Дянков фарма ЕООД - Равиа Каварна - гр. Каварна, ул. България 30","АФРИН назал спрей 20мл.","69","97","4.86",""
"72624","Дянков Фарма ЕООД - Равиа Добрич Ритейл парк -","АФРИН назал спрей 20мл.","69","97","5.01",""
"66425","Дянков Фарма ЕООД - Равиа Силистра - УЛ.СИМЕОН ВЕЛИКИ","АФРИН назал спрей 20мл.","69","97","4.95",""
"10135","Равиа ЕООД - Равиа Цветен -","АФРИН назал спрей 20мл.","69","97","4.95",""
"10135","Равиа ЕООД - Равиа Младост - гр. Варна, бул. Република № 81, вх. А, ет. 1","АФРИН назал спрей 20мл.","69","97","4.95",""
"10135","Камеа плюс ЕООД - Равиа Ана Феликсова - ВАРНА,Ж.К.ВЪЗРАЖДАНЕ №1 УЛ.АНА ФЕЛИКСОВА №18А ВХ.В ЕТ.1 - ПАРТЕР","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.91",""
"03719","Камеа плюс ЕООД - Равиа Белослав -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.91",""
"21912","Камеа плюс ЕООД - Равиа Долни Чифлик - гр.Долни Чифлик,пл.Димитър Стоичков 1","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.91",""
"72624","Дянков Фарма ЕООД - Равиа Добрич Ритейл парк -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.91",""
"66425","Дянков Фарма ЕООД - Равиа Силистра - УЛ.СИМЕОН ВЕЛИКИ","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.88",""
"58503","Камеа плюс ЕООД - Равиа Провадия -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.93",""
"00182","Равиа ЕООД - Равиа Аксаково център -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.93",""
"00182","Равиа ЕООД - Равиа Аксаково -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.93",""
"10135","Равиа ЕООД - Равиа Цветен -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.88",""
"72624","Дянков фарма ЕООД - Равиа Добрич - Добрич,пл.Свобода 2","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.90",""
"10135","Равиа ЕООД - Равиа Младост - гр. Варна, бул. Република № 81, вх. А, ет. 1","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.88",""
"10135","Камеа плюс ЕООД - Равиа Ана Феликсова - ВАРНА,Ж.К.ВЪЗРАЖДАНЕ №1 УЛ.АНА ФЕЛИКСОВА №18А ВХ.В ЕТ.1 - ПАРТЕР","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.24",""
"03719","Камеа плюс ЕООД - Равиа Белослав -","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.24",""
"21912","Камеа плюс ЕООД - Равиа Долни Чифлик - гр.Долни Чифлик,пл.Димитър Стоичков 1","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.24",""
"72624","Дянков Фарма ЕООД - Равиа Добрич Ритейл парк -","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.24",""
"66425","Дянков Фарма ЕООД - Равиа Силистра - УЛ.СИМЕОН ВЕЛИКИ","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.19",""
"58503","Камеа плюс ЕООД - Равиа Провадия -","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.30",""
"00182","Равиа ЕООД - Равиа Аксаково център -","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.30",""
"00182","Равиа ЕООД - Равиа Аксаково -","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.30",""
"10135","Равиа ЕООД - Равиа Цветен -","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.19",""
"72624","Дянков фарма ЕООД - Равиа Добрич - Добрич,пл.Свобода 2","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.24",""
"10135","Равиа ЕООД - Равиа Младост - гр. Варна, бул. Република № 81, вх. А, ет. 1","АЛЕРГОДИЛ наз.спрей 10мл.","94","97","6.19",""
