"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","София Терминал 1 Магазин Заминаващи","Clarins Men Hair & Body Shampoo 200ml","1003285","82","30.5",""
"68134","София Терминал 1 Магазин Заминаващи","Twix Extra 75g","1806492","69","3",""
"68134","София Терминал 1 Магазин Заминаващи","Ritter Sport Nougat 100g","1880623","69","3.5",""
"68134","София Терминал 1 Магазин Заминаващи","Ritter Sport Butter Biscuits 100G","1880625","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Ritter Sport Leche Alpes 30% 100g 12UN","1880626","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Snickers 2 Pack 80G","1976249","69","3",""
"68134","София Терминал 1 Магазин Заминаващи","Ritter Sport Cornflakes 100g","2053244","69","3.5",""
"68134","София Терминал 1 Магазин Заминаващи","Kinder Surprise T4x20g","2160817","69","7",""
"68134","София Терминал 1 Магазин Заминаващи","LINDT Teddy 100g","2168354","69","8.5",""
"68134","София Терминал 1 Магазин Заминаващи","Bg Post Kadarka Semi-Sweet Red Wine 75Cl","2301340","76","2",""
"68134","София Терминал 1 Магазин Заминаващи","Bg Post Tamianka Sweet White Wine 75Cl","2301341","75","2",""
"68134","София Терминал 1 Магазин Заминаващи","Kailyshka Grape Rakia 40% 70Cls","2304616","77","7.5",""
"68134","София Терминал 1 Магазин Заминаващи","Troyan Sp. Reserve Rakia 25 Y 40% 70Cl","2304629","77","97",""
"68134","София Терминал 1 Магазин Заминаващи","Troyan Fam. Reserve Rakia 1989 43% 70cls","2304630","77","255",""
"68134","София Терминал 1 Магазин Заминаващи","BR Rose Joghurt Hair Shampoo 250ml","2304799","82","8",""
"68134","София Терминал 1 Магазин Заминаващи","BR Glycerine Soap Rose Fantasy 90g.","2304806","83","5",""
"68134","София Терминал 1 Магазин Заминаващи","BR Glycerine Soap Heart in love 65g","2304807","83","4",""
"68134","София Терминал 1 Магазин Заминаващи","BR Glycerine Soap Rose valley 80g","2304808","83","5",""
"68134","София Терминал 1 Магазин Заминаващи","BR Hand Gel Dry Wash Rose 85ml","2304818","92","3.5",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Vpd Cabernet Franc 13.5% 75Cl","2352402","76","12",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Vpd Mavrud 14.5% 75Cls","2352403","76","15.5",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Premium Reserve Mavrud 75Cls","2352408","76","19",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Mavrud Special Reserve 75Cls","2352409","76","13.5",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Chardonnay Wine 14% 75Cls","2352410","75","12",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Rose Wine 13% 75Cls","2352411","76","12",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Rila Monastery Merlot 5 75Cls","2372135","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Alexander Merlot 7 14% 75Cls","2372136","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Grapes Merlot Wine 14% 75Cls","2372137","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Old Town Pink Merlot 14% 75Cls","2372138","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Vinex Rubaiyat Grape Rakia 40% 70Cls","2418166","77","25",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Sauvignon Blanc 75Cls","2418184","75","12",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Mavrud Reserve 14% 75Cls","2418185","76","13.5",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Cab. Sauv. Reserve 13.5% 75Cl","2418186","76","13.5",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Merlot Reserve 14.5% 75Cls","2418187","76","13.5",""
"68134","София Терминал 1 Магазин Заминаващи","Kosher Gold Slivovitz 10 Yo 50% 70Cls","2418202","77","30",""
"68134","София Терминал 1 Магазин Заминаващи","Sweet Memories Black Tea Light Rose 20pc","2418465","72","5",""
"68134","София Терминал 1 Магазин Заминаващи","Sweet Memories Black Tea Medium Rose 20p","2418466","72","5",""
"68134","София Терминал 1 Магазин Заминаващи","Sweet Memories Black Tea Intense Rose 20","2418537","72","5",""
"68134","София Терминал 1 Магазин Заминаващи","Sweet Memories Green Tea Fine Rose 20pc","2418538","72","5",""
"68134","София Терминал 1 Магазин Заминаващи","Kerastase Therapiste Bain 250ml","2473799","82","34",""
"68134","София Терминал 1 Магазин Заминаващи","Kerastase Divalent Bain 250ml","2473811","82","34",""
"68134","София Терминал 1 Магазин Заминаващи","Moroccanoil Moisture Repair Shampoo250ml","2476882","82","29",""
"68134","София Терминал 1 Магазин Заминаващи","Moroccanoil Extra Volume Shampoo 250ml","2476884","82","30.5",""
"68134","София Терминал 1 Магазин Заминаващи","Munz Ladybirds gift box 90g","2481283","69","18",""
"68134","София Терминал 1 Магазин Заминаващи","Hair Revitalising Shamp Rose and Rosehip","2484840","82","6",""
"68134","София Терминал 1 Магазин Заминаващи","Soap Small Rose and Rosehip","2484846","83","5",""
"68134","София Терминал 1 Магазин Заминаващи","Br Sig Spa Hair Revitalizing Shampoo","2484866","82","8.5",""
"68134","София Терминал 1 Магазин Заминаващи","Br Signature Spa Glycerin Soap Blue","2484870","83","5",""
"68134","София Терминал 1 Магазин Заминаващи","Na Make Up Wet Wipes Roses 15 pcs","2484893","84","1",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Milk Choco Fine Hazelnuts 80G","2484905","69","5.5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Dark Chocolates Fine Orange 80G","2484906","69","5.5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Dark Choco Fine Orange Piece 80G","2484909","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Dark Chocolate & Stevia Fine 80G","2484910","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Dark Choco Cranberry Stevia 80G","2484911","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Wellcome To Bulgaria Milk 90G","2484916","69","8",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Handmade Chocolates Red 100G","2484923","69","8.5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Handmade Chocolates Coppery 100G","2484924","69","8.5",""
"68134","София Терминал 1 Магазин Заминаващи","Festa Salty Hills Chardonnay 13.5% 75Cls","2484992","75","16",""
"68134","София Терминал 1 Магазин Заминаващи","Festa Salty Hills Cab. Sauv. 13.5% 75Cls","2484993","76","17",""
"68134","София Терминал 1 Магазин Заминаващи","Festa Salty Hills Rose Wine 13.5% 75Cls","2484994","76","17",""
"68134","София Терминал 1 Магазин Заминаващи","Bsg Villa Ponte Chard.&Sauv. Blanc 75Cls","2485000","75","7",""
"68134","София Терминал 1 Магазин Заминаващи","Bsg Villa Ponte Cab. Sauv.&Syrah 75Cls","2485001","76","6",""
"68134","София Терминал 1 Магазин Заминаващи","Bsg Cab. Sauvignon Special Reserve 75Cls","2485002","76","15",""
"68134","София Терминал 1 Магазин Заминаващи","Black Sea Cab. Sauv. Brandy Cask 75Cls","2485003","76","25",""
"68134","София Терминал 1 Магазин Заминаващи","Bsg Burgas Grape Rakia 40% 50Cls (70Cls)","2485008","77","12",""
"68134","София Терминал 1 Магазин Заминаващи","Bsg Mature Sp. Rakia Alambic 40% 70Cls","2485020","77","51",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Old Wine Grapes  21 14% 75Cls","2485025","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Wine Saint George 26 14% 75Cls","2485026","76","17",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Wine Tsarevets 28 14% 75Cls","2485027","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Wine Old Gold Grapes 32 14% 75Cl","2485029","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Mezek White Soil Mavrud 2016 14.5% 75Cls","2485046","76","11.5",""
"68134","София Терминал 1 Магазин Заминаващи","Mezek White Soil Mavrud&Cab. 14.5% 75Cls","2485047","76","11.5",""
"68134","София Терминал 1 Магазин Заминаващи","Young Stallion Red Wine 14.5% 75Cls","2485053","76","19",""
"68134","София Терминал 1 Магазин Заминаващи","Sauvignon Blanc Silver Angel 75cl","2485059","75","12",""
"68134","София Терминал 1 Магазин Заминаващи","Bio Organic Mavrud and Rubin 2014 EM","2485075","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Rosa Damascena Tea","2485423","72","8",""
"68134","София Терминал 1 Магазин Заминаващи","Lavender Tea","2485424","72","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Ornament Rose 13.5% 75Cls","2492048","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Ornament Chardonnay 13% 75Cls","2492049","75","13",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Ornament Sauv. Blanc 75Cls","2492050","75","13",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Ornam. Mavrud Resr. 75Cls","2492051","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Ornament Cab. Franc Reserve 14.5% 75Cls","2492052","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Asenovgrad Ornam. Sirah Resr. 14.5% 75Cl","2492054","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Ornament Cab. Sauvignon Reserve 14% 75Cl","2492067","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Welcome To Bulgaria The House 83G","2510377","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Milk Choco Welcome To Sofia 80G","2510378","69","4",""
"68134","София Терминал 1 Магазин Заминаващи","LOreal Flower Wipes Sensitive","2537703","84","8.5",""
"68134","София Терминал 1 Магазин Заминаващи","Ritter Sport Whole Hazelnuts 100g","2640709","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","RITTER SPORT WHITE WHOLE HAZELNUTS 100G","2640710","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","RITTER SPORT DARK WHOLE HAZELNUTS 100G","2640711","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","RITTER SPORT WHOLE ALMONDS 100G","2640712","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Ritter Honey Salt Almonds 100g","2640713","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Ritter Strawberry Yogurt 100G","2640715","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Mezzek Chardonnay 75Cl","2641268","75","11.5",""
"68134","София Терминал 1 Магазин Заминаващи","Mezzek Sauvignon Blanc 75Cl","2641269","75","11.5",""
"68134","София Терминал 1 Магазин Заминаващи","Angels Cattleya Cabernet Franc 75Cls","2641282","76","8",""
"68134","София Терминал 1 Магазин Заминаващи","Angels Cattleya Cab. Sauvignon 75Cls","2641283","76","8",""
"68134","София Терминал 1 Магазин Заминаващи","Angels Cattleya Sauvignon Blanc 75Cls","2641284","75","8",""
"68134","София Терминал 1 Магазин Заминаващи","Angel White Wine Chardonnay 75Cls","2641285","75","13",""
"68134","София Терминал 1 Магазин Заминаващи","Angel's Rose 75Cls","2641286","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Angel Red Wine From Merlot 75Cls","2641287","76","12",""
"68134","София Терминал 1 Магазин Заминаващи","Angels Stallion Chardonnay Viognier 75Cl","2641289","75","19",""
"68134","София Терминал 1 Магазин Заминаващи","Angels Stallion Rose Cab. Franc 75Cls","2641290","76","19",""
"68134","София Терминал 1 Магазин Заминаващи","Angel Red Wine From Syrah & Merlot 75Cls","2641291","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Angel Cab. Franc & Cab. Sauv. 75Cls","2641292","76","13",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Wine Eagle 31 14% 75Cls","2641293","76","17",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Alexander The Great 29 14% 75Cl","2641296","76","13.5",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Melnik Christmas LE 75Cls","2641297","76","13.5",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Melnik Christmas LE 75Cls","2641297","76","14",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Troyan Monastery 40 12.5% 75Cls","2641298","76","16",""
"68134","София Терминал 1 Магазин Заминаващи","Hursovo Wine St.Mary 35 14% 75Cls","2641299","76","14",""
"68134","София Терминал 1 Магазин Заминаващи","Welcome To Bulgaria Aladja Monastery 80g","2643914","69","4",""
"68134","София Терминал 1 Магазин Заминаващи","Welcome to Bulgaria The Rose 83g","2643915","69","4.5",""
"68134","София Терминал 1 Магазин Заминаващи","Welcome to Bulgaria The Black Sea 90g","2643916","69","6",""
"68134","София Терминал 1 Магазин Заминаващи","Welcome to Bulgaria The Windmil 80g","2643917","69","4",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Handmade Chocolate Milk Roses 80g","2643920","69","5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Handmade Chocolate Dark Roses 80g","2643921","69","5",""
"68134","София Терминал 1 Магазин Заминаващи","Milete Handmade Chocolate White Roses 80","2643922","69","5",""
"68134","София Терминал 1 Магазин Заминаващи","Yellow Cheese 400g Round","2644541","11","9.5",""
"68134","София Терминал 1 Магазин Заминаващи","Yellow Cheese With Herbs 220g","2644544","11","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Yellow Cheese With Walnuts 220g","2644545","11","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Yellow Cheese With Olives 220g","2644546","11","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Yellow Cheese With Spicy Herbs 220g","2644547","11","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Yellow Cheese With Fruits 220g","2644548","11","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Yellow Cheese "Zelanos" 220g","2644549","11","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Smoked Yellow Cheese 220g","2644550","11","6.5",""
"68134","София Терминал 1 Магазин Заминаващи","Bulgarian Cow Cheese 350g","2644552","9","9.5",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Cabernet Sauvignon 14.5% 75Cls","2720326","76","7",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Chardonnay White Wine 13% 75Cls","2720367","75","7",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Muscat White Wine 13% 75Cls","2720368","75","7",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Kota Cab. Sauvignon 14.5% 75Cls","2720369","76","8",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Kota Merlot Red Wine 14.5% 75Cls","2720370","76","9.5",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Sundial Riesling 13.5% 75Cls","2720371","75","10.5",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Sundial Traminer 14% 75Cls","2720372","75","8.5",""
"68134","София Терминал 1 Магазин Заминаващи","Lovico Sundial Cab.Sauv. & Merlot 75Cls","2720374","76","10.5",""
"68134","София Терминал 1 Магазин Заминаващи","Bulgarian Wines Rose 13% 75Cls","2720376","76","8",""
"68134","София Терминал 1 Магазин Заминаващи","Bulgarian Wines Chardonnay 13% 75Cls","2720377","75","8",""
