"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ХЛЯБ ТИПОВ 600ГР","000021","4","0.77",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","КРАСТАВИЦА ГЪРЦИЯ КЛ 2","000200","58","2.28",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","КАРТОФИ МИТ ФРАНЦИЯ КЛ. 2","000202","61","0.88",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ЛУК КАБА ХОЛАНДИЯ ОПС","000204","55","0.70",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","БАНАНИ ВНОС ЕКВАДОР ОПС","000206","52","1.83",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ПОРТОКАЛИ ГЪРЦИЯ КЛ 2","000212","51","1.57",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ЛИМОНИ ТУРЦИЯ КЛ 2","000213","50","3.26",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ДОМАТИ ГЪРЦИЯ КЛ2","000215","54","2.64",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ЗЕЛЕ  БЪЛГАРИЯ ОПС","000219","57","0.65",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","МОРКОВИ ТУРЦИЯ ОПС","000220","56","1.20",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ЧЕСЪН ИСПАНИЯ ОПС КЛ2","000224","59","3.66",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ЯБЪЛКА ЖЪЛТА ИТАЛИЯ КЛ.2","000247","53","1.66",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ШПЕК СУХ РИЛА","000505","28","6.85",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","КАШКАВАЛ  1КГ АРАЧИЕВИ","000616","11","10.73",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","РИБА СКУМРИЯ НОРВЕЖКА","000651","29","6.39",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","КРОАСАН 7 ДЕЙС 92 ГР","001229","67","0.61",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ЧЕТКА ЗА ЗЪБИ COLGATE EKSTRA CLEAN 1+1","010032","80","1.02",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","МАКАРОНИ ARBELLA 400ГР  ОХЛЮВ","010135","36","0.61",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","МАКАРОНИ ARBELLA 400ГР  МИДА","010137","36","0.61",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","МАКАРОНИ ARBELLA 400ГР  ПЕПЕРУДА","010138","36","0.61",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","МАКАРОНИ ARBELLA 400ГР  ЛАЙКА","010139","36","0.61",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","МАКАРОНИ ARBELLA 400ГР  СПАГЕТИ","010143","37","0.61",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","САПУН DOVE 90G  BEAUTY CREAM BAR","010756","83","0.92",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","АДАПТИРАНО МЛЯКО FRISOLAC 1 400G","010784","65","10.85",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ПРЕХОДНО МЛЯКО FRISO 2 400G","010785","65","10.67",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ОЛИО 1Л ДОБРУДЖА","010836","42","1.62",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ПЕЩЕРСКА ГРОЗДОВА 700МЛ","011140","77","7.05",""
"12509","МАГАЗИН ВЪЛНАРИ - УЛ.'ГЕОРГИ ДИМИТРОВ'22","ВИНО SOPHIA 750ML SHARDONNAY","011160","75","2.35",""
