"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"66425","Ж ЛОГИСТИК ООД","Ракия Пещера 0.7 ","20006","77","5.9800","5.9800"
"66425","Ж ЛОГИСТИК ООД","Ракия Пещера-ОТЛЕЖАЛА 0.7 ","20011","77","7.3500","7.3500"
"66425","Ж ЛОГИСТИК ООД","Ракия Кайлъшка Пещера 0.7 ","20042","77","6.7000","6.7000"
"66425","Ж ЛОГИСТИК ООД","Ямболска грозд.Пещ.0.7 ","20050","77","6.0300","6.0300"
"66425","Ж ЛОГИСТИК ООД","Вила Ямбол Мерло 0.75 ","20161","76","3.8300","3.8300"
"66425","Ж ЛОГИСТИК ООД","Вила Ямбол Мускат 0.75 ","20162","75","3.8300","3.8300"
"66425","Ж ЛОГИСТИК ООД","Вила Ямбол Шардоне 0.75 ","20163","75","3.8300","3.8300"
"66425","Ж ЛОГИСТИК ООД","Вила Ямбол Каберне 0.75 ","20164","76","3.8300","3.8300"
"66425","Ж ЛОГИСТИК ООД","Вила Ямбол Мавруд 0.75 ","20165","76","3.8300","3.8300"
"66425","Ж ЛОГИСТИК ООД","Бяло вино Верано Азур 0.75 ","20312","75","5.5200","5.5200"
"66425","Ж ЛОГИСТИК ООД","Червено вино Верано Азур 0.75 ","20314","76","5.6800","5.6800"
"66425","Ж ЛОГИСТИК ООД","Кайлъшка Сливова Ракия 0.7 л ","20326","77","7.5000","7.5000"
"66425","Ж ЛОГИСТИК ООД","Вино Пиксел Совиньон блан 0.75 ","20328","75","6.1700","6.1700"
"66425","Ж ЛОГИСТИК ООД","Вино Пиксел Глера 0.75 ","20333","75","6.1700","6.1700"
"66425","Ж ЛОГИСТИК ООД","Ракия Кайлъшка Мускатова 0.7 ","20349","77","7.8500","7.8500"
"66425","Ж ЛОГИСТИК ООД","Вино Пиксел Каберне 0.75 ","20350","76","6.1700","6.1700"
"66425","Ж ЛОГИСТИК ООД","Вино F2F Червен купаж 0.75 ","20354","76","10.5300","10.5300"
"66425","Ж ЛОГИСТИК ООД","Вино F2F Дорнфелдер 0.75 ","20355","76","10.5300","10.5300"
"66425","Ж ЛОГИСТИК ООД","Вино F2F Шардоне 0.75 ","20356","75","10.5300","10.5300"
"66425","Ж ЛОГИСТИК ООД","Вино Пиксел Шардоне 0.75 ","20376","75","6.1700","6.1700"
"66425","Ж ЛОГИСТИК ООД","Вино Кабиле Шардоне Сов. 0.75 ","20379","75","5.8800","5.8800"
"66425","Ж ЛОГИСТИК ООД","Вино Кабиле Мерло Каберне 0.75 ","20381","76","5.8800","5.8800"
"66425","Ж ЛОГИСТИК ООД","Вино Кабиле Мавруд Каберне0.75 ","20382","76","5.8800","5.8800"
"66425","Ж ЛОГИСТИК ООД","Вино Кабиле Шардоне 0.75 ","20384","75","5.8800","5.8800"
"66425","Ж ЛОГИСТИК ООД","Вино Ню Блум Сов.Блан 0.75 ","20387","75","6.3500","6.3500"
"66425","Ж ЛОГИСТИК ООД","ВИНО КАБИЛЕ СИРА 0.75 ","20393","76","5.8800","5.8800"
"66425","Ж ЛОГИСТИК ООД","ВИНО НЮ БЛУМ ДОРНФЕЛДЕР 0.75 ","20397","76","6.3500","6.3500"
"66425","Ж ЛОГИСТИК ООД","ВИНО НЮ БЛУМ РЕГЕНТ 0.75 ","20398","76","6.3500","6.3500"
"66425","Ж ЛОГИСТИК ООД","ВИНО ВЕРАНО АЗУР МЕРЛО 0.75 ","20399","76","5.0600","5.0600"
"66425","Ж ЛОГИСТИК ООД","ВИНО F2F СОВИНЬОН БЛАН 0.75 ","20401","75","10.5300","10.5300"
"66425","Ж ЛОГИСТИК ООД","ВИНО ПИКСЕЛ СИРА 0.75 ","20404","76","6.1700","6.1700"
"66425","Ж ЛОГИСТИК ООД","ВИНО ПИКСЕЛ РЕГЕНТ 0.75 ","20405","76","6.1700","6.1700"
