"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"83510","магазин ЖИВИС","АРБЕЛА ВЕРМИЧЕЛИ ФИДЕ 400ГР","732061","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА МАКАРОНИ АРПА 400ГР","732111","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА МАКАРОНИ КУС КУС 400ГР","732101","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА МАКАРОНИ ОХЛЮВИ 400ГР","732056","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА МАКАРОНИ ПЕНЕ РИГАТЕ 400ГР","732041","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА МАКАРОНИ ФАРФАЛЕ 400ГР","732021","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА МАКАРОНИ ФЕТУЧИНИ 400ГР","732085","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА МАКАРОНИ ФУСИЛИ 400ГР","732001","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА СПАГЕТИ 400ГР","732081","36","0.66","0.66"
"83510","магазин ЖИВИС","АРБЕЛА ТАЛИАТЕЛЕ 400ГР","732091","36","0.78","0.78"
"83510","магазин ЖИВИС","АРПА МУТЛУ 400ГР","254014","36","0.64","0.64"
"83510","магазин ЖИВИС","АРПА МУТЛУ 500ГР","254022","36","0.77","0.77"
"83510","магазин ЖИВИС","БАНАН","8802","52","2.22","2.22"
"83510","магазин ЖИВИС","БАНИЦА СОФИЙСКА ФАВОРИТ 160ГР","114009","68","1.09","1.09"
"83510","магазин ЖИВИС","БАНИЦА ТРИЪГЪЛНА ФАВОРИТ 200ГР","114012","68","0.87","0.87"
"83510","магазин ЖИВИС","БАНИЧКА СЪС СУСАМ ФАВОРИТ 160ГР","114007","68","1.09","1.09"
"83510","магазин ЖИВИС","БАНИЧКИ БЕЛЛА ВИТИ СЪС СИРЕНЕ 480ГР","116030","68","2.04","2.04"
