"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"48489","МАГАЗИН ЖИЗЕЛ 1","ESSE BLUE","22674","78","3.58","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","ESSE RED","22673","78","3.58","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ДЕТСТВО МОЕ КАРМЕЛА 130 гр.","9448","66","0.58","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ДЕТСТВО МОЕ КАРМЕЛА 200 гр.","9449","66","0.74","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЗАКУСКА ГОЛЯМА 315 гр.","193","66","1.11","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЗАКУСКА КАКАО ГОЛЯМА 355 гр.","880422","66","1.34","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЗАКУСКА МАЛКА 255 гр.","194","66","0.98","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ НАЯ ОБИКНОВЕНИ 180 гр.","17043","66","0.89","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ НАЯ ОБИКНОВЕНИ КАКАО 180 гр.","17044","66","0.89","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ОБИКНОВЕНИ ЛОМ 160 гр.","197","66","0.64","0.56"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ОБИКНОВЕНИ РОДЕН КРАЙ 120 гр.","12258","66","0.65","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ОБИКНОВЕНИ РОДЕН КРАЙ 190гр","12257","66","0.95","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ОБИНОВЕНИ ЗЛАТИЯ 120 гр","20852","66","0.46","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ПЕТИБЮР 150 гр.","205","66","0.46","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ РОДЕН КРАЙ КАКАО 165 гр.","880138","66","1.05","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ РОДЕН КРАЙ МАКСИ КАКАО 250 гр.","18442","66","1.32","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ РОДЕН КРАЙ МАКСИ СМЕТАНА 250 гр.","8958","66","1.32","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ РОДЕН КРАЙ МАСЛО 165 гр.","880139","66","1.04","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ РОДЕН КРАЙ МЛЯКО 165 гр.","880140","66","1.05","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЧАЕНИ КАКАО 150 гр.","18449","66","0.75","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЧАЕНИ КАРАМЕЛ 150 гр.","880125","66","0.75","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЧАЕНИ СМЕТАНА 150 гр.","2214","66","0.75","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЧАЕНИ ЧАЙКА 150 гр.","200","66","0.75","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","Б-ТИ ЧАЕНИ ЯГОДА 150 гр.","880127","66","0.75","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БАБЕ ДЯДОВАТА КЪЩА","01393","27","5.08","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БАЛКАНДЖИЙСКА НАДЕНИЦА НАРОДНА","01084","27","5.04","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БАНАН - БОНИТА ЕКВАДОР КЛ 1","00605","52","1.73","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БАХУР ДЯДОВАТА КЪЩА","00850","27","5.03","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БИРА АЛМУС  2 л.","530","74","1.53","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БИРА АСТИКА  2 л.","2312","74","1.46","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БИРА БОЛЯРКА  2 л.","705","74","1.16","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БИРА БРИТОС 2 л.","17337","74","1.29","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БИРА ЗАГОРКА 2 л.","18171","74","1.28","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БИРЕНКИ МАЙСТОР ЦВЕТКО","01036","27","2.84","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ БЪЛГАРСКИ КРИНА 1 кг.","5222","33","2.50","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ БЯЛ БУРКАН БОЖУРКА 540 гр","23078","46","1.16","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ БЯЛ СЪС ЗЕЛЕНЧУЦИ БОЖУРКА 540 гр","23079","46","1.16","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ ДОБРУДЖАНКА ФАМИЛЕКС 1 кг.","9204","33","2.76","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ ЕКСТРА КРЪСТЕВ 1 кг.","6607","33","2.46","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ КРЪСТЕВ БУРКАН 540 гр.","4929","46","1.02","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ ЛЮБЕКС 400 гр.","382","46","0.61","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ НАРОДЕН КРЪСТЕВ 1 кг.","16346","33","2.58","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ РИБЕЛЕ 1 кг","23071","33","1.80","1.39"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ САЛАТЕН БУРКАН КРЪСТЕВ 540 гр.","13302","46","1.55","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ СЪС ЗЕЛЕНЧУЦИ КРЪСТЕВ БУРКАН 540 гр.","2889","46","1.55","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ ФАМИЛЕКС БУРКАН 570 гр.","4652","46","1.13","0.00"
"48489","МАГАЗИН ЖИЗЕЛ 1","БОБ ЧЕРВЕН ФАМИЛЕКС БУРКАН 570 гр.","12814","46","1.60","1.39"
