"Населено място","Търговски обект","Наименование на продукта","Код на продукта",Категория,"Цена на дребно","Цена в промоция"
68134,Зоя.БГ,"Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Аксаков","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Добруджа","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Неофит","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Гарибалди","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Веслец","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Парадайс","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Сан Стефано","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Парк Център","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,Зоя.БГ,"Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Аксаков","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Добруджа","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Неофит","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Гарибалди","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Веслец","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Парадайс","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Сан Стефано","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,"Магазин Парк Център","Вино Совиньон Блан 750мл terra kiwi",100007666566,75,9.23,0
68134,Зоя.БГ,"БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Аксаков","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Добруджа","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Неофит","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Гарибалди","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Веслец","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Парадайс","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Сан Стефано","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,"Магазин Парк Център","БЯЛ шоколад с МАЛИНИ 80 г - Гайо",2746547,69,3.25,0
68134,Зоя.БГ,"Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Аксаков","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Добруджа","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Неофит","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Гарибалди","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Веслец","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Парадайс","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Сан Стефано","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,"Магазин Парк Център","Бебешка оризова каша 250г-био- ALCE NERO",897478,63,4.93,0
68134,Зоя.БГ,"Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Аксаков","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Добруджа","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Неофит","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Гарибалди","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Веслец","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Парадайс","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Сан Стефано","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,"Магазин Парк Център","Белени домати в консерва  - 400 г-био-ALCE NERO",0984896,48,2.42,0
68134,Зоя.БГ,"Билков чай Борови връхчета-20 сашета-био- Поляна",00297985105,72,6.98,0
68134,"Магазин Аксаков","Билков чай Борови връхчета-20 сашета-био- Поляна",00297985105,72,6.98,0
68134,"Магазин Добруджа","Билков чай Борови връхчета-20 сашета-био- Поляна",00297985105,72,6.98,0
68134,"Магазин Неофит","Билков чай Борови връхчета-20 сашета-био- Поляна",00297985105,72,6.98,0
68134,"Магазин Гарибалди","Билков чай Борови връхчета-20 сашета-био- Поляна",00297985105,72,6.98,0
68134,"Магазин Веслец","Билков чай Борови връхчета-20 сашета-био- Поляна",00297985105,72,6.98,0
68134,"Магазин Парадайс","Билков чай Борови връхчета-20 сашета-био- Поляна",00297985105,72,6.98,0
