"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ХЛЯБ РЪЖЕН ПЪЛНОЗЪРНЕСТ ПШЕНИЧЕН 550ГР","000096","3","1.21",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЯЙЦА АКВИЛОН L 6БР","000165","32","1.56",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЯЙЦА АКВИЛОН L 10БР","000166","32","2.75",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЧАЙ БИОПРОГРАМА ЛИПОВ ЦВЯТ 30ГР","000202","72","2.65",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЗАХАР СЛАДЕЯ 1КГ","000255","38","1.38",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ПАСТА АКВАФРЕШ ЗЕЛЕНА 125МЛ","000258","81","3.01","2.40"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ПАСТА АКВАФРЕШ ДЕТСКА ДЖУНИЪР 6-8Г. 50МЛ","000261","81","3.93",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАФЕ ЛАВАЦА МЛЯНО КУАЛИТА ROSSA 250ГР","000316","70","7.15",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ГАРНИЕР БОТАНИК БАДЕМ 250МЛ","000323","82","4.19","3.27"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ГАРНИЕР ФРУКТИС GROW STRONG 250МЛ","000343","82","4.34","3.22"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ГАРНИЕР ФРУКТИС COLOR RESIST 250МЛ","000344","82","4.34","3.22"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ГАРНИЕР БОТАНИК АВОКАДО 250МЛ","000358","82","4.19","3.27"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ГАРНИЕР ФРУКТИС SOS REPAIR 250МЛ","000375","82","4.34","3.22"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЧАЙ БИОПРОГРАМА ЧЕРЕН 12 ПАКЕТЧЕТА","000546","72","1.12",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ТОАЛЕТНА ХАРТИЯ МИЛДЕ БЯЛА 3ПЛ/8БР","000646","85","4.60","3.88"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ПАСТА АСТЕРА АКТИВ+ТОТАЛ СЕНСИТИВ 110ГР","000669","81","1.43",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ПАСТА АСТЕРА АКТИВ+УАЙТАНИНГ ВЪГЛЕН 110ГР","000670","81","1.43",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ПАСТА АСТЕРА АКТИВ+ВИТАМИН 3+УАЙТ 110ГР","000672","81","1.43",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","МАСЛИНИ САНТЕ В ЗЕХТИН ЧЕРНИ СИТНИ УСЛУ","000788","62","4.09",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ОЛИО ЙОМИ 1Л /БЕЗ КЛ. КАРТА/","000969","42","2.04",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЧАЙ ЛУКЧЕТА ДЖИНДЖИФИЛ И ПОРТОКАЛ 24ГР","000975","72","1.00",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ТОЧЕНИ КОРИ ОДРИНСКИ 500ГР","001139","5","1.87",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ДОМАТИ БЕЛЕНИ НА КУБЧЕТА КРЪСТЕВ 400ГР","001312","48","1.10",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ПАСТА СЕНСОДИН REPAIR PROTECT 75МЛ","001484","81","8.58","6.45"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ХЛЯБ СОФИЙСКИ С ТИКВЕНИ СЕМЕНА 400ГР","001560","4","1.48",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЛЮТЕНИЦА ПЕТЕЛ ТРАДИЦИОННА 575ГР","001622","49","2.04",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","СВИНСКИ ВРАТ БЕЗ КОСТ ЕНОЛА","001673","21","9.00",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","СВИНСКИ БУТ БЕЗ КОСТ ЕНОЛА","001674","19","6.90",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ЗДРАВЕ АКТИВ ЧАЕНО ДЪРВО 390МЛ","001852","82","5.62",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ЗДРАВЕ АКТИВ ХУМА 390МЛ","001853","82","5.62",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","Ш-Н ЗДРАВЕ АКТИВ ХИНИН 390МЛ","001854","82","5.62",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","МОКРИ КЪРПИ ЗДРАВЕ БЕБЕ 64БР","001869","84","2.19",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","САПУН ЧИСТО АКТИВЕН ВЪГЛЕН 100ГР","001870","83","1.20",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КРЕНВИРШ НАРОДЕН","002003","26","5.57",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КРЕНВИРШ ПИЛЕШКИ ГРАДУС","002023","26","3.43",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАШКАВАЛ КРАВЕ ЛУДОГОРИЕ-ИЗРЕЗКИ","002069","10","11.66","11.00"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КРЕНВИРШ СВИНСКИ БРАДЪРС","002090","26","9.61",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАШКАВАЛ КРАВЕ НАБОРЪ ТОСТ","002094","10","9.46",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЯБЪЛКА ЧЕРВЕНА ПОЛША II","002095","53","1.68","1.38"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ГЪБИ НАСИПНИ ПОЛША II","002097","60","3.70",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КРЕНВИРШ ЛЕКИ","002136","26","7.20",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","МАСЛИНИ ЕФЕС В ЗЕХТИН","002151","62","5.93",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАРТОФ СТАР НЕМСКИ II","002162","61","0.61",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЛУК  ПОЛША II","002163","55","0.95",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЗЕЛЕ ГЪРЦИЯ II","002165","57","0.92",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЯБЪЛКА ЗЕЛЕНА ПОЛША II","002167","53","2.63",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ПОРТОКАЛИ ГЪРЦИЯ II","002168","51","2.32",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","МОРКОВИ ТУРЦИЯ II","002171","56","1.21","1.02"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЛИМОНИ ТУРЦИЯ II","002174","50","3.35",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","МАСЛИНИ САНТЕ В ЗЕХТИН ЧЕРНИ ЕДРИ УСЛУ","002184","62","4.29",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","БАНАНИ ЕКВАДОР ДОЛЕ II","002187","52","1.89",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ДОМАТИ ТУРЦИЯ II","002206","54","2.99",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАШКАВАЛ МАНОЛЕ ТОСТ","002263","10","10.84",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАРТОФИ МИТ НЕМСКИ II","002351","61","1.02",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАШКАВАЛ СИТОВО ТРИЪГЪЛЕН/КРЪГ ВАК.","002363","11","12.21",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КРЕНВИРШ КЕН","002439","26","6.49","6.20"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КРАСТАВИЦА БГ  II","002606","58","2.99",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","БЯЛО САЛАМУРЕНО СИРЕНЕ КРАВЕ ЕЛЕНА ВАК.","002609","9","9.71",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЧЕСЪН ИСПАНИЯ II","002638","59","5.62",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КРЕНВИРШ ПИЛЕШКИ ФЕРМАТА","002672","26","3.39",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","КАШКАВАЛ КАЛЧЕВ ВАК.","002929","11","11.45","11.10"
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЯБЪЛКА ЖЪЛТА ПОЛША II","003056","53","2.29",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","ЗЕЛЕ КЬОСЕ БГ II","003134","57","0.71",""
"58222","ЙОМИ 2 - ул. Борис Спиров 88","БИСКВИТИ РОДЕН КРАЙ ОБИКН. 190ГР","003337","66","1.12","0.84"
