"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","СЛАТИНА","кренвирши Кен кг","000116","26","6.28",""
"68134","СЛАТИНА","салам хамбургски Кен в естествено черво кг","000118","27","9.1",""
"68134","СЛАТИНА","салам телешки Кен в естествено черво кг","000120","27","9.1",""
"68134","СЛАТИНА","плешка без кост свинска  охладена PATEL кг","000271","18","6.13",""
"68134","СЛАТИНА","лимони мрежа кг","000294","50","3.3",""
"68134","СЛАТИНА","кренвирши Дeликатес Житница кг","000329","26","9.56",""
"68134","СЛАТИНА","бяло саламурено сирене Боженци от краве мляко кг","000373","8","9.45","8.59"
"68134","СЛАТИНА","колбас хамбургски Деликатес Житница кг","000422","27","7.05",""
"68134","СЛАТИНА","салам сух Планински Тандем кг","000445","28","20.45","15.99"
"68134","СЛАТИНА","ябълки златна превъзходна мрежа кг","000466","53","1.75","1.2"
"68134","СЛАТИНА","кренвирши пилешки Народен кг","000491","26","3.14",""
"68134","СЛАТИНА","ябълки зелени внос кг","000499","53","2.75",""
"68134","СЛАТИНА","пъстърва Морски дар охладена тарелка кг","000523","30","9.39",""
"68134","СЛАТИНА","бяло саламурено сирене Булгарче от краве мляко кг","000569","8","9.2",""
"68134","СЛАТИНА","филе пилешко Милки охладено кг","000580","16","7.51","6.9"
"68134","СЛАТИНА","ябълки Айдере кг","000585","53","1.0",""
"68134","СЛАТИНА","ябълки Флорина кг","000586","53","1.53",""
"68134","СЛАТИНА","кайма смес кг","000743","25","6.9",""
"68134","СЛАТИНА","салам шпеков Народен Бургас гастро кг","010036","28","9.9",""
"68134","СЛАТИНА","салам Бургас Маджаров Ф70 кг","010058","28","16.36",""
"68134","СЛАТИНА","маслини черни безсолни С.С. Мамут /71-90/ кг","010589","62","6.95",""
"68134","СЛАТИНА","маслини натурални екстра кг","010595","62","7.41",""
"68134","СЛАТИНА","маслини зелени без костилка Джъмбо кг","010609","62","5.74",""
"68134","СЛАТИНА","бутче цяло пилешко Амета охладено тарелка кг","010717","17","3.57",""
"68134","СЛАТИНА","пъстърва чистена Вастон замразена кг","011001","30","8.12",""
"68134","СЛАТИНА","кренвирши Леки кг","011545","26","6.64",""
"68134","СЛАТИНА","кренвирши Народни кг","012283","26","5.23",""
"68134","СЛАТИНА","кайма Булмес смес 60/40 охладена кг","012398","25","12.04",""
"68134","СЛАТИНА","картофи кг","012418","61","0.6",""
"68134","СЛАТИНА","врат без кост свински охладен PATEL кг","012513","21","7.66",""
"68134","СЛАТИНА","бяло саламурено сирене Бор Чвор пълномаслено кг","012522","8","6.49",""
"68134","СЛАТИНА","кренвирши Тандем кг","013001","26","8.84",""
"68134","СЛАТИНА","кренвирши пилешки Градус кг","013008","26","3.22",""
"68134","СЛАТИНА","домати кг","013125","54","2.8",""
"68134","СЛАТИНА","пиле Амета охладено тарелка кг","013593","15","4.75",""
"68134","СЛАТИНА","маслини зелени с чушка Регина кг","015006","62","6.08",""
"68134","СЛАТИНА","картофи мити кг","015081","61","1.1","0.85"
"68134","СЛАТИНА","домати чери кг","015545","54","7.0",""
"68134","СЛАТИНА","ябълки жълти внос кг","015551","53","2.75",""
"68134","СЛАТИНА","краставици нефолирани кг","015552","58","2.73","2.2"
"68134","СЛАТИНА","месо за готвене свинско КОМЕ охладено кг","017001","22","4.95",""
"68134","СЛАТИНА","пиле Градус охладено тарелка кг","019000","15","4.44",""
"68134","СЛАТИНА","банани кг","019202","52","1.9","1.3"
"68134","СЛАТИНА","лимони кг","019208","50","3.3",""
"68134","СЛАТИНА","лук кромид кг","019209","55","0.84",""
"68134","СЛАТИНА","моркови кг","019215","56","1.2",""
"68134","СЛАТИНА","зеле кг","019217","57","1.05",""
"68134","СЛАТИНА","гъби печурка кг","019272","60","5.11","4.0"
"68134","СЛАТИНА","салам шпеков Орехите Бургас гастро кг","019561","28","14.82",""
"68134","СЛАТИНА","чесън насипен кг","019570","59","5.55","4.2"
"68134","СЛАТИНА","колбас хамбургски Народен кг","019840","27","5.99",""
"68134","СЛАТИНА","филе пилешко СВА охладено тарелка кг","019907","16","9.04",""
"68134","СЛАТИНА","портокали кг","019992","51","2.04",""
"68134","СЛАТИНА","маслини зелени без костилка с риган кг","020028","62","5.47",""
"68134","СЛАТИНА","салам шпеков Орехите гастро кг","020050","28","14.82",""
"68134","СЛАТИНА","бут пилешки Амета охладен кг","021065","17","3.22",""
"68134","СЛАТИНА","маслини Каламон екстра /181-200/ кг","021072","62","6.9",""
