Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
02796,м-н КООП с. Басарбово,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
07231,м-н КООП с. Бъзън,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
56397,м-н КООП с. Пиргово,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
65509,м-н КООП с. Сваленик,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
66158,м-н КООП с. Семерджиево,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
73362,м-н КООП с. Тръстеник,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
80460,м-н КООП с. Червена вода,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
63427,м-н КООП гр. Русе,ХЛЯБ РКС 500 ГР. ФАВОРИТ,12002,1,0.66,0
02796,м-н КООП с. Басарбово,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
07231,м-н КООП с. Бъзън,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
56397,м-н КООП с. Пиргово,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
65509,м-н КООП с. Сваленик,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
66158,м-н КООП с. Семерджиево,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
73362,м-н КООП с. Тръстеник,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
80460,м-н КООП с. Червена вода,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
63427,м-н КООП гр. Русе,ХЛЯБ ДОБРУДЖА ДЕНИСЛАВ 500 ГР.,17689,2,0.81,0
02796,м-н КООП с. Басарбово,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
07231,м-н КООП с. Бъзън,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
56397,м-н КООП с. Пиргово,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
65509,м-н КООП с. Сваленик,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
66158,м-н КООП с. Семерджиево,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
73362,м-н КООП с. Тръстеник,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
80460,м-н КООП с. Червена вода,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
63427,м-н КООП гр. Русе,РЪЖЕН ХЛЯБ С КВАС И СЕМЕНА 500 ГР. ФАВОРИТ,15949,3,1.22,0
02796,м-н КООП с. Басарбово,ТИПОВ ХЛЯБ 500 ГР. ФАВОРИТ,56,4,0.97,0
07231,м-н КООП с. Бъзън,ТИПОВ ХЛЯБ 500 ГР. ФАВОРИТ,56,4,0.97,0
56397,м-н КООП с. Пиргово,ТИПОВ ХЛЯБ 500 ГР. ФАВОРИТ,56,4,0.97,0
65509,м-н КООП с. Сваленик,ТИПОВ ХЛЯБ 500 ГР. ФАВОРИТ,56,4,0.97,0
66158,м-н КООП с. Семерджиево,ТИПОВ ХЛЯБ 500 ГР. ФАВОРИТ,56,4,0.97,0
73362,м-н КООП с. Тръстеник,ТИПОВ ХЛЯБ 500 ГР. ФАВОРИТ,56,4,0.97,0
