"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","ХЛЯБ ПИРИНА БЯЛ 700 ГР","3132","1","1.02","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","ХЛЯБ ПИРИНА БЯЛ 500 ГР","4017","1","0.80","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","ХЛЯБ БЯЛ К. ГЕРОВ 500 ГР","4391","1","0.61","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","ХЛЯБ РЕЗИНА К. ГЕРОВ 700 ГР","4393","1","0.97","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","ХЛЯБ РЕЗИНА К. ГЕРОВ 830 ГР","4394","1","1.02","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ НАБОРЪ ТОСТЕР","1661","10","7.39","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ РОДОПСКА СЪЛЗИЦА ТОСТЕР","2090","10","10.21","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ БОЖЕНЦИ ТОСТЕР","2524","10","10.32","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ МУРГАШ ТОСТЕР","746","10","8.12","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ ВИТОША 380 ГР","1448","11","6.95","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ МУРГАШ","1452","11","8.67","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ РОДОПСКА СЪЛЗИЦА 250 ГР","1453","11","12.96","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ РОДОПСКА СЪЛЗИЦА 500 ГР","1454","11","12.96","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ РОДОПСКА СЪЛЗИЦА 1 КГ","1455","11","12.89","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ БОЖЕНЦИ 390 ГР","1482","11","4.55","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ БУЛГАРЕА 350 ГР","1662","11","4.47","0.00"
"23563","Мини Маркет КООП с. Дрангово, с. Дрангово, общ. Петрич","КАШКАВАЛ БОЖЕНЦИ 220 ГР","2107","11","2.65","0.00"
