"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","КУИК ООД-бул. Александър Стамболийски 182","Б-ти Житен Дар обикн. Големи","07397","66","1.12",""
"68134","КУИК ООД-ул.Суходолска 2","Б-ти Житен Дар обикн. Големи","07397","66","1.12",""
"68134","КУИК ООД-ул. Суходолска 13","Б-ти Житен Дар обикн. Големи","07397","66","1.12",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Б-ти Житен Дар обикн. Големи","07397","66","1.12",""
"68134","КУИК ООД-ул.Сава Михайлов","Б-ти Житен Дар обикн. Големи","07397","66","1.12",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Б-ти Житен Дар обикн. Големи","07397","66","1.12",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Б-ти Житен Дар обикн. Големи","07397","66","1.12",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","7 дейс макс  с шоколад","25559","67","0.82",""
"68134","КУИК ООД-ул.Суходолска 2","7 дейс мaкс  с шоколад","25559","67","0.82",""
"68134","КУИК ООД-ул. Суходолска 13","7 дейс макс  с шоколад","25559","67","0.82",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","7 дейс макс  с шоколад","25559","67","0.82",""
"68134","КУИК ООД-ул.Сава Михайлов","7 дейс макс  с шоколад","25559","67","0.82",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","7 дейс макс  с шоколад","25559","67","0.82",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","7 дейс макс с шоколад","25559","67","0.82",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","7 дейс супер макс с шоколад","25570","67","1.07",""
"68134","КУИК ООД-ул.Суходолска 2","7 дейс супер макс с шоколад","25570","67","1.07",""
"68134","КУИК ООД-ул. Суходолска 13","7 дейс супер макс  с шоколад","25570","67","1.07",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","7 дейс супер макс с шоколад","25570","67","1.07",""
"68134","КУИК ООД-ул.Сава Михайлов","7 дейс супер макс с шоколад","25570","67","1.07",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","7 дейс супер макс с шоколад","25570","67","1.07",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","7 дейс супер макс с шоколад","25570","67","1.07",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","7 дейс супер макс с шоколад","25570","67","1.07",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","Шоколад Фин млечен","07405","69","1.22",""
"68134","КУИК ООД-ул.Суходолска 2","Шоколад Фин млечен","07405","69","1.22",""
"68134","КУИК ООД-ул. Суходолска 13","Шоколад Фин млечен","07405","69","1.22",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Шоколад Фин млечен","07405","69","1.22",""
"68134","КУИК ООД-ул.Сава Михайлов","Шоколад Фин млечен","07405","69","1.22",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Шоколад Фин млечен","07405","69","1.22",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Шоколад Фин млечен","07405","69","1.22",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","ш-д Линд екселент портокал","20153","69","3.83",""
"68134","КУИК ООД-ул.Суходолска 2","ш-д Линд екселент портокал","20153","69","3.83",""
"68134","КУИК ООД-ул. Суходолска 13","ш-д Линд екселент портокал","20153","69","3.83",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","ш-д Линд екселент портокал","20153","69","3.83",""
"68134","КУИК ООД-ул.Сава Михайлов","ш-д Линд екселент портокал","20153","69","3.83",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","ш-д Линд екселент портокал","20153","69","3.83",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","ш-д Линд екселент портокал","20153","69","3.83",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","ш-д Линд Линдор млечен 100гр.","20198","69","3.32","2.9"
"68134","КУИК ООД-ул.Суходолска 2","ш-д Линд Линдор млечен 100гр.","20198","69","3.32","2.9"
"68134","КУИК ООД-ул. Суходолска 13","ш-д Линд Линдор млечен 100гр.","20198","69","3.32","2.9"
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","ш-д Линд Линдор млечен 100гр.","20198","69","3.32","2.9"
"68134","КУИК ООД-ул.Сава Михайлов","ш-д Линд Линдор млечен 100гр.","20198","69","3.32","2.9"
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","ш-д Линд Линдор млечен 100гр.","20198","69","3.32","2.9"
"68134","КУИК ООД-бул. Александър Стамболийски 143","ш-д Линд Линдор млечен 100гр.","20198","69","3.32","2.9"
"68134","КУИК ООД-бул. Александър Стамболийски 182","Шоколад Линд Крийми 80гр.","20241","69","3.57",""
"68134","КУИК ООД-ул.Суходолска 2","Шоколад Линд Крийми 80гр.","20241","69","3.57",""
"68134","КУИК ООД-ул. Суходолска 13","Шоколад Линд Крийми 80гр.","20241","69","3.57",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Шоколад Линд Крийми 80гр.","20241","69","3.57",""
"68134","КУИК ООД-ул.Сава Михайлов","Шоколад Линд Крийми 80гр.","20241","69","3.57",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Шоколад Линд Крийми 80гр.","20241","69","3.57",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Шоколад Линд Крийми 80гр.","20241","69","3.57",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","ш-д Линд Гранд лешник млечен шоколад 150гр.","20206","69","5.62",""
"68134","КУИК ООД-ул.Суходолска 2","ш-д Линд Гранд лешник млечен шоколад 150гр.","20206","69","5.62",""
"68134","КУИК ООД-ул. Суходолска 13","ш-д Линд Гранд лешник млечен шоколад 150гр.","20206","69","5.62",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","ш-д Линд Гранд лешник млечен шоколад 150гр.","20206","69","5.62",""
"68134","КУИК ООД-ул.Сава Михайлов","ш-д Линд Гранд лешник млечен шоколад 150гр.","20206","69","5.62",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","ш-д Линд Гранд лешник млечен шоколад 150гр.","20206","69","5.62",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","ш-д Линд Гранд лешник млечен шоколад 150гр.","20206","69","5.62",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","Нова Бразилия 200гр. Мляно","02002","70","3.57",""
"68134","КУИК ООД-ул.Суходолска 2","Нова Бразилия 200гр. Мляно","02002","70","3.57",""
"68134","КУИК ООД-ул. Суходолска 13","Нова Бразилия 200гр. Мляно","02002","70","3.57",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Нова Бразилия 200гр. Мляно","02002","70","3.57",""
"68134","КУИК ООД-ул.Сава Михайлов","Нова Бразилия 200гр. Мляно","02002","70","3.57",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Нова Бразилия 200гр. Мляно","02002","70","3.57",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Нова Бразилия 200гр. Мляно","02002","70","3.57",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","Кафе Лаваца 250гр. Крема Густо","02122","70","5.11",""
"68134","КУИК ООД-ул.Суходолска 2","Кафе Лаваца 250гр. Крема Густо","02122","70","5.11",""
"68134","КУИК ООД-ул. Суходолска 13","Кафе Лаваца 250гр. Крема Густо","02122","70","5.11",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Кафе Лаваца 250гр. Крема Густо","02122","70","5.11",""
"68134","КУИК ООД-ул.Сава Михайлов","Кафе Лаваца 250гр. Крема Густо","02122","70","5.11",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Кафе Лаваца 250гр. Крема Густо","02122","70","5.11",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Кафе Лаваца 250гр. Крема Густо","02122","70","5.11",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","Кафе Лаваца 250гр. Еспресо","02121","70","6.39",""
"68134","КУИК ООД-ул.Суходолска 2","Кафе Лаваца 250гр. Еспресо","02121","70","6.39",""
"68134","КУИК ООД-ул. Суходолска 13","Кафе Лаваца 250гр. Еспресо","02121","70","6.39",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Кафе Лаваца 250гр. Еспресо","02121","70","6.39",""
"68134","КУИК ООД-ул.Сава Михайлов","Кафе Лаваца 250гр. Еспресо","02121","70","6.39",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Кафе Лаваца 250гр. Еспресо","02121","70","6.39",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Кафе Лаваца 250гр. Еспресо","02121","70","6.39",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","Кафе Лаваца 250гр. Роса","02123","70","5.62",""
"68134","КУИК ООД-ул.Суходолска 2","Кафе Лаваца 250гр. Роса","02123","70","5.62",""
"68134","КУИК ООД-ул. Суходолска 13","Кафе Лаваца 250гр. Роса","02123","70","5.62",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Кафе Лаваца 250гр. Роса","02123","70","5.62",""
"68134","КУИК ООД-ул.Сава Михайлов","Кафе Лаваца 250гр. Роса","02123","70","5.62",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Кафе Лаваца 250гр. Роса","02123","70","5.62",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Кафе Лаваца 250гр. Роса","02123","70","5.62",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","кафе Лаваца 1кг. Крема Арома 1кг","02141","70","23",""
"68134","КУИК ООД-ул.Суходолска 2","кафе Лаваца 1кг. Крема Арома 1кг","02141","70","23",""
"68134","КУИК ООД-ул. Суходолска 13","кафе Лаваца 1кг. Крема Арома 1кг","02141","70","23",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","кафе Лаваца 1кг. Крема Арома 1кг","02141","70","23",""
"68134","КУИК ООД-ул.Сава Михайлов","кафе Лаваца 1кг. Крема Арома 1кг","02141","70","23",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","кафе Лаваца 1кг. Крема Арома 1кг","02141","70","23",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","кафе Лаваца 1кг. Крема Арома 1кг","02141","70","23",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","Крема Густо 1кг.","02142","70","19.42",""
"68134","КУИК ООД-ул.Суходолска 2","Крема Густо 1кг.","02142","70","19.42",""
"68134","КУИК ООД-ул. Суходолска 13","Крема Густо 1кг.","02142","70","19.42",""
"68134","КУИК ООД-ул. Преображенско въстание до блок 145В","Крема Густо 1кг.","02142","70","19.42",""
"68134","КУИК ООД-ул.Сава Михайлов","Крема Густо 1кг.","02142","70","19.42",""
"68134","КУИК ООД-бул. Н.Мушанов-ул.Добротич","Крема Густо 1кг.","02142","70","19.42",""
"68134","КУИК ООД-бул. Александър Стамболийски 143","Крема Густо 1кг.","02142","70","19.42",""
"68134","КУИК ООД-бул. Александър Стамболийски 182","бира Пиринско 2.20л.","70106","74","1.53","1.35"
"68134","КУИК ООД-ул.Суходолска 2","бира Пиринско 2.20л.","70106","74","1.53","1.35"
