"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ХЛЯБ РПК 600ГР","000002","1","0.95",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ХЛЯБ ДЕМЕА 650ГР.","000003","2","0.95",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ПИЛЕ ГРАДУС ОХЛАДЕНО","000045","15","4.60",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ПИЛЕШКИ КРЕНВИРШИ ГРАДУС","000182","26","3.06",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","КРАСТАВИЦИ ГЪРЦИЯ","000402","58","1.69","1.20"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ДОМАТИ ГЪРЦИЯ","000404","54","3.60","2.15"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ЗЕЛЕ МАКЕДОНИЯ","000405","57","0.80",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","КАРТОФИ ГЕРМАНИЯ","000410","61","0.76","0.51"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ЛУК ГЕРМАНИЯ","000411","55","0.75","0.69"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","МОРКОВИ ТУРЦИЯ","000412","56","1.10",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ЧЕСЪН ТУРЦИЯ","000413","59","4.99",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ГЪБИ НАСИПНИ ПОЛША","000414","60","4.34",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","БАНАНИ ЕКВАДОР","000423","52","1.85",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ЛИМОНИ ТУРЦИЯ","000424","50","2.99",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ПОРТОКАЛИ ГЪРЦИЯ","000427","51","1.79",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ЯБЪЛКИ ЧЕРВЕНИ ПОЛША","000437","53","1.53",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ИЗВАРА МАНОЯ / БРАТЯ ПЕЕВИ НА КГ","000546","13","2.65","2.40"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ПИЛЕШКО ФИЛЕ БРАТЯ МАНОЛОВИ","000621","16","7.15","6.89"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","МАСЛИНИ САНТЕ ЧЕРНИ ЕДРИ НА КГ","000733","62","3.93","3.68"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ПИЛЕШКИ БУТЧЕТА ОХЛАДЕНИ НА КГ АМЕТА","000745","17","3.06",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","БЯЛО САЛАМУРЕНО КРАВЕ СИРЕНЕ КИСЕЛОВО","000827","8","6.90","6.65"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","МИН.ВОДА ДЕВИН 1.5Л","001004","73","0.55",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","МАКАРОНИ ОХЛЮВИ ЗЛАТЕН КЛАС 400ГР.","001060","36","0.66","0.51"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ЗАХАР 1 КГ КУЛЧЕВИ","001065","38","0.89","0.82"
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","БИРА БОЛЯРКА 2 Л.","001086","74","1.12",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ПРЯСНО МЛЯКО МЕГЛЕ 3.2 % 1Л.","001091","6","1.63",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ТОЧЕНИ КОРИ ТРАКИЙСКИ 400ГР","001950","5","1.32",""
"52009","СУПЕРМАРКЕТ - УЛ.ОСВОБОДИТЕЛ 33","ТОЧЕНИ КОРИ ФАМИЛИЯ 500ГР","001951","5","1.94",""
