"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Фиоре-Фина Трапезна сол 1кг.-синя","3688","39","0.49",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Тео 90/ 100гр","3772","83","0.70",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Веро Ехо 400мл.с балсам","109","79","1.25",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Веро Фея 400мл","119","79","0.95",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Тео бебе","140","83","0.90",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шампоан Нивеа 250мл","187","82","3.83",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шампоан Палмолив 350мл.","188","82","2.30",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Нивеа 100гр","220","83","1.15",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун ДАВ 90/100гр","230","83","1.10",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шампоан Дав 250мл.","239","82","3.93",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","ЧЗ Колгейт екстра 1","295","80","0.72",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Тео-глицерин 70гр.","315","83","0.42",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Палмолив 90гр.","326","83","0.74",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Веро Медикс 450/500мл.гел","335","79","0.97",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Паста за зъби Тетра","341","81","0.97",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Веро Бинго 500мл.","352","79","0.87",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Бира Загорка 2л ПВЦ","647","74","1.61",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Дерони Лютеница Царица 520гр","720","49","5.19",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Малиция 90гр.","803","83","0.89",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Барилла-Спагети 500гр","961","37","1.60",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Стела-Спагети №10 1кг","1520","37","2.30",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Евент-бебе","1614","83","0.85",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Миско Спагети","1808","37","1.64",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Миско Звездички 500гр","1809","36","1.58",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Миско Мидички охлювчета 500гр","1810","36","1.58",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Миско Спирали 500гр","1811","36","1.60",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Миско Тръбички скосени 500г","1812","36","1.59",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Миско Панделки 500гр","1813","36","1.58",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Масло Дойче Маркенбутер 125гр.","1827","12","1.71",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Дерони Лютеница Едросмляна 520г.","1839","49","3.85",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Дерони Лютеница Домашна 525гр.","1846","49","2.96",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Дерони Лютеница Пикантна-520г.","1847","49","3.02",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Брашно Хасково 1кг.","1870","40","0.65",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Фамилекс Захар 1кг.","1873","38","0.95",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Фамилекс леща 1кг.","1875","34","3.01",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Фамилекс боб зрял Добруджански 1кг.","1877","33","3.06",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Фамилекс сол готварска 1кг. синя","1921","39","0.51",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Оцет Веда ябълков/винен  0.7","1933","44","1.15",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Оцет Кулинар 700мл.-винен","1934","44","1.22",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Оцет кулинар 700мл.-ябълков","1935","45","1.27",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Първомай-Лютеница 525гр.  Булконс","1937","49","2.35",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Олинеза-Лютеница дом. 515г.","1959","49","3.47",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Олинеза-Лютеница Бабина едросмляна 515г.","1964","49","3.57",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сапун Сейфгард 90гр","2060","83","1.12",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","ПЗ Лакалут 75мл","2176","81","5.06",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сунгурларска гроздова  спец. 0.7","2254","77","12.02",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Поморийска гроздова  спец 0.7","2256","77","8.50",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Поморийска мускатова 0.7","2257","77","9.90",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Пещерска гроздова об. 0.7","2261","77","7.11",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кехлибарена спиртна напитка 0.7","2266","77","8.95",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Карнобатска Гроздова  0.7","2269","77","7.11",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Троянска сливова  об. 0.7","2270","77","8.85",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Карнобатска  специална селекция 0.7","2273","77","10.20",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Карнобатска  мускатова 0.7","2274","77","8.50",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","БВ Траминер Т-ще 0.75","2278","75","5.37",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","БВ Мускат Т-ще 0.75","2279","75","4.49",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","БВ Шардоне Т-ще 0.75","2280","75","4.49",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","БВ Магарешко мляко 0.75","2282","75","2.20",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Бира Каменица 2.2л. ПВЦ","2436","74","1.68",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Бира Ариана 2.3л. ПВЦ","2443","74","1.59",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Олио ПВЦ Златна Тракия 1л","2488","42","2.17",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шоколад Своге 80гр. млечен","2509","69","1.25",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шоколад Милка 90/100гр Балончета","2515","69","1.50",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шоколад Милка 100гр. милкинис","2516","69","1.50",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шоколад Милка 90гр. млечен","2517","69","1.25",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кроасани Смаки 7days Mini 60гр. крем","2555","67","0.79",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Фиорела-Спагети 400гр","2621","37","0.82",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Фиоре-Захар 1кг.","3003","38","0.90",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Меча кръв Карнобат 0.75 червено","3024","76","1.84",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кафе Нова Бразилия-джазве 200гр.","3091","70","3.53",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Чай Биопрограма-Алпинист","3176","72","0.90",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Чай Биопрограма-Утро","3177","72","0.90",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Чай Биопрограма-Мащерка","3178","72","1.15",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Чай Биопрограма-Лайка","3179","72","1.10",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Чай Биопрограма-Шипка","3180","72","1.10",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Чай Биопрограма-Каркаде","3181","72","1.64",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Шоколад Млечен 80гр.-видове","3195","69","1.15",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Масло Президент 250гр.","3297","12","6.20",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Масло Президент 125гр.","3307","12","3.57",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Мляно месо 60/40-св.месо 60,телешко 40,сол,вода","3280","25","6.90",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Краве сирене Ситово на кг","3374","8","7.50",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кроасан Густо 55/60гр.","3425","67","0.30",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Масло Вълчев 125гр.","9444","12","1.55",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кашкавал Върбина пита","3466","10","9.50",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Масло Вълчев 250гр.","3479","12","3.53",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кашкавал Мис","3553","11","14.57",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кашкавал Мечи Чал","3554","11","11.25",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Краве сирене КУТЕЛА-Лактена","3565","8","10.17",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Маслини Колосал натурални","3644","62","7.11",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кашкавал Св.Илия","3661","11","12.60",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Прясно мляко 1л. Мегле 3.2%","3663","6","1.63",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","ИЗВАРА суроватъчна на кг","3782","13","1.79",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Тимс-Хляб Заводски Традиционен Карина нарязана","3787","1","0.95",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Тимс-Хляб типов","3789","4","0.95",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Кори за баница Белла 400гр","3838","5","1.78",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Сигмен-Краве сирене вакуум","3891","9","10.00",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Тоска-Шпек ""Бургас""","3892","28","10.48",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Маслини Натурални меки кг","3897","62","5.80",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Краве сирене Елит пълномаслено-вакум","3899","9","10.30",""
"77195","Супермаркет КИЛЕРА, гр.ХАсково, бул. България 168а","Рони-Шпек Бургас","3904","28","12.30",""
