"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56722","Супермаркет ""Лайф"" , пл.Македония","Сапун Криспа боди 150г","61","83","1.20",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Минерална вода Хисар 1.5л * 6бр стек","85","73","2.86",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Кисело мляко  на Баба 2%/380гр","250","7","1.15",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Веро Фея 400мл","264","79","1.10",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Шампоан Гарниер 400мл Ботаник","288","82","5.67",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Шампоан Деним 300мл","301","82","4.09",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Краве масло Тюринген 125г","339","12","1.32",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Салам шпек Рила Ф60 гастро 500гр Мушев","360","28","3.78",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Фамилия влажни кърпи 90бр","381","84","1.32",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Мокри кърпи Молфикс 60бр","451","84","1.84",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Кашкавал Булгарче 400г","472","11","6.08",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Краве масло голд Олинеза 250г","575","12","4.29",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Трапезна вода Веса 6*1.5л стек","579","73","2.17",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Сапун Тео милк 90г видове","588","83","0.92",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Сапун Тео букет 70г","599","83","0.56",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Кампезе бял боб 400гр","714","46","1.30",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Шампоан Дева Натурал 500мл видове","809","82","1.32",""
"56722","Супермаркет ""Лайф"" , пл.Македония","ТХ Фамилия 8бр","815","85","3.16","1.99"
"56722","Супермаркет ""Лайф"" , пл.Македония","Веро Блейзи 400мл","840","79","1.53",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Тоалетна хартия Милде 8бр","845","85","4.68",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Кисело мляко Саяна 3.6% 400г","849","7","0.84",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Обикн бисквити Кристал краве масло 130г","870","66","0.92",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Сол екстра 1кг зелена Бяникс","915","39","0.56",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Краве масло Бор Чвор 250гр","978","12","4.37",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Тоалетна хартия Зебра парфюм 4 пласта 8 рула","1014","85","3.93",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Влажни кърпи Плей Тайм 64бр","1030","84","1.53",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Шампоан Елсев 250мл","1054","82","5.91",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Пантен шампоан 360мл","1065","82","7.61",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Бяло саламурено краве сирене Лесидрен Ракита 400гр","1073","9","5.37",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Салам деликатесен Бони 240г","1096","28","4.12",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Пилешки кренвирш Меско","1143","26","3.88","3.10"
"56722","Супермаркет ""Лайф"" , пл.Македония","ЧЗ Аквафреш евридей/битуин клийн медиум","1167","80","1.94",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Краве масло Бор Чвор 125гр","1214","12","2.35",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Кинг 100мм ред","1220","78","3.25",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Шампоан Гарниер Фруктис 250мл","1258","82","4.65","2.69"
"56722","Супермаркет ""Лайф"" , пл.Македония","Сух колбас 220гр Маджаров","1312","28","4.29",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Бяло саламурено козе сирене 400г Лесидрен Ракита","1314","9","7.97",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Прясно мляко Милки Боженци  3.5% 1л","1339","6","2.04",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Шампоан Хед & Шоулдърс 360мл","1455","82","4.85",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Шампоан Уош енд Гоу 360мл","1507","82","4.09",""
"56722","Супермаркет ""Лайф"" , пл.Македония","Ябълка зелена Гърция клас 2 код:716","1563","53","1.50",""
