"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Сапун Криспа боди 150г","61","83","1.20",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Минерална вода Хисар 1.5л * 6бр стек","85","73","2.86",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кисело мляко  на Баба 2%/380гр","250","7","1.15",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Веро Фея 400мл","264","79","1.10",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Гарниер 400мл Ботаник","288","82","5.67",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Деним 300мл","301","82","4.09",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Краве масло Тюринген 125г","339","12","1.32",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Салам шпек Рила Ф60 гастро 500гр Мушев","360","28","3.78",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Фамилия влажни кърпи 90бр","381","84","1.32",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Мокри кърпи Молфикс 60бр","451","84","1.84",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кашкавал Булгарче 400г","472","11","6.08",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Краве масло голд Олинеза 250г","575","12","4.29",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Трапезна вода Веса 6*1.5л стек","579","73","2.17",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Сапун Тео милк 90г видове","588","83","0.92",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Сапун Тео букет 70г","599","83","0.56",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кампезе бял боб 400гр","714","46","1.30",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Дева Натурал 500мл видове","809","82","1.32",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","ТХ Фамилия 8бр","815","85","3.16","1.99"
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Веро Блейзи 400мл","840","79","1.53",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Тоалетна хартия Милде 8бр","845","85","4.68",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кисело мляко Саяна 3.6% 400г","849","7","0.84",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Обикн бисквити Кристал краве масло 130г","870","66","0.92",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Сол екстра 1кг зелена Бяникс","915","39","0.56",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Краве масло Бор Чвор 250гр","978","12","4.37",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Тоалетна хартия Зебра парфюм 4 пласта 8 рула","1014","85","3.93",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Влажни кърпи Плей Тайм 64бр","1030","84","1.53",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Елсев 250мл","1054","82","5.91",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Пантен шампоан 360мл","1065","82","7.61",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Бяло саламурено краве сирене Лесидрен Ракита 400гр","1073","9","5.37",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Салам деликатесен Бони 240г","1096","28","4.12",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Пилешки кренвирш Меско","1143","26","3.88","3.10"
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","ЧЗ Аквафреш евридей/битуин клийн медиум","1167","80","1.94",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Краве масло Бор Чвор 125гр","1214","12","2.35",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кинг 100мм ред","1220","78","3.07",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Гарниер Фруктис 250мл","1258","82","4.65","2.69"
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Сух колбас 220гр Маджаров","1312","28","4.29",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Бяло саламурено козе сирене 400г Лесидрен Ракита","1314","9","7.97",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Прясно мляко Милки Боженци  3.5% 1л","1339","6","2.04",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Хед & Шоулдърс 360мл","1455","82","4.85",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Уош енд Гоу 360мл","1507","82","4.09",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Ябълка зелена Гърция клас 2 код:716","1563","53","1.50",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Мокри кърпи Хенкис 15бр/0702/0703","1751","84","0.71",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Ръчен кашкавал Дубравия 250г","1817","11","3.22",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кашкавал от краве мляко Лесидрен Ракита 200гр","1861","11","3.89",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кампезе зелен грах 420гр","1873","47","1.27",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Влажни кърпи бебе лайка 80бр Септона","1972","84","2.24",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Вино Раковина Шардоне Поморие 750мл","1973","75","4.44","3.59"
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Чай Лайф 20г Балкански аромати","2010","72","0.61",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Натурал шампоан хербал/невен/бадем  400мл","2027","82","1.89",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Натурал шампоан яйчен/хинин/пшеница  400мл","2028","82","1.89",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Натурал шампоан коприва/лайка 400мл","2029","82","1.89",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Натурал  2в1 шампоан зелена ябълка 400мл","2030","82","1.89",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Натурал шампоан алое вера/арган 400мл","2032","82","1.89",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","ПЗ Астера натурал 75мл видове","2069","81","2.53",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шампоан Тео 350мл видове","2167","82","2.22",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Бебешки влажни кърпи Бейби кеър 54бр","2368","84","1.32",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Кашкавал от краве мляко Лесидрен Ракита 350г","2376","11","7.54",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Шпек Рила Ф50 /300г Крум Мушев","2440","28","2.99",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Мерилин плюс червен 100","2462","78","3.50",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Бяло саламурено краве сирене Хаджийски 200гр","2518","9","2.63",""
"80501","Супермаркет ""Лайф"" , гр.Червен Бряг","Чай Биосет 20бр","2568","72","1.15",""
