"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1","38974 Ракия Мускатова 0,70л. Карнобат",1415002619,77,10.25,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",7ДЕЙС КРОАСАН ГОРСКИ ПЛОДОВЕ 80г,1317041517,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",7ДЕЙС КРОАСАН КОКОС И КАКАО 80г,1317041516,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",7ДЕЙС КРОАСАН ФЪСТЪЦИ И КАКАО 80г,1317041515,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",CORSET LILAC FLAT PACK 6.30,1210003223,78,3.22,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",CORSET MARINE SS_6.30,1210003244,78,3.22,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",IQ КРОАСАН С БОРОВИНКИ И НАР  110 ГР,1317041159,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",IQ КРОАСАН С ВАНИЛИЯ & БОРОВИНКА И НАР 1,1317041160,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",IQ КРОАСАН С ВАНИЛИЯ & КАКАОВ КРЕМ 110 Г,1317041162,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",IQ КРОАСАН С ВАФЛА & КАКАОВ КРЕМ 110 ГР.,1317041161,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",IQ КРОАСАН С ЛЕШНИКОВ КРЕМ И КАКАО  110,1317041158,67,1.10,
00702,"220 Inmedio Кауфланд Асеновград гр. Асеновград, ЖК ЗАПАД УЛ.Х.Д.СТОИЛОВ 1",KING CARBON CORE NEON 100's,1210003211,78,3.07,
