Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КИСЕЛО МЛЯКО ДОМЛЯН 4.5% 500ГР,315,7,0.85,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАЙМА СМЕС КГ,11798,25,6.29,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",яйца 10бр,133,31,2.80,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ПИЛЕШКО БУТЧЕ,11876,17,3.43,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ОЛИО ЛЮБЕКС 1Л,13112,42,2.05,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",МАСЛО ДОМЛЯН 125ГР,149,12,1.85,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ПИЛ. ФИЛЕ НАТУРАЛНО НА КГ,12081,16,8.28,7.28
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ПИЛЕ ОХЛ.РИВА ТРЕЙД,405,15,4.29,3.70
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КИСЕЛО МЛЯКО ЙОАНА 3.6% 400МЛ,20558,7,0.67,0.64
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СВИНСКО МЕСО ЗА ГОТВЕНЕ КГ,11815,22,6.14,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КИС.МЛЯКА ЙОАНА 400ГР 2%,20586,7,0.60,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КИСЕЛО МЛЯКО КЪРНАРЕ 3.6% 400ГР,305,7,0.77,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ ДОМЛЯН КРАВЕ 0.230ГР,66,11,2.97,2.70
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ КОСТОВИ КРАВЕ ВАК.,6,8,10.94,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ ЕЛЕНКА КРАВЕ,2614,8,8.64,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЯЙЦА 6ЦА,132,31,1.70,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КОРИ ОДРИНСКИ 500ГР,292,5,1.64,1.53
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КИСЕЛО МЛЯКО ДОМЛЯН 3.6% 500ГР,310,7,0.79,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СВИНСКА ПЛЕШКА ОХЛ.,3382,18,5.93,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",БРАШНО СОФИЯ МЕЛ ЕКСТРА 1КГ,535,41,1.15,1.10
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КОРИ ДЕВОН 500ГР,294,5,2.05,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЕЧ ЖИТНИЦА 500ГР,218,27,2.81,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",БРАШНО СЪЕДИНЕНИЕ 1КГ,5739,40,0.72,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СВИНСКИ БУТ ОХЛАДЕН ЦЯЛ,6548,19,5.93,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ ДОМЛЯН КРАВЕ 400ГР,20,9,3.94,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ ТИПОВ БРАТЯ ПЕТРОВИ,18503,4,0.95,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ПРЯСНО МЛЯКО ПОЛМЛЕК 1Л УХТ,11976,6,1.37,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",МАСЛИНИ УСЛУ  БЕТА/КГ,5726,62,4.55,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ ДОМЛЯН ЗА ЦЕНИТЕЛИ 600ГР,69,11,7.62,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",БРАШНО СОФИЯ МЕЛ КЛАСИК ТИП 500 1КГ,536,40,1.07,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ НАБОР КРАВЕ 400ГР,3754,11,4.09,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ МАНОЛЕ ТОСТ,17506,10,9.05,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",МАСЛИНИ РЕДЖИНА 121/140 КГ,14893,62,4.76,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ТЕЛЕШКО МЕСО ЗА ГОТВЕНЕ КГ,14109,24,12.12,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СВИНСКИ ВРАТ  маджаров,1432,21,8.64,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",МАСЛИНА   БЕЗСОЛНА 70/90,10696,62,5.62,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ КРАВЕ МАНОЛЕ/КГ,17633,8,6.64,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ТЕЛЕШКИ ШОЛ КГ,13517,23,12.22,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",САЛАМ ДЕЛИКАТЕСЕН ЖИТНИЦА 400ГР,224,28,4.65,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ КРАВЕ ЖИТНИЦА,11916,8,7.93,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КРЕНВИРШ ГРАДУС,182,26,2.86,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ КЪРНАРЕ КРАВЕ ВАК.,2,8,11.35,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",МАСЛИНИ КАЛАМОН /КГ,11512,62,6.70,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ КАРИНА ТРАКИЙСКИ,5744,1,1.00,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ ЕЛИТ КГ,12652,8,7.72,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",МИН ВОДА ХИСАР 1.5,474,73,0.39,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ ТИПОВ ДИАМАНТ 650ГР,3972,4,1.10,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",МАСЛИНА ГРЪЦКА НАТУРАЛНА,11792,62,6.44,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ ДОМЛЯН 900ГР,17816,11,12.37,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СКУМРИЯ 4/6 ПАКЕТ АДОЛФ,4847,29,6.03,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЛЮТЕНИЦА ФИНО СМЛЯНА ЕЛИТ КОНСЕРВ 550ГР,833,49,3.17,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ГРЪЦКА СТАФИДА МАСЛИНИ,13376,62,8.49,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ ВЕДРАРЕ КРАВЕ 200ГР,54,11,3.89,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ ДОБРУДЖА ДИАМАНТ 650ГР,3970,2,1.10,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ БЯЛ ДИАМАНТ 600ГР,5720,1,1.10,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ ТИПОВ ДИАМАНТ 400ГР,3977,4,1.02,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ СЕЛСКИ ДИАМАНТ 600ГР,3976,1,1.10,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ БЯЛ НАР.СИМИД 0.650ГР,3917,1,0.97,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КРЕНВИРШ СРЕДЕЦ МАЛЕВЕНТУМ,4840,26,3.32,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЕК ЧИСТЕН 300/500 АДОЛФ,9660,29,4.91,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СИРЕНЕ МЛЕЧНА ДОЛИНА ВАКУМ ВЕДРАРЕ,12,8,7.62,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ПР.МЛЯКО БАРИСТА TERRA 3.5% 1Л,16670,6,1.38,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ СИМИД БЯЛ 500ГР,3918,1,0.87,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ ЖОСИ КРАВЕ,14325,10,8.74,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ШОКОЛАД СВОГЕ 80ГР,18363,69,1.28,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",АКУЛА КОТЛЕТ ФИШ ЕКСПРЕС,12463,29,6.80,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАМ/ТЕЛ/ХАМБ/ КЕН 350ГР,13439,27,2.30,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ШОКОЛАД Schogetten 100ГР,588,69,1.84,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЧАЙ БИОПРОГРАМА ЛИПА,2712,72,2.20,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ПАСТА ПАРАДОНТАКС 75МЛ,6837,81,5.06,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ХЛЯБ ТИПОВ НАР.0.650ГР СИМИД,3919,4,0.98,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЦИПУРА ФИШ ЕКСПРЕС,7927,29,15.60,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",БЕБЕЛАН КЪРПИ 80БР,16208,84,2.04,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО ШАТО КАРНОБАТ 750МЛ,3305,75,4.40,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ШУНКА КЕН 300ГР,195,27,3.02,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАФЕ TCHIBO FAMILI 250ГР,725,70,4.40,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ПЮРЕ ГАНЧЕВ 190ГР,6327,64,1.32,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВЕРО ФЕЯ 400МЛ,7714,79,0.97,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО ЕТНО 750МЛ,4465,76,4.76,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ТЕО САПУН 140ГР,8043,83,0.84,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЛАВРАК ФИШ ЕКСПРЕС,7925,29,17.20,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЧАЙ ШИПКА БИОПРОГРАМА 20БР,13028,72,1.07,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",САПУН НИВЕА 100Г,779,83,1.23,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАШКАВАЛ ДИМИТЪР МАДЖАРОВ ТРИЪГЪЛЕН 380ГР,17834,11,7.46,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",САЛАМ ДЕЛИКАТЕСЕН КЕН 300ГР,2226,28,4.86,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО МЕНАДА ТРАМ/СОВИН.0.75Л,3576,75,4.40,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",САЛАМ ЧИЧО СЕРВИЛАТ 300Г,2956,28,2.61,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЧЕТКА ЗА ЗЪБИ СЕНСОДИН,14004,80,3.68,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО КОЗЯ ГРАМАДА РОЗЕ 750МЛ,11087,76,11.35,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",Карнобатска мускатова 0.7,3309,77,8.49,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО СТАРОСЕЛ МАВРУД 750МЛ,3659,76,8.49,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО СТАРОСЕЛ ШАРДОНЕ 750МЛ,3661,75,9.51,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАФЕ БИАНЧИ НЕРО 1КГ/ЗЪРНА,3701,71,19.58,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ТЪРГОВИЩЕ ШАРДОНЕ 750МЛ,20373,75,4.00,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАФЕ БИАНЧИ РОСО 1КГ,8768,71,18.00,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЗЕЛЕН ЧАЙ БИОПРОГРАМА С КОНЕЦ,1509,72,1.79,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",РАКИЯ СУНГУЛАРСКА ОТЛЕЖАЛА 700МЛ,5078,77,9.71,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЯКОБС МОНАРХ ИНТЕНЗ 250ГР,6856,70,6.20,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",NAN 400ГР,19379,65,13.80,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",РАКИЯ КАЙЛЪШКА МУСКАТОВА 0.7Л,5139,77,9.90,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",РАКИЯ ГРОЗДЕН 0.7Л,5224,77,6.44,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЗЕХТИН ЕКСТРА YBARRA 1Л,21187,43,15.34,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",РАКИЯ КАРНОБАТ СПЕЦИАЛ 700МЛ,22007,77,9.61,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАФЕ ЛАВАЦА SUPER CREMA 1КГ,19038,71,28.58,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАФЕ ЛОР ЗЪРНА 1КГ,21040,71,32.47,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",амбарица чичовци 240г,4954,28,3.37,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",КАРНОБАТСКА ОТЛЕЖАЛА РАКИЯ 0.7Л,11372,77,10.23,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО РОСИДИ ШАРДОНЕ 750МЛ,7800,75,9.20,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО КАБЕРНЕ/МЕРЛО 750МЛ КОЗЯ ГРАМАДА,4718,76,10.02,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",СУХО БЯЛО ВИНО МАЛВИС 750МЛ,8194,75,6.03,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО РОСИДИ ПИНОТ НОИР 750МЛ,22549,76,11.91,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ЧЕТКА ЗА ЗЪБИ КОЛГЕЙТ,20611,80,0.74,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",РАКИЯ ТРОЯНСКА КРУША/ЯБЪЛКА 0.7Л,22299,77,8.69,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",РАКИЯ КАЙЛЪШКА СЛИВОВА 0.7Л,5140,77,9.00,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО КОЗЯ ГРАМАДА ТАМЯНКА 0.750,8166,75,11.25,
36498,"СУПЕРМАРКЕТ ОМЕГА, ул. Ген. Заимов ",ВИНО РОСИДИ 750МЛ,4044,75,6.65,
