"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МАКАРОНИ - МiSKO - ОХЛЬОВ - РАПАНИ - Коxuлi","58","36","1.99",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МОК. КЪРПИ -  БОЧКО - НЕЖНА ГРИЖА - 60* - КАПАК  <10.>","60","84","1.99",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","СИР.  КРАВЕ - МАДЖАРОВ - 900г.- НАТРОШЕНО","6718","9","5.01",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","КАРТОФИ - България/ Германия","10310","61","0.86",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","Кр. ЛУК - КАБА - ТУРЦИЯ / ХОЛАНДИЯ кл.2","10402","55","0.82",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛУК - ЧЕСЪН- ГЛАВИ - МЛЕЧЕН- Kg.","10411","59","3.99",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МОРКОВИ - БЪЛГАРИЯ - кл.2","10601","56","1.15",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ПОРТОКАЛИ - ОЛИМПИЯ - ЕКСТРА- GR- ЕГИПЕТ","12101","51","2.05",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БАНАНИ - БОНИТА- ЕКВАДОР- кл.1","12600","52","1.99",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗАХАР  1кг - Гор.ОРЯХОВИЦА","20101","38","1.17",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - DiPaLiO - 1л. - Еxtra ViRGiN - Мет.Кутия  <6.>","21004","43","9.49",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - DiPaLiO - 1л. - POMACE - PVC  <12.>","21005","43","5.29",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - ELIA-  1л. - POMACE","21016","43","12.01",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - DiPaLiO - 1л. - Еxtra ViRGiN  <6.>","21022","43","9.49",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - ELIA-  1л. - Ex.ViRGIN","21030","43","11.99",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - COSTA D`ORO -  1л.- Extra ViRGiN","21136","43","13.80",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОЛИО- 1л.- КАЛИАКРА - ПЪРВА ПРЕСА","21153","42","1.99","1.79"
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОЦЕТ ВИНЕН- 700г. - КУЛИНАР  =44=","21503","44","1.43",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОЦЕТ ЯБЪЛКОВ- 700г- КУЛИНАР  =44=","21508","45","1.48",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОЦЕТ- VEDA - 700м. - ЯБЪЛКОВ <12,>","21516","45","1.27",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОЦЕТ- VEDA - 700м. - ВИНЕН  <12,>","21517","44","1.17",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОЦЕТ- КРиНА - 700м. - ЯБЪЛКОВ <12,>","21518","45","1.30",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОЦЕТ- КРиНА - 700м. - ВИНЕН <12,>","21519","44","1.25",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - COSTA D`ORO -  1л.- DELiCATO  <8.>","21606","43","9.71",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЗЕХТИН - De CECCO - 1л. - Ex.ViRGIN","21616","43","11.75","10.49"
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  1кг.- КРЪСТЕВ - БИСЕРЕН","22001","35","2.04",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  1кг.- КРЪСТЕВ - БЪЛГАРСКИ","22004","35","1.10",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  1кг.- КРЪСТЕВ - ЕКСТРА","22006","33","3.16",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  500г.- КРЪСТЕВ - КАМОЛИНО- ЕКСТРА","22007","35","1.07",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  500г.- КриНА - БЪЛГАРСКИ  <10>","22012","35","1.02",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  1кг.- КРЪСТЕВ - НАРОДЕН ВКУС","22020","33","3.16",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  500г.- КРЪСТЕВ - БИСЕРЕН <12.>","22021","35","1.07",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  1кг.- КриНА - ПЕРЛЕН  <6,>","22024","35","1.78",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  1кг.- КриНА - БЪЛГАРСКИ","22026","35","1.89",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  1кг.- КриНА - БЯЛ  <6,>","22036","35","1.89",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  1кг.- КРЪСТЕВ - БАЛДО  <8>","22044","35","2.84","2.49"
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ОРИЗ  1кг.- КриНА - ЕКСТРА   <6>","22049","35","2.38",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  500г.- КриНА - ТРАДИЦИОНЕН","22100","33","1.61",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА - 500г.- КРЪСТЕВ     <12.>","22101","34","1.45",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  500г.- КРЪСТЕВ - ЕКСТРА  <10,>","22106","33","1.66",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  500г.- КриНА - ЕКСТРА  <10,>","22109","33","1.52",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  500г.- КРЪСТЕВ - НАРОДЕН","22118","33","1.66",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  1кг.- КриНА - ТРАДИЦИОНЕН","22120","33","3.14",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  800г.- КриНА - БЕЛЕН","22122","33","3.32",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БОБ  500г.- КриНА - МУНГ","22128","33","1.68",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА - 400г. - КриНА - БЕЛУГА   <6,>","22129","34","1.73",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА - 500г. - АрТЕ - СЕЛЕКТ <20,>","22201","34","1.15",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА - 500г.- КриНА - ФРЕНСКА  <10.>","22205","34","1.48",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА  1кг.- КриНА - ЕКСТРА  <6,>","22206","34","2.91",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА - 500г.- КриНА - ЕКСТРА <10.>","22207","34","1.48","1.19"
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА  1кг. -КриНА  - ИМАЛО ЕДНО ВРЕМЕ","22210","34","2.70",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА - 500г.- КриНА - БЪЛГАРСКА  <10.>","22213","34","1.32",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ЛЕЩА - 500г.- КриНА - ТРАПЕЗНА  <10.>","22214","34","1.17",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ГОТВ. СОЛ- 1кг-  ББТ ЗЕЛЕНА","22400","39","0.76",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ГОТВ. СОЛ- 1кг-  КРИНА       <10>","22403","39","0.64",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","ГОТВ. СОЛ- 1кг- БЯНИКС - РУСЕ","22407","39","0.65",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БРАШНО- 1кг- СофияМЕЛ - ТИП 500","23001","40","1.15",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","БРАШНО- 1кг- СофияМЕЛ - ЕКСТРА","23002","41","1.19",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МАКАРОНИ - КРЪСТЕВ- 400г - СПИРАЛИ <12.>","24002","36","0.66",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МАКАРОНИ - МELiSSA - МИДИ - KONИL.- МАЛКИ","24003","36","1.99",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МАКАРОНИ - МELiSSA - МИДИ- НЬОКИ- ГОЛЕМИ","24011","36","1.99",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МАКАРОНИ - КРЪСТЕВ- 400г - ЮФКА  <12.>","24014","36","0.66",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МАКАРОНИ - КРЪСТЕВ- 400г - ТРЪБИЧКИ   <12.>","24016","36","0.66",""
"72343","БИЛЯНА-ТЕТЕВЕН, ТЕТЕВЕН","МАКАРОНИ - МELiSSA - ПАНДЕЛКИ - ФАРФАЛЕ","24018","36","1.99",""
