"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"14218","МАГАЗИН НИВЕН ДУНАВ УЛ.ОРЛОВСКА 104","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 8 УЛ. СТЕФАН КАРАДЖА 5","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 9 УЛ.НАЙДЕН ГЕРОВ 10","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 10 УЛ.НИКОЛА ВОЙНОВСКИ 28","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 14 УЛ.СВИЩОВСКА 101","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 16 УЛ.ХРИСТО СМИРНЕНСКИ 33","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 17 БУЛ.СТОЛЕТОВ 59А","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 1 УЛ.НИКОЛАЕВСКА 86","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 20 УЛ.КИРИЛ И МЕТОДИЙ 10","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 21 УЛ.СКОБЕЛЕВСКА 26","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 24 УЛ.ПРОХЛАДА 5","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
"14218","МАГАЗИН НИВЕН 25 БУЛ.ТРЕТИ МАРТ 52","БОБ КРЪСТЕВ ЕКСТА 1 КГ","44299432","33","2.96","0.00"
