"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"67338","01.ДРУЖБА - ж.к. Дружба №20","ХЛЯБ БЯЛ 600 ГР КЛАСЪ","001001","1","0.76",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","ХЛЯБ Х.ДИМИТЪР БЯЛ 700 ГР","001011","1","0.84",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","ХЛЯБ ТИПОВ 500 ГР КЛАСЪ","001029","4","0.71",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","ХЛЯБ ДОБРУДЖА КЛАСЪ 500 ГР","001057","2","0.71",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","ХЛЯБ ЯНЕВИ 400 ГР РЪЖЕНО-ПШЕНИЧЕН","001090","3","1.43",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ ДЕРОНИ 400 ГР КУСКУС","001102","36","1.02",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ ЗЛАТЕН КЛАС 400 ГР ЖИВОТНИ","001105","36","0.63",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ МИСКО  500 ГР ПЪЛНОЗЪРНЕСТИ","001107","36","1.94","1.75"
"67338","01.ДРУЖБА - ж.к. Дружба №20","СПАГЕТИ БАРИЛА №5 500 ГР.","001110","37","1.68",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ ДЕРОНИ 400 ГР ЗВЕЗДИЧКИ","001111","36","1.02",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","СПАГЕТИ БАРИЛА  № 3 500 ГР.","001118","37","1.68",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","КАНЕЛОНИ СТЕЛА 250ГР.","001124","36","1.75",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ БАРИЛА ПЕНЕ РИГАТЕ 500 ГР.","001133","36","1.68","1.45"
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ СТЕЛА 500 ГР ЮФКА","001135","36","1.43",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ МИСКО 500 ГР КУС-КУС","001139","36","1.63",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ БАРИЛА ФУСИЛИ 500 ГР.","001142","36","1.68","1.45"
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ МИСКО 500 ГР РИГАТОНИ ГОЛЕМИ","001143","36","1.63",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ МИСКО 500 ГР СПИРАЛИ","001144","36","1.63",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ МИСКО 500 ГР ТРЪБИЧКИ СКОСЕНИ","001145","36","1.63",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ МИСКО 500 ГР ПАНДЕЛКИ","001146","36","1.63",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ МИСКО 500 ГР ЗВЕЗДИЧКИ","001148","36","1.63",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","СПАГЕТИ SUMA 400ГР ALLA CHITARRA","001150","36","3.06",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","ТАЛИАТЕЛЕ SUMA 400ГР","001152","36","3.06",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","СПАГЕТИ ДЕРОНИ 400 ГР № 10","001159","37","1.02",""
"67338","01.ДРУЖБА - ж.к. Дружба №20","МАКАРОНИ БАРИЛА ТОРТИЛЬОНИ 500 ГР.","001160","36","1.68","1.45"
