"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Алкохол и Цигари-Кръстьо Пастухов 69","бисквити житен дар 120гр","20001","66","0.87","0"
"68134","Алкохол и Цигари-Димитър Пешев 501","бисквити житен дар 120гр","20001","66","0.87","0"
"68134","Алкохол и Цигари-Александър Балан 207","бисквити житен дар 120гр","20001","66","0.87","0"
"68134","Алкохол и Цигари-Луи Пастьор  102","бисквити житен дар 120гр","20001","66","0.87","0"
"68134","Алкохол и Цигари-Атанас Москов 437","бисквити житен дар 120гр","20001","66","0.87","0"
"68134","Алкохол и Цигари-Тирана 1","бисквити житен дар 120гр","20001","66","0.87","0"
"68134","Алкохол и Цигари - Цветан Лазаров","бисквити житен дар 120гр","20001","66","0.87","0"
"68134","Алкохол и Цигари-Кръстьо Пастухов 69","бисквити житен дар 230гр.","20002","66","1.38","0"
"68134","Алкохол и Цигари-Димитър Пешев 501","бисквити житен дар 230гр.","20002","66","1.38","0"
"68134","Алкохол и Цигари-Александър Балан 207","бисквити житен дар 230гр.","20002","66","1.38","0"
"68134","Алкохол и Цигари-Луи Пастьор  102","бисквити житен дар 230гр.","20002","66","1.38","0"
"68134","Алкохол и Цигари-Атанас Москов 437","бисквити житен дар 230гр.","20002","66","1.38","0"
"68134","Алкохол и Цигари-Тирана 1","бисквити житен дар 230гр.","20002","66","1.38","0"
"68134","Алкохол и Цигари - Цветан Лазаров","бисквити житен дар 230гр.","20002","66","1.38","0"
"68134","Алкохол и Цигари-Кръстьо Пастухов 69","кроасани 7дейс 92гр.","20003","67","0.87","0"
"68134","Алкохол и Цигари-Димитър Пешев 501","кроасани 7дейс 92гр.","20003","67","0.87","0"
"68134","Алкохол и Цигари-Александър Балан 207","кроасани 7дейс 92гр.","20003","67","0.87","0"
"68134","Алкохол и Цигари-Луи Пастьор  102","кроасани 7дейс 92гр.","20003","67","0.87","0"
"68134","Алкохол и Цигари-Атанас Москов 437","кроасани 7дейс 92гр.","20003","67","0.87","0"
"68134","Алкохол и Цигари-Тирана 1","кроасани 7дейс 92гр.","20003","67","0.87","0"
"68134","Алкохол и Цигари - Цветан Лазаров","кроасани 7дейс 92гр.","20003","67","0.87","0"
"68134","Алкохол и Цигари-Кръстьо Пастухов 69","кроасани лото 110гр","20004","67","0.87","0"
"68134","Алкохол и Цигари-Димитър Пешев 501","кроасани лото 110гр","20004","67","0.87","0"
"68134","Алкохол и Цигари-Александър Балан 207","кроасани лото 110гр","20004","67","0.87","0"
"68134","Алкохол и Цигари-Луи Пастьор  102","кроасани лото 110гр","20004","67","0.87","0"
"68134","Алкохол и Цигари-Атанас Москов 437","кроасани лото 110гр","20004","67","0.87","0"
"68134","Алкохол и Цигари-Тирана 1","кроасани лото 110гр","20004","67","0.87","0"
"68134","Алкохол и Цигари - Цветан Лазаров","кроасани лото 110гр","20004","67","0.87","0"
"68134","Алкохол и Цигари-Кръстьо Пастухов 69","кроасани мини мини 60гр","20005","67","0.92","0"
"68134","Алкохол и Цигари-Димитър Пешев 501","кроасани мини мини 60гр","20005","67","0.92","0"
"68134","Алкохол и Цигари-Александър Балан 207","кроасани мини мини 60гр","20005","67","0.92","0"
"68134","Алкохол и Цигари-Луи Пастьор  102","кроасани мини мини 60гр","20005","67","0.92","0"
"68134","Алкохол и Цигари-Атанас Москов 437","кроасани мини мини 60гр","20005","67","0.92","0"
"68134","Алкохол и Цигари-Тирана 1","кроасани мини мини 60гр","20005","67","0.92","0"
"68134","Алкохол и Цигари - Цветан Лазаров","кроасани мини мини 60гр","20005","67","0.92","0"
"68134","Алкохол и Цигари-Кръстьо Пастухов 69","шоколад фин млечен 80гр.","20006","69","1.43","0"
"68134","Алкохол и Цигари-Димитър Пешев 501","шоколад фин млечен 80гр.","20006","69","1.43","0"
"68134","Алкохол и Цигари-Александър Балан 207","шоколад фин млечен 80гр.","20006","69","1.43","0"
"68134","Алкохол и Цигари-Луи Пастьор  102","шоколад фин млечен 80гр.","20006","69","1.43","0"
"68134","Алкохол и Цигари-Атанас Москов 437","шоколад фин млечен 80гр.","20006","69","1.43","0"
"68134","Алкохол и Цигари-Тирана 1","шоколад фин млечен 80гр.","20006","69","1.43","0"
"68134","Алкохол и Цигари - Цветан Лазаров","шоколад фин млечен 80гр.","20006","69","1.43","0"
"68134","Алкохол и Цигари-Кръстьо Пастухов 69","кафе нова бразилия 200гр.","20007","70","4.35","0"
"68134","Алкохол и Цигари-Димитър Пешев 501","кафе нова бразилия 200гр.","20007","70","4.35","0"
"68134","Алкохол и Цигари-Александър Балан 207","кафе нова бразилия 200гр.","20007","70","4.35","0"
"68134","Алкохол и Цигари-Луи Пастьор  102","кафе нова бразилия 200гр.","20007","70","4.35","0"
