"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС ДВОЕН КРОАСАН 60гр. ВАНИЛИЯ И ВИШНА","18767","67","0.66","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС ДВОЕН КРОАСАН 60гр. ВАНИЛИЯ И ВИШНА","18767","67","0.66","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС ДВОЕН КРОАСАН 60гр. КАКАО-ВАНИЛИЯ","99328","67","0.66","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС ДВОЕН КРОАСАН 60гр. КАКАО-ВАНИЛИЯ","99328","67","0.66","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 110гр. МАКСИ ДУБЪЛ","14212","67","1.02","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 110гр. МАКСИ ДУБЪЛ","14212","67","1.02","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. КАЙСИЯ","18766","67","0.66","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. КАЙСИЯ","18766","67","0.66","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. КАКАО","11629","67","0.66","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. КАКАО","11629","67","0.66","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. СПУМАНТЕ","11627","67","0.66","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. СПУМАНТЕ","11627","67","0.66","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. ЧЕРЕША","99602","67","0.61","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 60гр. ЯГОДА","22242","67","0.61","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 80гр. ГОРСКИ ПЛОД","01628","67","0.71","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 80гр. ГОРСКИ ПЛОД","01628","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 80гр. КОКОС И КАКАО","00205","67","0.71","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 80гр. ФЪСТЪЧЕН КРЕМ","15085","67","0.76","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. БИСК/ЛЕШНИКОВ КРЕМ","12219","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. БИСК/ЛЕШНИКОВ КРЕМ","12219","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. БИСКВ/ВАНИЛОВ КРЕМ","10467","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. БИСКВ/ВАНИЛОВ КРЕМ","10467","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ВАНИЛИЯ/ШОКОЛАД","12435","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ВАНИЛИЯ/ШОКОЛАД","12435","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ВАНИЛИЯ/ЯГОДА","12220","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ВАНИЛИЯ/ЯГОДА","12220","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ВИШНА/ВАНИЛИЯ","10462","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ВИШНА/ВАНИЛИЯ","10462","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. КРЕМ БРЮЛЕ","10466","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. КРЕМ БРЮЛЕ","10466","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ЛЕШНИК","12218","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ЛЕШНИК","12218","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ШОКОЛАД","10464","67","0.79","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАН 92гр. ШОКОЛАД","10464","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАНИ 60гр. МИНИ КРЕМ БРЮЛЕ","12553","67","0.82","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАНИ 60гр. МИНИ КРЕМ БРЮЛЕ","12553","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАНИ 60гр. МИНИ ШОК.","11443","67","0.82","0.00"
"67667","СМЕСЕН МАГАЗИН","7ДЕЙС КРОАСАНИ 60гр. МИНИ ШОК.","11443","67","0.79","0.00"
"23672","СМЕСЕН МАГАЗИН","EDUSCHO КАФЕ ИНТЕНЗО 250гр.","18827","70","2.56","0.00"
"67667","СМЕСЕН МАГАЗИН","EDUSCHO КАФЕ ИНТЕНЗО 250гр.","18827","70","2.56","0.00"
"23672","СМЕСЕН МАГАЗИН","EDUSCHO КАФЕ ФЕМИЛИ/СТРОНГ 250гр.","18826","70","2.56","0.00"
"67667","СМЕСЕН МАГАЗИН","EDUSCHO КАФЕ ФЕМИЛИ/СТРОНГ 250гр.","18826","70","2.56","0.00"
"23672","СМЕСЕН МАГАЗИН","АЛМУС 2л.","00339","74","1.51","0.00"
"67667","СМЕСЕН МАГАЗИН","АЛМУС 2л.","00339","74","1.51","0.00"
"23672","СМЕСЕН МАГАЗИН","АПТАМИЛ 2 (МЕТ. КУТИЯ) 6-12М. 400ГР.","16339","65","11.25","0.00"
