"Населено място", "Търговски обект", "Наименование на продукта", "Код на продукта", "Категория", "Цена на дребно", "Цена в промоция"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","АРТЕ ГРАХ КОНСЕРВА 400ГР","10412","47","1.05","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","Б-ТИ ЗАКУСКА КЛАСИК 255ГР","132","66","1.05","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","Б-ТИ ИЗГРЕВ 120ГР","2312","66","0.59","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","Б-ТИ ОБИКНОВЕННИ КРИСТАЛ 130ГР","137","66","0.60","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","Б-ТИ РОДЕН КРАЙ ОБИКНОВЕНИ 120ГР","14059","66","0.60","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БАНАНИ КГ","1534","52","1.99","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БИРА АСТИКА 2Л","3653","74","1.43","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БИРА БРИТОС 2Л","5238","74","1.17","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БИРА ЗАГОРКА 2Л","5115","74","1.27","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БОБ ЕКСТРА 1КГ КРЪСТЕВ","2467","33","3.04","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БОБ НАРОДЕН 1КГ","2470","33","3.04","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БОР ЧВОР ПРЯСНО МЛЯКО 3","9765","6","1.30","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БРАШНО ДЕЧКОВ 1КГ","12168","40","0.79","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БРАШНО КРЪСТЕВ 1КГ","6868","40","0.95","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БРАШНО СОФИЯ МЕЛ ЕКСТРА 1КГ","6163","41","1.13","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БРАШНО СОФИЯ МЕЛ КЛАСИК 1КГ ТИП 500","1865","40","1.00","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БЧ КАРКАДЕ","7459","72","1.00","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","БЧ ЛАЙКА","7460","72","1.00","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВЕРЕЯ ПРЯСНО МЛЯКО 1Л 3","5648","6","1.50","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВЕРО ЕЛВИ 0.5Л","5253","79","0.56","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВЕРО ЕХО БАЛСАМ 0.4Л","344","79","1.28","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВЕРО ПЕРЕКС 0.5Л ГЕЛ","12164","79","0.56","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВЕРО ФЕЯ 0.5Л","377","79","0.95","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВИЛА ЯМБОЛ 0.75Л КАБЕРНЕ","7285","76","3.68","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВИЛА ЯМБОЛ 0.75Л МУСКАТ","7283","75","3.68","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВИНО Б. ТЪРГОВИЩЕ ТРЕМИНЕР 0.7Л","6130","75","4.19","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВИНО К-Т СОФИЯ 0.7Л КАБЕРНЕ","7985","76","2.35","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВИНО К-Т СОФИЯ 0.7Л МУСКАТ","7987","75","2.35","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВИНО МЕНАДА 0.7Л МАВРУД","6125","76","3.89","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ВИНО МЕНАДА 0.7Л ТРАМИНЕР","6128","75","3.89","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ДОМАТИ ЧЕРВЕНИ ПРЕСНИ КГ","1522","54","2.95","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ЖИТНИЦА МАКЕД. НАДЕНИЦА","2090","27","6.75","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ЗАКУСКА ВИТА БАНИЧКА 200ГР","14110","68","0.87","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ЗАКУСКА ПРАВА БАНИЧКА","5030","68","0.87","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ЗАХАР 1КГ СЛАДЕЯ ГО БЯЛА","6543","38","0.95","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ЗАХАР КЛИО 1КГ","14077","38","0.90","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","ЗЕЛЕ КГ","1526","57","0.50","0.00"
"56722","Магазин HOLLYWOOD, жк. Сторгозия ул. Крали Марко 3","КАРТОФ МИТ","7054","61","0.66","0.00"
