"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ВОДА ИЗВОРНА РОСА 1.5Л","001092","73","0.65",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МАСЛО КРАВЕ 82% ПРЕЗИДЕНТ 250ГР ФРАНЦИЯ","001093","12","7.92",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МАСЛО КРАВЕ 82% ПРЕЗИДЕНТ 125ГР ФРАНЦИЯ","001139","12","4.09",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","СИРЕНЕ КРАВЕ НДН 200ГР","001287","9","2.39",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МЛЯКО КИСЕЛО 2% ВЕРЕЯ 400ГР","002000","7","0.81",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МЛЯКО ПРЯСНО 3% ВЕРЕЯ 1Л","002036","6","1.73",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МЛЯКО КИСЕЛО 2.9% ВЕРЕЯ 400ГР","002050","7","0.89",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","БИО МЛЯКО КИСЕЛО 3.6% ХАРМОНИКА 400ГР","002143","7","1.43",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МЛЯКО ПРЯСНО 3.5% MY DAY 1Л","002160","6","1.87",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МЛЯКО ПРЯСНО 3 % UHT MY DAY 1Л","002174","6","2.30",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МЛЯКО 3.5% UHT ПРЕЗИДЕНТ 1Л ФРАНЦИЯ","002908","6","3.57",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ХЛЯБ БЯЛ РЪЧЕН НА ТАБАН СИМИД А И Д 650ГР","003261","1","1.27",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ХЛЯБ БЯЛ НАРЯЗАН СИМИД 830ГР","003370","1","1.41",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ХЛЯБ ДОБРУДЖА НАРЯЗАН СИМИД 830ГР","003371","2","1.30",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МАКАРОНИ ФУСИЛИ МЕЛИСА 500ГР","004043","36","1.71",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КРОАСАНИ СЕВЪН ДЕЙС  МИНИ КАКАО 60ГР","004075","67","0.86",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ПОРТОКАЛИ КЛАС I П-Д ГЪРЦИЯ","004088","51","2.10",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","БАНАНИ КЛАС I П-Д ЕКВАДОР","004601","52","1.99",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ДОМАТИ КЛАС I П-Д ТУРЦИЯ","004606","54","3.69","2.79"
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ЗЕЛЕ РАННО КЛАС ОПС П-Д БЪЛГАРИЯ","004607","57","1.27","0.99"
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КРАСТАВИЦИ КЛАС I П-Д БЪЛГАРИЯ","004612","58","3.83",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ЛИМОНИ КЛАС I П-Д ТУРЦИЯ","004614","50","3.31",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ЛУК ЖЪЛТ КЛАС I П-Д АВСТРИЯ","004622","55","0.71",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КАРТОФИ КЛАС ОПС П-Д ГЕРМАНИЯ","004640","61","0.62",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ЯБЪЛКИ ЗЛАТНИ КЛАС I П-Д ПОЛША","004644","53","2.39",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МОРКОВИ КЛАС I П-Д ТУРЦИЯ","004650","56","1.03",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ЯБЪЛКИ ЧЕРВЕНИ КЛАС I П-Д ПОЛША","004661","53","1.99",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ЯБЪЛКИ ШАРЕНИ КЛАС I П-Д ПОЛША","004719","53","1.64",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КОРИ ЗА БАНИЦА ФАМИЛИЯ 500ГР ОХЛАДЕНИ","004747","5","2.19",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","СПАГЕТИ НОМЕР 10 МЕЛИСА 500ГР","004781","37","1.71",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МАКАРОНИ РИГАТОНИ МЕЛИСА 500ГР","004786","36","1.71",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МАКАРОНИ ГНОЧИ /ГОЛЕМИ МИДИ/ МЕЛИСА 500ГР","004787","36","1.71",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","МАКАРОНИ ОРЗО МЕДИУМ МЕЛИСА 500ГР","004790","36","1.71",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КРЕНВИРШИ ЛЕКИ НАСИПЕН","006016","26","7.66",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","НАДЕНИЦА ЛИОНСКА ЛЕКИ 400ГР ВАКУУМ","006190","27","3.78",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","НАДЕНИЦА МАКЕДОНСКА ЛЕКИ НАСИПНА","006403","27","8.58",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КРЕНВИРШИ ПУШЕНИ ТАНДЕМ НАСИПНИ","006486","26","9.20",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КОЛБАС КАМЧИЯ ТАНДЕМ 300ГР","007143","27","3.06",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КОЛБАС ТЕЛЕШКИ ТАНДЕМ 300ГР","007144","27","3.06",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КОЛБАС ХАМБУРСКИ ТАНДЕМ 300ГР","007145","27","3.06",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","ЧАЙ МУРСАЛСКИ 10ГР","007162","72","1.84",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КАШКАВАЛ ВИТОША ДУШЕВО НДН 300ГР","007446","11","4.69",""
"68134","ВЕСЛЕЦ - Център,ул.Веслец №4","КАШКАВАЛ ВИТОША РЪЧЕН НДН 300ГР","007447","11","4.99",""
