"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"07079","БУРГАС","КАШКАВАЛ ВИТОША МАДЖАРОВ 380 ГР","3800106201069","11","7.66","0"
"07079","БУРГАС","ЦИГАРИ ДЪНХИЛ ЕСЕНС ШАМПАН","3800216753854","78","3.8","0"
"07079","БУРГАС","МЛЯКО ПРЯСНО БЕРТИ 3.5 % 1 Л","3838800051314","6","1.46","0"
"07079","БУРГАС","ОРИЗ БИСЕРЕН ФИОРЕ 1 КГ","3800202690323","35","1.84","0"
"07079","БУРГАС","БОБ ДОБРУЖАНКА ФИОРЕ 1 КГ","3800202691924","33","2.19","0"
"07079","БУРГАС","БРАШНО ЕКСТРА СОФИМЕЛ 1 КГ","3800019102132","41","1.17","0"
"07079","БУРГАС","ПАСТА Ф 8 ФИОРЕ 400 ГР","3800202690279","36","0.43","0"
"07079","БУРГАС","СПАГЕТИ ФИОРЕ 400 ГР","3800202690507","37","0.76","0"
"07079","БУРГАС","ПАСТА МИДИ ФИОРЕ 400 ГР","3800202690552","36","0.4","0"
"07079","БУРГАС","ГРАХ МЛЕЧЕН БУРКАН ФИОРЕ 690 ГР","3800202693881","47","1.59","0"
"07079","БУРГАС","БОБ БЯЛ БУРКАН ФИОРЕ 680 ГР","3800202690729","46","1.63","0"
"07079","БУРГАС","ГРАХ МЛЕЧЕН ФИОРЕ 420 ГР","3800202694017","47","1.02","0"
"07079","БУРГАС","ЦИГАРИ ЛЪКИ СТРАЙК КЛИК РОЛЛ 85 ММ","38029134","78","3.22","0"
"07079","БУРГАС","ЦИГАРИ РОТМАНС СЛИМ СИВ 100 ММ","59470533","78","3.8","0"
"07079","БУРГАС","ЛЮТЕНИЦА ДОМАШНА ФИНОСМЯНА ДЕРОНИ 525 ГР","3800740031510","49","3.01","0"
"07079","БУРГАС","СОЛ КРИНА 1 КГ","3800202760231","39","0.69","0"
"07079","БУРГАС","МЛЯКО КИСЕЛО ДОМЛЯН 2% 500 ГР","3800110300208","7","0.84","0"
"07079","БУРГАС","ВИНО САЙКЪЛ СОВИНЬОН БЛАН 0,75 Л","3800008914326","75","6.06","0"
"07079","БУРГАС","ВИНО САЙКЪЛ КАБЕРНЕ ФРАН И МЕРЛО 0,75 Л","3800008914241","76","5.85","0"
"07079","БУРГАС","ВИНО СОФИЯ МЕРЛО 0,75 Л","3800008910083","76","2.55","0"
"07079","БУРГАС","ВИНО СОФИЯ КАБЕРНЕ 0,75 Л","3800008910090","76","2.55","0"
"07079","БУРГАС","ВИНО ЕТНО ЧЕРВЕНО 0.75 Л","3800008911325","76","4.65","0"
"07079","БУРГАС","ВИНО МЕНАДА ШАРДОНЕ 0,75 Л","3800011401127","75","4.34","0"
"07079","БУРГАС","ВИНО МЕНАДА КАБЕРНЕ 0,75 Л","3800011401158","76","4.34","0"
"07079","БУРГАС","ВИНО МЕРЛО ТЪРГОВИЩЕ 0,75 Л","3800009405465","76","4.65","0"
"07079","БУРГАС","ВИНО КАБЕРНЕ ТЪРГОВИЩЕ 0,75 Л","3800009405526","76","4.65","0"
"07079","БУРГАС","ВИНО СОВИНЬОН БЛАН ТЪРГОВИЩЕ 0,75 Л","3800009402372","75","4.03","0"
"07079","БУРГАС","ВИНО ПОМОРИЕ РОЗЕ ОТ КАБЕРНЕ 0,75 Л","3800005807164","76","4.35","0"
"07079","БУРГАС","ШОКОЛАД МИЛКА ТУК 87 ГР","7622210286123","69","1.53","0"
"07079","БУРГАС","БОЧКО МОКРИ КЪРПИ ЛАВАНДУЛА 64 БР","3800002301511","84","1.25","0"
"07079","БУРГАС","БОЧКО МОКРИ КЪРПИ ЛАВАНДУЛА 84 БР.","3800002300668","84","1.68","0"
"07079","БУРГАС","БОЧКО МОКРИ КЪРПИ ЛАЙКА 72  БР","3800002300613","84","1.41","0"
"07079","БУРГАС","КРОАСАН 22 КАРАТА 55 ГР","3800202330076","67","0.29","0"
"07079","БУРГАС","БОЧКО ПАСТА ЗА ЗЪБИ ЦИТРУС 50 МЛ","3800002304284","81","1.82","0"
"07079","БУРГАС","ЦИГАРИ МУРАТИ СЛИМС 100 ММ","3800216120526","78","3.6","0"
"07079","БУРГАС","БОЧКО ПАСТА ЗА ЗЪБИ ЯГОДА 75 МЛ","3800002302679","81","1.82","0"
"07079","БУРГАС","ДОМАШНА ЕДРОСМЛЯНА ЛЮТЕНИЦА ДЕРОНИ 520 ГР","3800740016760","49","3.98","0"
"07079","БУРГАС","СТАРОСЕЛСКА ЕДРОСМЛЯНА ЛЮТЕНИЦА ДЕРОНИ 520 ГР","3800740016746","49","4.52","0"
"07079","БУРГАС","КЪСИ МАКАРОНИ ЗАГАРИЯ 400 ГР","3800231992504","36","1.25","0"
"07079","БУРГАС","СПАГЕТИ №5 БАРИЛА 500 ГР","8076800195057","37","1.48","0"
"07079","БУРГАС","МАКАРОНИ №3 СТЕЛА 500 Г","5201077010519","37","1.43","0"
"07079","БУРГАС","АСТРАКИ СТЕЛА 500 ГР","5201077016061","36","1.41","0"
"07079","БУРГАС","ПЕНЕ РЕГАТИ СТЕЛА 600 ГР","5201193186020","36","1.41","0"
