"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ БЯЛ РЪЧЕН 700Г АИА 2019","034896","1","0.99",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ БЯЛ РЪЧЕН НАРЯЗАН 700Г АИА 2019","035057","1","0.99",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ БЯЛ ВКУСНИЯТ КОМАТ 500Г","035787","1","0.98",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ ДОБРУДЖА НАРЯЗАН 350Г ЕЛИАЗ","031654","2","0.88",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ ДОБРУДЖА НАРЯЗАН УТВЪРДЕН СТАНДАРТ ЕЛИАЗ 650Г","034816","2","1.12",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ ДОБРУДЖА НАРЯЗАН 650Г МАРКА 21","035141","2","0.84",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ ДОБРУДЖА НАРЯЗАН 830Г СИМИД","034957","2","1.30",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ ДОБРУДЖА НАРЯЗАН СИМИД 500Г","035724","2","0.96",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ 109 ОТ 40%ЛИМЕЦ И 60%РЪЖ 400Г ЕЛИАЗ","035416","3","1.84",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ ТИПОВ НАРЯЗАН 650Г МАРКА 21","035142","4","0.84",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","ХЛЯБ ТИПОВ НАРЯЗАН СИМИД 830Г","034338","4","1.30",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","КОРИ ЗА БАНИЦА БЕЛЛА 400Г","022832","5","2.04",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","КОРИ ЗА БАНИЦА ФАМИЛИЯ 500Г","022845","5","2.19","1.95"
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО БЕЛИИСА 3.2% 1Л UHT","035995","6","1.68","1.29"
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО КРАВЕ БУЛГАРЧЕ UHT 3.2%1Л","036064","6","1.73",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО КРАВЕ УХТ 3.2% МЕГГЛЕ 1Л","036273","6","1.73",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО КРАВЕ БЕЗ ЛАКТОЗА УХТ 3.5 % МЕГГЛЕ 1000МЛ","038289","6","2.50",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО КРАВЕ МЛЕКАРКАТА 3.2% 1Л УХТ","038680","6","1.78",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО БАЛКАН 3% 1Л","035546","6","2.04",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО ВАРЕНО БОР ЧВОР 3% КУТИЯ 1Л","656110","6","1.38",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО ВЕРЕЯ 3% 1Л","013921","6","1.73","1.39"
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО ФЕРМЕРСКО ДЕСТАН 3.2% КУТИЯ 1Л","029167","6","1.94","1.59"
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО ПАСТЬОРИЗИРАНО ДИМИТЪР МАДЖАРОВ 3.6% 1Л","042114","6","2.04",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО БЕЗЛАКТОЗНО ДИМИТЪР МАДЖАРОВ 3.6% 1Л","042250","6","2.55","1.99"
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО ЕЛБИ БУЛГАРИКУМ 3.6% 1Л БУТИЛКА","013943","6","2.30",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО ПАСТЬОРИЗИРАНО 3.5 % 1Л МАЙ ДЕЙ","013915","6","1.94",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО РОДОПЕЯ 3% 1Л","013950","6","1.84",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО ПРЯСНО САЯНА 3% 1Л","042031","6","1.84",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО КИСЕЛО БОЖЕНЦИ 2.2% 400Г","035582","7","0.92",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО КИСЕЛО БОЖЕНЦИ 2% ЗНП 400Г","036054","7","0.92",""
"68134","Магазин Дар - гр.София, ул. Милин Камък №14 (H01)","МЛЯКО КИСЕЛО БОЖЕНЦИ 3.6% ЗНП 400Г","036055","7","0.97",""
