"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ХЛЯБ МАЙ МАРКЕТ 700ГР БЯЛ СЪС ЗАКВАСКА","000101","1","0.76",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",МАКЕДОНСКА НАДЕНИЦА ЛЕКИ 390ГР ВАКУУМ","000178","27","3.95",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МЕНТА","000922","72","0.92",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОСЕТ 40ГР БИЛКОВ ШИПКА","000924","72","0.92",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МАЩЕРКА","000926","72","0.92",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ ГОРСКИ ДАР","000927","72","1.02",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КОРИ БЕЛЛА 400ГР ТОЧЕНИ","001027","5","1.90",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КОРИ ФАМИЛИЯ 500ГР ТОЧЕНИ","001028","5","2.09",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СИРЕНЕ","001148","68","2.14","2.04"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СПАНАК И СИРЕНЕ","001153","68","2.14","2.04"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ХЛЯБ ЛАГАРД 450ГР СЕЛСКИ ТИПОВ","001184","4","1.48","1.26"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ХЛЯБ ЛАГАРД 450ГР СЕЛСКИ РЪЖЕН","001185","3","1.48","1.26"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КОРИ ТРАКИЙСКИ 400ГР ТОЧЕНИ","001310","5","1.48",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ХЛЯБ ДЕМЕА 650ГР БЯЛ ПАКЕТИРАН","001413","1","0.97",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧЕСЪН","002004","59","4.92",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",МОРКОВИ","002008","56","1.41",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КРАСТАВИЦИ","002011","58","3.14",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ПОРТОКАЛ","002015","51","2.14",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",БАНАНИ","002017","52","2.22",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЛИМОНИ","002018","50","3.19",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЛУК КАБА","002041","55","1.09",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЗЕЛЕ","002046","57","0.97",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",,КАРТОФИ ЖЪЛТИ МИТИ","002376","61","1.11",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЯБЪЛКИ ЖЪЛТИ","002504","53","2.54",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",БАНИЧКИ ЛАГАРД 200ГР СЪС СУСАМ И СИРЕНЕ 5БР","002987","68","2.91",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",СКУМРИЯ МИЧИК ПРЕМИУМ 400/600 НОРВЕГИЯ ЦЯЛА ЗАМР***","003826","29","9.67",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КРЕНВИРШИ ЛЕКИ","004157","26","6.95",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КРЕНВИРШИ НАРОДЕН","004242","26","5.31","5.19"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЛИОНСКА НАДЕНИЦА ЛЕКИ 400ГР ВАКУУМ","004259","27","3.95",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",СИРЕНЕ КРАВЕ БОЖЕНЦИ /500/ ВАКУУМ****","004303","9","9.97","8.43"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КРЕНВИРШИ КЕН СВИНСКИ /1.32КГ/","004506","26","6.23",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КОЛБАС ХАМБУРГСКИ НАРОДЕН 300ГР","004601","27","1.89","1.79"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",К-Л КРАВИ МАДЖАРОВ 380ГР БДС ВАКУУМ***","004725","11","7.66",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",СИРЕНЕ КРАВЕ САКАРЕЛА 800ГР****","005837","9","7.36","5.11"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШПЕК НАШ ВКУС 280ГР БУРГАС ВАКУУМ","005887","28","2.09",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",,ВОДА БАНКЯ 1.5Л","006071","73","0.61","0.56"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ВОДА МАЙ МАРКЕТ 1.5Л НАТУРАЛНА МИНЕРАЛНА****","006634","73","0.52",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",,ВОДА ДЕВИН 1.5Л МИНЕРАЛНА /2705/","006833","73","0.59",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",БИСКВИТИ ИЗГРЕВ 120ГР ОБИКНОВЕНИ","007024","66","0.71",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",БИСКВИТИ ИЗГРЕВ 182ГР ОБИКНОВЕНИ","007170","66","1.02",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КРОАСАН 7 ДЕЙС 60ГР КАКАО","007196","67","0.71","0.51"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КРОАСАНИ 7 ДЕЙС МИНИ 60ГР КАКАО","007200","67","0.89","0.71"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШОКОЛАД МИЛКА 100ГР МИЛКИНИС","007256","69","2.65","1.94"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШОКОЛАД МИЛКА 90ГР ЛЕШНИК","007262","69","2.81","1.94"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШОКОЛАД МИЛКА 90ГР МЛЕЧЕН","007263","69","2.65","1.94"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШОКОЛАД МИЛКА 90ГР МЛЯН ЛЕШНИК НОАЗЕТ","007265","69","2.81","1.94"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШОКОЛАД МИЛКА 90ГР СТАФИДИ И ЛЕШНИЦИ","007266","69","2.81","1.94"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШОКОЛАД МИЛКА 95ГР ЦЯЛ ЛЕШНИК","007268","69","2.81","1.94"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ШОКОЛАД КИНДЕР 100ГР ОСМИЦА","007293","69","1.99",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОПРОГРАМА 20БР ЛАЙКА","009032","72","1.12",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОПРОГРАМА 20БР ШИПКА","009033","72","1.17",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОПРОГРАМА 20БР ЛИПОВ ЦВЯТ","009034","72","2.65",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОПРОГРАМА 20БР МАЩЕРКА","009037","72","1.38",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЕДУШО 250ГР ФЕМИЛИ КЛАСИК","009044","70","4.87","3.70"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЯКОБС 250ГР МОНАРХ КЛАСИК","009074","70","7.66",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЛАВАЦА 250ГР МЛЯНО ВАКУУМ ЕСПРЕСО","009125","70","8.99","7.90"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЛАВАЦА 250ГР МЛЯНО ВАКУУМ КРЕМА Е ГУСТО","009128","70","7.31",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЛАВАЦА 250ГР МЛЯНО ВАКУУМ КУАЛИТА РОСА","009131","70","8.48",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОПРОГРАМА 20БР МЕНТА","009159","72","1.12",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЧИБО 250ГР ГОЛД СЕЛЕКШЪН","009181","70","5.57","4.08"
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЯКОБС 250ГР МОНАРХ ЕСПРЕСО ИНТЕНЗ","009235","70","7.66",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",ЧАЙ БИОПРОГРАМА 20БР МАТОЧИНА","009437","72","1.02",""
"10135","Май Маркет Eлектрон - ул. Ген.Тошев 38",",КАФЕ ЧИБО 250ГР ЕСПРЕСО МИЛАНО СТИЛ","009481","70","5.33","4.99"
