"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ХЛЯБ МАЙ МАРКЕТ 700ГР БЯЛ СЪС ЗАКВАСКА","000101","1","0.76",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",МАКЕДОНСКА НАДЕНИЦА ЛЕКИ 390ГР ВАКУУМ","000178","27","3.95",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МЕНТА","000922","72","0.92",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ ЛАЙКА","000923","72","0.92",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ЧАЙ БИОСЕТ 40ГР БИЛКОВ ШИПКА","000924","72","0.92",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МАЩЕРКА","000926","72","0.92",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ КАРКАДЕ","000929","72","0.92",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ФИЛЕ ПИЛЕШКО ДЖЪЗ БЪЗ С БИЛКИ/600-800/*****","000976","16","10.10",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",КОРИ БЕЛЛА 400ГР ТОЧЕНИ","001027","5","1.90",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",КОРИ ФАМИЛИЯ 500ГР ТОЧЕНИ","001028","5","2.09",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ХЛЯБ ДОБР ХЛЯБ 550ГР ТОСТЕР ПШЕНИЧЕН БЯЛ","001048","1","1.12",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ХЛЯБ ДОБР ХЛЯБ 550ГР ТОСТЕР РЪЖЕН ПШ","001053","3","1.12",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ХЛЯБ ВИТА СИЛУЕТ 400ГР РЪЖЕН С ЦЕЛИ ЗЪРНА","001124","3","1.78",""
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СИРЕНЕ","001148","68","2.14","2.04"
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СПАНАК И СИРЕНЕ","001153","68","2.14","2.04"
"10135","Май Маркет Виница - кв. Виница, ул. Цар Борис III , №1a",",ХЛЯБ ЛАГАРД 450ГР СЕЛСКИ ТИПОВ","001184","4","1.48","1.26"
