"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БИРА АРИАНА 2Л СВЕТЛО /2018/","15039","74","1.43","1.38"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БИРА БОЛЯРКА 2Л СВЕТЛО /1816/","15062","74","1.41","1.17"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БИРА ЗАГОРКА 2Л /6230/","15195","74","1.48",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БРАШНО МАЙ МАРКЕТ 1КГ ТИП 500 ********","100390","40","0.97",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БРАШНО МЕЛНИЦА СУВОРОВО 1КГ ТИП 500 *******","10852","40","1.02",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БРАШНО СОФИЯ МЕЛ 1КГ ЕКСТРА","10060","41","1.22",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БРАШНО СОФИЯ МЕЛ 1КГ КЛАСИК","10547","40","1.17",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БРАШНО ТОПАЗ МЕЛ 1КГ ЕКСТРА***","100027","41","1.02",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,БРАШНО ТОПАЗ МЕЛ 1КГ ТИП 500 КЛАСИКА***","10894","40","0.97",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,ВОДА БАНКЯ 1.5Л","6071","73","0.61","0.55"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,ВОДА ВЕЛИНГРАД 1.5Л МИНЕРАЛНА***","60250","73","0.56","0.51"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,ВОДА ДЕВИН 1.5Л МИНЕРАЛНА /2705/","6833","73","0.59",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,КИС МЛЯКО БАЛКАН 400ГР 3.6%*****","132267","7","0.97",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,КИС МЛЯКО БОЖЕНЦИ 400ГР 3.6%****","131524","7","0.92",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,КИС МЛЯКО БОЛЯРКА 500ГР 3.6%","130870","7","0.61",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,КИС МЛЯКО БУЛГАРЕА 500ГР 3.6% ЗНП****","132051","7","0.97","0.83"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,КИС МЛЯКО ВЕРЕЯ 400ГР 3.6%","130057","7","0.86",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,КИС МЛЯКО МЕГЛЕ 400ГР 3.6%****","13794","7","0.79",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,КИС МЛЯКО ОЛИМПУС 400ГР 3.6%","131243","7","0.86",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,ОЛИО ДОБРУДЖА 1Л","10706","42","2.05",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,ОЛИО КАЛИАКРА 1Л ПЪРВА ПРЕСА","101056","42","2.29",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,ОРИЗ НАТУРА 1КГ БИСЕРЕН*****","100684","35","1.84",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,РАКИЯ КАЙЛЪШКА 700МЛ ГРОЗДОВА /796/","14166","77","8.47",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,РАКИЯ КАЙЛЪШКА 700МЛ МУСКАТОВА /7264/","14831","77","9.89",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,РАКИЯ КАРНОБАТ 700МЛ /2009/-/1/","14087","77","7.71",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,РАКИЯ КАРНОБАТ 700МЛ МУСКАТОВА /1783/","14089","77","9.06",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,РАКИЯ ПЕЩЕРСКА 700МЛ ГРОЗДОВА /902/","14050","77","7.91",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,СИРЕНЕ КРАВЕ КИСЕЛОВО****","40002","8","7.36",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2",",,ЯЙЦА РАЗМЕР L АКВИЛОН 10БР****","130755","32","2.81",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2","***ДОМАТИ ОБЕРОН 400ГР НА КУБЧЕТА БЕЛЕНИ****","112191","48","0.81",""
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2","***САПУН ДАВ 90ГР КРИЙМ ЕКСТРА СЕНЗИТИВ","200083","83","2.19","1.07"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2","***САПУН ДАВ 90ГР КРИЙМ ЕКСФОЛИРАЩ","20863","83","2.19","1.07"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2","***САПУН ДАВ 90ГР КРИЙМ ОЙЛ","20865","83","2.19","1.07"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2","***САПУН ДАВ 90ГР КРИЙМ ОРИДЖИНАЛ","20044","83","2.19","1.07"
"10135","Май Маркет Български орел Мини гр. Варна, ул. Български орел 2","***САПУН ДАВ 90ГР КРИЙМ ФРЕШ ТАЧ КРАСТАВИЦА","20866","83","2.19","1.07"
