"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ МАЙ МАРКЕТ 700ГР БЯЛ СЪС ЗАКВАСКА","000101","1","0.76",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",МАКЕДОНСКА НАДЕНИЦА ЛЕКИ 390ГР ВАКУУМ","000178","27","3.95",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",К-Л КРАВИ САКАРЕЛА 200ГР*****","000227","11","2.60",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ИЗВАРА МЕРОНЕ 400ГР****","000433","14","1.68",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МЕНТА","000922","72","0.92",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ ЛАЙКА","000923","72","0.92",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЧАЙ БИОСЕТ 40ГР БИЛКОВ ШИПКА","000924","72","0.92",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МАЩЕРКА","000926","72","0.92",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ КАРКАДЕ","000929","72","0.92",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КОРИ БЕЛЛА 400ГР ТОЧЕНИ","001027","5","1.90",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КОРИ ФАМИЛИЯ 500ГР ТОЧЕНИ","001028","5","2.09",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ ДОБР ХЛЯБ 550ГР ТОСТЕР ПШЕНИЧЕН БЯЛ","001048","1","1.12",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ ДОБР ХЛЯБ 550ГР ТОСТЕР РЪЖЕН ПШ","001053","3","1.12",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СИРЕНЕ","001148","68","2.14","2.04"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СПАНАК И СИРЕНЕ","001153","68","2.14","2.04"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ ЛАГАРД 450ГР СЕЛСКИ ТИПОВ","001184","4","1.48","1.26"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ ЛАГАРД 450ГР СЕЛСКИ РЪЖЕН","001185","3","1.48","1.26"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КОРИ ТРАКИЙСКИ 400ГР ТОЧЕНИ","001310","5","1.48",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ ДОБРУДЖАНСКИ 500ГР ТИПОВ","001406","4","0.89",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ САВИМЕКС 500ГР ЗЛ ДОБРУДЖА ТОСТЕР РЪЖЕНО ПШ","001411","3","1.22",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ ДЕМЕА 650ГР БЯЛ ПАКЕТИРАН","001413","1","0.97",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ САВИМЕКС 500ГР ЗЛ ДОБРУДЖА ТОСТЕР ПШ БЯЛ","001512","1","1.22",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ХЛЯБ ТУИДА 650ГР ХП УС БЪЛГАРИЯ","001752","1","0.97",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЧЕСЪН","002004","59","5.12",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",МОРКОВИ","002008","56","1.29",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ДОМАТИ","002010","54","3.18",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КРАСТАВИЦИ","002011","58","3.19",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ПОРТОКАЛ","002015","51","1.99",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",БАНАНИ","002017","52","2.05",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЛИМОНИ","002018","50","3.00",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЯБЪЛКИ ПЪСТРИ","002022","53","1.69",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЛУК КАБА","002041","55","0.99",""
"10135","Май Маркет Симона - кв. Младост, до бл.104","*МАСЛИНИ КАРПОС 71/90 СУПЕР МАМУТ","002058","62","5.82",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",МАСЛИНИ ОЛИМП ЧЕРНИ БЕЗ КОСТИЛКА****","002304","62","7.09",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",МАСЛИНИ ОЛИМП 141/160 КАЛАМАТА****","002367","62","8.07",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",,КАРТОФИ ЖЪЛТИ МИТИ","002376","61","0.99",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЯБЪЛКИ ЖЪЛТИ","002504","53","2.38",""
"10135","Май Маркет Симона - кв. Младост, до бл.104","*МАСЛИНИ АМАЛТИА 161/180 КАЛАМАТА ЕКСТРА ДЖЪМБО 5КГ/","002632","62","7.29",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",БАНИЧКИ ЛАГАРД 200ГР СЪС СУСАМ И СИРЕНЕ 5БР","002987","68","2.91",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ПИЛЕ АМЕТА ПРЯСНО ГРИЛ ЛУКС***","003069","15","4.90",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ФИЛЕ ПИЛЕШКО ЖАР ОХЛ.ТАРЕЛКА /334/","003465","16","8.21",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",БУТЧЕ ПИЛЕШКО Л.ПИЛЕ ПРЯСНО С ЧАСТ ОТ ГЪРБА НАСИПНО***","003670","17","3.47",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",СКУМРИЯ МИЧИК ПРЕМИУМ 400/600 НОРВЕГИЯ ЦЯЛА ЗАМР***","003826","29","9.67",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",СКУМРИЯ СТЕЙТКОМ 4/6 НОРВЕГИЯ ЗАМР.","003860","29","7.66",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КРЕНВИРШИ ЛЕКИ","004157","26","6.95",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",,СИРЕНЕ КРАВЕ ЕЛЕНА ЛИТОГРАФИЯ****","004175","8","8.07",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КРЕНВИРШИ НАРОДЕН","004242","26","5.31","5.19"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",ЛИОНСКА НАДЕНИЦА ЛЕКИ 400ГР ВАКУУМ","004259","27","3.95",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",СИРЕНЕ КРАВЕ БОЖЕНЦИ /500/ ВАКУУМ****","004303","9","9.97","8.43"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КРЕНВИРШИ КЕН СВИНСКИ /1.32КГ/","004506","26","6.23",""
"10135","Май Маркет Симона - кв. Младост, до бл.104",",КОЛБАС ХАМБУРГСКИ НАРОДЕН 300ГР","004601","27","1.89","1.79"
"10135","Май Маркет Симона - кв. Младост, до бл.104",",К-Л КРАВИ МАДЖАРОВ 380ГР БДС ВАКУУМ***","004725","11","7.66",""
