"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","МАКС ДРАГАЛЕВЦИ","НАТУРАЛНИ МАСЛИНИ УСЛУ STELLO`S","14471","62","6.030000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","АНТИБАКТЕРИАЛЕН САПУН MEDICARE 85гр","31575","83","0.610000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","Р-Я ПОМОРИЙСКА МУСКАТОВА 700мл","19059","77","11.850000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ВИНО ШАРДОНЕ ПЕНТАГРАМ 750мл","20183","75","7.350000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","КАШКАВАЛ ОТ КРАВЕ МЛЯКО РОДОПЧАНКА ВАК.","43228","11","16.510000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ОЛИО БУЛГАРЧЕ 1л","10099","42","2.350000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ОЛИО КАЛИАКРА 1л","10100","42","2.650000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ХАМБУРГСКИ КОЛБАС ТАНДЕМ 300гр","11397","27","3.420000","2.300000"
"68134","МАКС ДРАГАЛЕВЦИ","МИН.ВОДА ГОРНА БАНЯ 1.5л","21502","73","0.700000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ЛАКТАНА БИО КИНДЕР МЛЯКО 500гр","34382","65","16.870000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ХИПП КАША С БИСКВИТИ ЛЕКА НОЩ 2965 250гр","34415","63","7.360000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","БОБ МИКС ФАМИЛЕКС 400гр","62897","46","1.050000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ШАМПОАН ПАНТЕН 200-270мл.","32255","82","3.160000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ОХЛ.ДЪГОВА ПЪСТЪРВА ВАСТОН","14181","30","9.400000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ВИНО МУСКАТ ДОМЕЙН БОЙАР 750мл","20020","75","5.730000","0.000000"
"68134","МАКС ДРАГАЛЕВЦИ","ДЕЛИКАТЕСЕН ШПЕК ОРЕХИТЕ 220гр","45429","28","4.850000","0.000000"
