"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ MM 125МЛ","001325","81","2.81","2.04"
"16359","2 Макс2 - Вичо Грънчаров 10","ЧЗ АКВАФРЕШ EVERYDAY CLEAN МЕДИУМ","001386","80","2.30","1.79"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ. ФЛУОР ЗА ВЕНЦИ","004942","81","5.62","4.09"
"16359","2 Макс2 - Вичо Грънчаров 10","САПУН DOVE ЕКСФОЛИРАЩ 90ГР","005812","83","1.78","1.02"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX WHITE CRYSTALS 75МЛ ИЗБЕЛВАЩА","006403","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ FM 125МЛ","010112","81","2.81","2.04"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ. КЛАСИК ЗА ВЕНЦИ","010903","81","5.62","4.09"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX FRESH COOLING 75МЛ","013015","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE 75МЛ ИЗБЕЛВАЩА","013514","81","5.62","4.09"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX ADVANCED WHITE 75МЛ.","015367","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ MM 100МЛ","015449","81","2.45","1.84"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ 50МЛ. ЗА ДЕЦА 0-5ГОД.","015783","81","2.40","2.14"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ 50МЛ. ЗА ДЕЦА 6-9ГОД.","015784","81","2.40","2.14"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ FM 75МЛ","015937","81","2.24","1.68"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ MM 75МЛ","015938","81","2.24","1.68"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ BILKADENT PARODONT PROTECT 75МЛ КЛАСИК","016563","81","2.55",""
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX FRESH ACTIVE CLEAN 75МЛ","021068","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ЧЗ АКВАФРЕШ CLEANFLEX МЕДИУМ 1+1","021706","80","2.81","2.14"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ ДЕТСКА 50МЛ 6-8Г","021707","81","3.57","2.81"
"16359","2 Макс2 - Вичо Грънчаров 10","ЧЗ АКВАФРЕШ TRIPPLE PROTECTION МЕДИУМ 1+1","028443","80","4.09","3.07"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE ONE 75МЛ","029102","81","3.06","2.29"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ. ИЗБЕЛВАЩА ЗА ВЕНЦИ","029575","81","5.62","4.09"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ 125МЛ. ТРОЙНО ДЕЙСТВИЕ","029613","81","2.04","1.63"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE COMPLETE PROTECTION 75МЛ","033871","81","8.18","4.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE ONE OPTIC 75МЛ","034806","81","3.06","2.29"
"16359","2 Макс2 - Вичо Грънчаров 10","ЧЗ КОЛГЕЙТ 360 MAX EXPERT WHITE МЕДИУМ","036634","80","3.06","2.80"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ BILKADENT PARODONT PROTECT 75МЛ ХЕРБАЛ","038188","81","2.55",""
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE EXPERT ORIGINAL 75МЛ","038871","81","4.95","3.83"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ. ULTRA CLEAN ЗА ВЕНЦИ","038919","81","5.62","4.09"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ INTENSE CLEAN 75МЛ DEEP ACTION","038920","81","3.57","2.81"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ INTENSE CLEAN 75МЛ WHITENING","038921","81","3.57","2.81"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ ACTIVE FRESH 125МЛ","039983","81","2.81","2.04"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE 75МЛ NATURAL WHITE /АКТИВЕН ВЪГЛЕН/","040782","81","5.62","4.09"
"16359","2 Макс2 - Вичо Грънчаров 10","*ПЗ АКВАФРЕШ 75МЛ NATURALS HERBAL FRESH","040810","81","3.57","3.21"
"16359","2 Макс2 - Вичо Грънчаров 10","ЧЗ АКВАФРЕШ INTENSE CLEAN МЕДИУМ","040954","80","4.09",""
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE 50МЛ ULTRA FRESHNESS PEARL","041366","81","4.95","3.83"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE 50МЛ ULTRA ACTIVE FOAM","041368","81","4.95","3.83"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ БОЧКО 75МЛ ДЕТСКА /ЯГОДА/","042894","81","1.48","1.35"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ БОЧКО 75МЛ ДЕТСКА /ДЪВКА/","042895","81","1.48","1.35"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ COMPLETE","043224","81","6.85","5.11"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ ACTIVE WHITE 125МЛ","043225","81","2.81","2.04"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX ADVANCED WHITE SODA 75МЛ.","043993","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE ONE PURPLE REVEAL 75МЛ","043998","81","3.06","2.29"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ ELMEX 75МЛ CARIES PROTECTION","044298","81","4.44","3.57"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ ELMEX 75МЛ CARIES PROTECTION WHITENING","044299","81","4.44","3.57"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ ELMEX 75МЛ SENSITIVE","044302","81","4.44","3.57"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ ELMEX 75МЛ SENSITIVE WHITENING","044304","81","4.44","3.57"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ NATURAL 75МЛ CHARCOAL WHITE","044996","81","3.06","2.55"
"16359","2 Макс2 - Вичо Грънчаров 10","*ЧЗ КОЛГЕЙТ 360 CHARCOAL GOLD МЕДИУМ","045124","80","3.06","2.55"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ WHITE & SHINE 100МЛ","045182","81","3.57","2.81"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ COMPLETE WHITENING ИЗБЕЛВАЩА","045974","81","6.85","5.11"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE ONE CHARCOAL 75МЛ","046306","81","3.06","2.29"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX ADVANCE WHITE CHARCOAL 75МЛ","046475","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE SENSITIVITY&GUM 75МЛ","047634","81","8.18","4.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ ДЕТСКА 75МЛ 9-12Г","047736","81","3.57","2.81"
"16359","2 Макс2 - Вичо Грънчаров 10","*ПЗ АКВАФРЕШ SENSES 75МЛ ГРЕЙПФРУТ И ЛИМОН","047859","81","3.57","3.21"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ ДЕТСКА 50МЛ ЯГОДА 3-8Г","047861","81","3.57","2.81"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE ONE BYE BYE STAIN 75МЛ","052203","81","3.06","2.29"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX FRESH EXOTIC 75МЛ ЗЕЛЕН ЧАЙ","052324","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE CLINICAL REPAIR ACTIVE CLEAN 75МЛ","052440","81","8.18","4.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE PRONAMEL CHILDREN 50МЛ 2-6ГОД.","053180","81","4.60","3.57"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ 75МЛ PLUS VISIBLE WHITE","053269","81","3.57",""
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ 75МЛ PLUS FRESH FEEL","053270","81","3.57",""
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE SPARCLE DIAMONDS 75МЛ","053718","81","2.55","1.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE CLINICAL WHITE 75МЛ ENAMEL STRENGTHENING","055098","81","8.18","4.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE ADVANCED WHITE 75МЛ DEEP CLEAN","055451","81","8.18","4.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ЧЗ КОЛГЕЙТ 360 1+1 BLACK /МЕДИУМ/","204051","80","4.09","2.79"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ ACTIVE GUM REPAIR","225879","81","6.85","5.11"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX 75МЛ ACTIVE GUM REPAIR WHITE","225880","81","6.85","5.11"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE 50МЛ ULTRA MULTIPROTECT","229084","81","4.95","3.83"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ АКВАФРЕШ ДЕТСКА 50МЛ 0-5Г","238818","81","3.42",""
"16359","2 Макс2 - Вичо Грънчаров 10","ЧЗ КОЛГЕЙТ 360 1+1 /МЕДИУМ/","246714","80","4.09","2.79"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX STRENGTHEN&PROTECT FM 75МЛ","260808","81","6.85","5.11"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ PARODONTAX STRENGTHEN&PROTECT ИЗБЕЛВАЩА 75МЛ","260809","81","6.85","5.11"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAXWHITE ONE SUPERIOR CLEAN 75МЛ","261805","81","3.06","2.29"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE CLINICAL WHITE 75МЛ STAIN PROTECTOR","261806","81","8.18","4.99"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ КОЛГЕЙТ MAX ADVANCED WHITE PURPLE 75МЛ.","263346","81","2.55",""
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE 75МЛ CAVITY SENSITIVITY","264500","81","5.62","4.09"
"16359","2 Макс2 - Вичо Грънчаров 10","ПЗ SENSODYNE ADVANCED WHITE 75МЛ ENAMEL DEFENCE","270475","81","8.18","4.99"
"16359","3 Сидни - Ангел Кънчев 47","ХЛЯБ БЪЛГАРИЯ БЯЛ-ЯНА РЕСЕН 650ГР","000004","1","0.86",""
"16359","3 Сидни - Ангел Кънчев 47","ХЛЯБ РЪЖЕНО-ПШЕНИЧЕН  550ГР ЯНА РЕСЕН","000008","3","0.86",""
"16359","3 Сидни - Ангел Кънчев 47","ПОРТОКАЛИ - ГЪРЦИЯ","000300","51","1.99",""
"16359","3 Сидни - Ангел Кънчев 47","БАНАНИ  ДОЛЕ ЕКВАДОР КЛАС 1","000304","52","1.97",""
"16359","3 Сидни - Ангел Кънчев 47","ЧЕСЪН - БЪЛГАРИЯ","000309","59","4.49",""
"16359","3 Сидни - Ангел Кънчев 47","ЛУК КРОМИД   - БЪЛГАРИЯ","000312","55","0.99",""
"16359","3 Сидни - Ангел Кънчев 47","ДОМАТИ РЪГБИ -ГЪРЦИЯ","000315","54","4.39",""
"16359","3 Сидни - Ангел Кънчев 47","МОРКОВИ - БЪЛГАРИЯ","000317","56","1.49",""
"16359","3 Сидни - Ангел Кънчев 47","ЛИМОНИ  - ГЪРЦИЯ","000318","50","3.29",""
"16359","3 Сидни - Ангел Кънчев 47","КАРТОФИ БЪЛГАРИЯ","000333","61","0.86",""
"16359","3 Сидни - Ангел Кънчев 47","ЯБЪЛКИ ПЪСТРИ  - МАКЕДОНИЯ","000334","53","1.69",""
"16359","3 Сидни - Ангел Кънчев 47","ГЪБА ПЕЧУРКА-  БЪЛГАРИЯ","000336","60","4.69",""
"16359","3 Сидни - Ангел Кънчев 47","ЯБЪЛКИ ЧЕРВЕНИ  - ГЪРЦИЯ","000339","53","1.99",""
"16359","3 Сидни - Ангел Кънчев 47","КАРТОФИ  МИТИ  ФРАНЦИЯ","000357","61","1.29",""
"16359","3 Сидни - Ангел Кънчев 47","ЯБЪЛКИ ГРЕНИ СМИТ - ГЪРЦИЯ","000367","53","1.99",""
"16359","3 Сидни - Ангел Кънчев 47","КАШКАВАЛ ЕЛЕНА ВАКУУМ","000448","11","13.70",""
"16359","3 Сидни - Ангел Кънчев 47","ДОМАТ РОЗА СРЕДЕН ТУРЦИЯ","000487","54","3.69",""
"16359","3 Сидни - Ангел Кънчев 47","ДОМАТ ЧЕРВЕН ТУРЦИЯ","000493","54","3.59",""
"16359","3 Сидни - Ангел Кънчев 47","КАШКАВАЛ ЕЛЕНА ПИТА","000500","10","12.78",""
